ir,ia,iir,iia,,ir-690-r-test,iir-690-r-test,ir-750-c-test,iir-750-c-test,ir-800-l-test,iir-800-l-test,,i-lookup-750c,ii-lookup-750c,i-lookup-800l,ii-lookup-800l,i-lookup-690r,ii-lookup-690r
1.15E+03,0.27028,27008,0.071456,,,,,,,,,,,,,,
1.12E+03,0.25801,28004,0.071456,,,,,,,,,,,,,,
1.06E+03,0.33484,29020,0.071456,,,,,,,,,,,,,,
1.03E+03,0.35188,30212,0.071456,,,,,,,,,,,,,,
1.09E+03,0.10414,31312,0.071456,,,,,,,,,,,,,,
1.03E+03,0.17054,32440,0.071456,,,,,,,,,,,,,,
9.93E+02,0.20307,33674,0.071456,,,,,,,,,,,,,,
9.96E+02,0.11581,35069,0.071456,,,,,,,,,,,,,,
9.68E+02,0.11994,36465,0.071456,,,,,,,,,,,,,,
9.32E+02,0.15077,37763,0.071456,,,,,,,,,,,,,,
9.28E+02,0.087039,38993,0.071456,,,,,,,,,,,,,,
9.16E+02,0.048843,40318,0.071456,,,,,,,,,,,,,,
8.87E+02,0.064024,41847,0.071456,,,,,,,,,,,,,,
8.72E+02,0.037913,43189,0.071456,,,,,,,,,,,,,,
6.39E+04,0.096644,591,0.050818,,,,,,,,,,,,,,
6.25E+04,0.096644,621,0,,,,,,,,,,,,,,
5.87E+04,0.096644,617,0.075425,,,,,,,,,,,,,,
5.68E+04,0.096644,612,0.15672,,,,,,,,,,,,,,
5.49E+04,0.096644,640,0.11632,,,,,,,,,,,,,,
5.29E+04,0.096644,684,0.025423,,,,,,,,,,,,,,
5.09E+04,0.096644,623,0.31112,,,,,,,,,,,,,,
4.93E+04,0.096644,665,0.22108,,,,,,,,,,,,,,
4.73E+04,0.096644,646,0.35985,,,,,,,,,,,,,,
4.57E+04,0.096644,735,0.11385,,,,,,,,,,,,,,
4.42E+04,0.096644,734,0.18432,,,,,,,,,,,,,,
4.24E+04,0.096644,741,0.22976,,,,,,,,,,,,,,
4.08E+04,0.096644,763,0.22695,,,,,,,,,,,,,,
3.94E+04,0.096644,803,0.16981,,,,,,,,,,,,,,
3.81E+04,0.096644,819,0.19079,,,,,,,,,,,,,,
3.64E+04,0.096644,793,0.34525,,,,,,,,,,,,,,
3.51E+04,0.096644,872,0.17512,,,,,,,,,,,,,,
3.38E+04,0.096644,865,0.26877,,,,,,,,,,,,,,
3.26E+04,0.096644,888,0.2751,,,,,,,,,,,,,,
3.15E+04,0.096644,922,0.25196,,,,,,,,,,,,,,
3.04E+04,0.096644,922,0.32829,,,,,,,,,,,,,,
2.91E+04,0.096644,955,0.31189,,,,,,,,,,,,,,
2.81E+04,0.096644,981,0.31791,,,,,,,,,,,,,,
2.71E+04,0.096644,995,0.35886,,,,,,,,,,,,,,
2.61E+04,0.096644,1022,0.36602,,,,,,,,,,,,,,
2.53E+04,0.096644,1026,0.43737,,,,,,,,,,,,,,
2.43E+04,0.096644,1112,0.29532,,,,,,,,,,,,,,
2.33E+04,0.096644,1050,0.54173,,,,,,,,,,,,,,
2.26E+04,0.096644,1166,0.32792,,,,,,,,,,,,,,
2.19E+04,0.13152,1170,0.40313,,,,,,,,,,,,,,
2.11E+04,0.14532,1209,0.395,,,,,,,,,,,,,,
2.03E+04,0.15442,1221,0.45407,,,,,,,,,,,,,,
1.96E+04,0.14222,1275,0.4157,,,,,,,,,,,,,,
1.88E+04,0.1644,1212,0.65978,,,,,,,,,,,,,,
1.84E+04,0.10034,1358,0.40846,,,,,,,,,,,,,,
1.76E+04,0.13247,1327,0.57147,,,,,,,,,,,,,,
1.71E+04,0.10677,1382,0.54159,,,,,,,,,,,,,,
1.66E+04,0.09017,1450,0.48864,,,,,,,,,,,,,,
1.63E+04,0,1505,0.46901,,,,,,,,,,,,,,
15239,0.15684,1514,0.54781,,,,,,,,,,,,,,
14729,0.15368,1521,0.63332,,,,,,,,,,,,,,
14295,0.13113,1598,0.57566,,,,,,,,,,,,,,
13779,0.14369,1642,0.58991,,,,,,,,,,,,,,
13378,0.12198,1615,0.75003,,,,,,,,,,,,,,
12916,0.12849,1654,0.77815,,,,,,,,,,,,,,
1.25E+04,0.13989,1749,0.69823,,,,,,,,,,,,,,
1.21E+04,0.12646,1821,0.67066,,,,,,,,,,,,,,
1.16E+04,0.14584,1875,0.68119,,,,,,,,,,,,,,
1.14E+04,0.092209,1888,0.77006,,,,,,,,,,,,,,
1.10E+04,0.10707,1987,0.70546,,,,,,,,,,,,,,
1.06E+04,0.11169,2038,0.73152,,,,,,,,,,,,,,
1.03E+04,0.094906,2084,0.76936,,,,,,,,,,,,,,
9.91E+03,0.13588,2141,0.79149,,,,,,,,,,,,,,
9.65E+03,0.11143,2236,0.75429,,,,,,,,,,,,,,
9.30E+03,0.13166,2278,0.80847,,,,,,,,,,,,,,
9.13E+03,0.0738,2405,0.73127,,,,,,,,,,,,,,
8.73E+03,0.13185,2417,0.83846,,,,,,,,,,,,,,
8.52E+03,0.099548,2533,0.78876,,,,,,,,,,,,,,
8.22E+03,0.11743,2594,0.82735,,,,,,,,,,,,,,
8.01E+03,0.095611,2704,0.79832,,,,,,,,,,,,,,
7.78E+03,0.088237,2808,0.78412,,,,,,,,,,,,,,
7.43E+03,0.15,2810,0.91714,,,,,,,,,,,,,,
7.37E+03,0.061326,2941,0.87316,,,,,,,,,,,,,,
7.03E+03,0.12339,3018,0.90908,,,,,,,,,,,,,,
6.79E+03,0.1429,3114,0.92382,,,,,,,,,,,,,,
6.58E+03,0.14679,3256,0.88427,,,,,,,,,,,,,,
6.42E+03,0.12567,3376,0.87974,,,,,,,,,,,,,,
6.16E+03,0.16387,3432,0.95943,,,,,,,,,,,,,,
5957,0.17903,3589,0.92009,,,,,,,,,,,,,,
5851,0.13531,3688,0.95655,,,,,,,,,,,,,,
5590,0.19281,3805,0.97684,,,,,,,,,,,,,,
5447,0.17909,4013,0.9008,,,,,,,,,,,,,,
5260,0.19814,4153,0.90849,,,,,,,,,,,,,,
5156,0.1646,4266,0.95068,,,,,,,,,,,,,,
4943,0.20959,4377,1,,,,,,,,,,,,,,
4794,0.21416,4571,0.96914,,,,,,,,,,,,,,
4571,0.2779,4712,0.99925,,,,,,,,,,,,,,
4526,0.21169,4994,0.89963,,,,,,,,,,,,,,
4354,0.24483,5128,0.94962,,,,,,,,,,,,,,
4235,0.24077,5353,0.92219,,,,,,,,,,,,,,
4137,0.22286,5544,0.93342,,,,,,,,,,,,,,
3959,0.27354,5809,0.8885,,,,,,,,,,,,,,
3859,0.26341,5988,0.92475,,,,,,,,,,,,,,
3691,0.31561,6245,0.90398,,,,,,,,,,,,,,
3588,0.31475,6540,0.86272,,,,,,,,,,,,,,
3427,0.37123,6729,0.91228,,,,,,,,,,,,,,
3430,0.27722,7006,0.90232,,,,,,,,,,,,,,
3239,0.36968,7350,0.85321,,,,,,,,,,,,,,
3177,0.34132,7663,0.83718,,,,,,,,,,,,,,
3109,0.32106,8119,0.73587,,,,,,,,,,,,,,
2937,0.41117,8282,0.83836,,,,,,,,,,,,,,
2893,0.37081,8650,0.81518,,,,,,,,,,,,,,
2794,0.39202,9139,0.72888,,,,,,,,,,,,,,
2.63E+03,0.49577,9455,0.75935,,,,,,,,,,,,,,
2.62E+03,0.4159,9857,0.7485,,,,,,,,,,,,,,
2.52E+03,0.45673,10258,0.74878,,,,,,,,,,,,,,
2.43E+03,0.48405,10740,0.71525,,,,,,,,,,,,,,
2.38E+03,0.4596,11326,0.64009,,,,,,,,,,,,,,
2.35E+03,0.41436,11841,0.61587,,,,,,,,,,,,,,
2.22E+03,0.50512,12305,0.62857,,,,,,,,,,,,,,
2.19E+03,0.45508,12855,0.61098,,,,,,,,,,,,,,
2.05E+03,0.57489,13334,0.63847,,,,,,,,,,,,,,
1.98E+03,0.59896,14060,0.56575,,,,,,,,,,,,,,
1.92E+03,0.60552,14582,0.59735,,,,,,,,,,,,,,
1.84E+03,0.64305,15263,0.57267,,,,,,,,,,,,,,
1.83E+03,0.58448,16072,0.51023,,,,,,,,,,,,,,
1.77E+03,0.59859,16842,0.47977,,,,,,,,,,,,,,
1.65E+03,0.72609,17678,0.43945,,,,,,,,,,,,,,
1.66E+03,0.62942,18416,0.45057,,,,,,,,,,,,,,
1.63E+03,0.60633,19111,0.49045,,,,,,,,,,,,,,
1.55E+03,0.67129,20154,0.42197,,,,,,,,,,,,,,
1.55E+03,0.59129,20981,0.42,,,,,,,,,,,,,,
1.45E+03,0.7005,21891,0.42,,,,,,,,,,,,,,
1.45E+03,0.62488,22873,0.42,,,,,,,,,,,,,,
1.36E+03,0.72997,23879,0.42,,,,,,,,,,,,,,
1.36E+03,0.6591,24981,0.42,,,,,,,,,,,,,,
1.26E+03,0.79103,26049,0.42,,,,,,,,,,,,,,
1.21E+03,0.82094,27200,0.42,,,,,,,,,,,,,,
1.14E+03,0.92328,28289,0.42,,,,,,,,,,,,,,
1.17E+03,0.77805,29523,0.42,,,,,,,,,,,,,,
1.08E+03,0.90823,30822,0.42,,,,,,,,,,,,,,
1.10E+03,0.80017,32258,0.42,,,,,,,,,,,,,,
1.05E+03,0.85508,33558,0.42,,,,,,,,,,,,,,
9.65E+02,1,34991,0.42,,,,,,,,,,,,,,
9.74E+02,0.90437,36324,0.42,,,,,,,,,,,,,,
9.68E+02,0.85114,37645,0.42,,,,,,,,,,,,,,
9.06E+02,0.95364,39188,0.42,,,,,,,,,,,,,,
8.98E+02,0.90766,40577,0.42,,,,,,,,,,,,,,
5.97E+04,0.36215,945,0.22231,,,,,,,,,,,,,,
5.76E+04,0.36215,1022,0,,,,,,,,,,,,,,
5.54E+04,0.36215,995,0.23479,,,,,,,,,,,,,,
5.35E+04,0.36215,1063,0.063534,,,,,,,,,,,,,,
5.16E+04,0.36215,1015,0.39114,,,,,,,,,,,,,,
4.96E+04,0.36215,1047,0.37576,,,,,,,,,,,,,,
4.79E+04,0.36215,1064,0.42892,,,,,,,,,,,,,,
4.59E+04,0.36215,1122,0.31271,,,,,,,,,,,,,,
4.43E+04,0.36215,1153,0.31496,,,,,,,,,,,,,,
4.26E+04,0.36215,1165,0.39633,,,,,,,,,,,,,,
4.10E+04,0.36215,1195,0.40844,,,,,,,,,,,,,,
3.94E+04,0.36215,1260,0.29092,,,,,,,,,,,,,,
3.80E+04,0.36215,1247,0.4737,,,,,,,,,,,,,,
3.64E+04,0.36215,1261,0.55675,,,,,,,,,,,,,,
3.51E+04,0.36215,1278,0.63083,,,,,,,,,,,,,,
3.36E+04,0.36215,1319,0.61647,,,,,,,,,,,,,,
3.23E+04,0.36215,1408,0.43551,,,,,,,,,,,,,,
3.12E+04,0.36215,1441,0.46217,,,,,,,,,,,,,,
2.98E+04,0.36215,1420,0.68031,,,,,,,,,,,,,,
2.89E+04,0.31617,1457,0.69724,,,,,,,,,,,,,,
2.77E+04,0.28822,1507,0.67354,,,,,,,,,,,,,,
2.67E+04,0.24415,1536,0.72601,,,,,,,,,,,,,,
2.56E+04,0.26505,1572,0.75829,,,,,,,,,,,,,,
2.47E+04,0.19391,1623,0.7452,,,,,,,,,,,,,,
2.37E+04,0.18721,1677,0.72809,,,,,,,,,,,,,,
2.28E+04,0.18096,1743,0.67983,,,,,,,,,,,,,,
2.19E+04,0.17234,1773,0.74722,,,,,,,,,,,,,,
2.10E+04,0.17994,1825,0.75183,,,,,,,,,,,,,,
2.04E+04,0.098501,1909,0.66901,,,,,,,,,,,,,,
1.95E+04,0.11986,1932,0.76726,,,,,,,,,,,,,,
1.87E+04,0.14398,1910,1,,,,,,,,,,,,,,
1.82E+04,0.07243,2058,0.75028,,,,,,,,,,,,,,
1.74E+04,0.091217,2086,0.84471,,,,,,,,,,,,,,
1.68E+04,0.10207,2143,0.86442,,,,,,,,,,,,,,
1.61E+04,0.10021,2232,0.80571,,,,,,,,,,,,,,
1.55E+04,0.094437,2266,0.89535,,,,,,,,,,,,,,
1.51E+04,0,2395,0.75115,,,,,,,,,,,,,,
1.44E+04,0.12617,2425,0.85833,,,,,,,,,,,,,,
1.40E+04,0.029507,2567,0.70387,,,,,,,,,,,,,,
1.33E+04,0.15796,2576,0.86693,,,,,,,,,,,,,,
1.29E+04,0.11035,2691,0.79071,,,,,,,,,,,,,,
1.23E+04,0.14312,2806,0.72527,,,,,,,,,,,,,,
1.18E+04,0.18192,2825,0.87456,,,,,,,,,,,,,,
1.15E+04,0.15262,2929,0.8449,,,,,,,,,,,,,,
1.10E+04,0.19702,3050,0.78842,,,,,,,,,,,,,,
1.07E+04,0.11899,3210,0.66526,,,,,,,,,,,,,,
1.03E+04,0.13524,3322,0.64706,,,,,,,,,,,,,,
9.81E+03,0.24106,3412,0.6772,,,,,,,,,,,,,,
9.49E+03,0.21941,3515,0.6893,,,,,,,,,,,,,,
9177,0.20296,3687,0.58605,,,,,,,,,,,,,,
8892,0.17521,3813,0.57387,,,,,,,,,,,,,,
8541,0.2121,3900,0.63447,,,,,,,,,,,,,,
8204,0.24933,4066,0.57061,,,,,,,,,,,,,,
7894,0.2747,4168,0.61898,,,,,,,,,,,,,,
7529,0.36279,4355,0.54065,,,,,,,,,,,,,,
7362,0.27677,4475,0.57482,,,,,,,,,,,,,,
7087,0.30126,4700,0.46136,,,,,,,,,,,,,,
6781,0.36774,4805,0.53187,,,,,,,,,,,,,,
6507,0.41453,5037,0.431,,,,,,,,,,,,,,
6301,0.40046,5263,0.35235,,,,,,,,,,,,,,
6087,0.40348,5374,0.43455,,,,,,,,,,,,,,
5846,0.44589,5603,0.37148,,,,,,,,,,,,,,
5641,0.45774,5761,0.40769,,,,,,,,,,,,,,
5.52E+03,0.38092,6005,0.3469,,,,,,,,,,,,,,
5.26E+03,0.47159,6169,0.39178,,,,,,,,,,,,,,
5.10E+03,0.46109,6500,0.25274,,,,,,,,,,,,,,
4.87E+03,0.53928,6665,0.3132,,,,,,,,,,,,,,
4.71E+03,0.53567,6930,0.27202,,,,,,,,,,,,,,
4.45E+03,0.6923,7161,0.27783,,,,,,,,,,,,,,
4.31E+03,0.67542,7456,0.22723,,,,,,,,,,,,,,
4.17E+03,0.67587,7693,0.24642,,,,,,,,,,,,,,
4.07E+03,0.62098,7981,0.22481,,,,,,,,,,,,,,
3.87E+03,0.72672,8264,0.2189,,,,,,,,,,,,,,
3.74E+03,0.74075,8594,0.18002,,,,,,,,,,,,,,
3.57E+03,0.82293,8892,0.18202,,,,,,,,,,,,,,
3.50E+03,0.73932,9170,0.21202,,,,,,,,,,,,,,
3.33E+03,0.83857,9512,0.19639,,,,,,,,,,,,,,
3.23E+03,0.82254,9849,0.19664,,,,,,,,,,,,,,
3.14E+03,0.79988,10203,0.19415,,,,,,,,,,,,,,
3.00E+03,0.88352,10581,0.18403,,,,,,,,,,,,,,
2.92E+03,0.85135,10970,0.1775,,,,,,,,,,,,,,
2.77E+03,0.96576,11378,0.16876,,,,,,,,,,,,,,
2.71E+03,0.90744,11834,0.13718,,,,,,,,,,,,,,
2.66E+03,0.82857,12265,0.13751,,,,,,,,,,,,,,
2.58E+03,0.83401,12737,0.12177,,,,,,,,,,,,,,
2.48E+03,0.87457,13224,0.10951,,,,,,,,,,,,,,
2.35E+03,1,13632,0.16385,,,,,,,,,,,,,,
2.34E+03,0.85374,14139,0.16464,,,,,,,,,,,,,,
2.21E+03,0.96997,14767,0.10234,,,,,,,,,,,,,,
2.22E+03,0.79332,15242,0.15217,,,,,,,,,,,,,,
2.12E+03,0.86903,15835,0.14278,,,,,,,,,,,,,,
2.04E+03,0.89924,16334,0.20476,,,,,,,,,,,,,,
2.04E+03,0.74129,17052,0.15203,,,,,,,,,,,,,,
1.92E+03,0.90127,17612,0.20719,,,,,,,,,,,,,,
1.88E+03,0.8373,18306,0.2018,,,,,,,,,,,,,,
1.79E+03,0.93758,18993,0.21716,,,,,,,,,,,,,,
1.79E+03,0.79419,19646,0.19571,,,,,,,,,,,,,,
1.70E+03,0.89616,20501,0.19571,,,,,,,,,,,,,,
1.72E+03,0.68837,21249,0.19571,,,,,,,,,,,,,,
1.60E+03,0.89394,21908,0.19571,,,,,,,,,,,,,,
1.59E+03,0.75848,22741,0.19571,,,,,,,,,,,,,,
1.53E+03,0.81041,23534,0.19571,,,,,,,,,,,,,,
1.54E+03,0.63347,24366,0.19571,,,,,,,,,,,,,,
1.53E+03,0.52501,25230,0.19571,,,,,,,,,,,,,,
1.41E+03,0.76035,26313,0.19571,,,,,,,,,,,,,,
1.37E+03,0.77212,27219,0.19571,,,,,,,,,,,,,,
1.38E+03,0.58204,28257,0.19571,,,,,,,,,,,,,,
1.36E+03,0.53488,29339,0.19571,,,,,,,,,,,,,,
1.27E+03,0.70144,30387,0.19571,,,,,,,,,,,,,,
1.29E+03,0.50699,31590,0.19571,,,,,,,,,,,,,,
1.23E+03,0.56768,32800,0.19571,,,,,,,,,,,,,,
1.25E+03,0.38802,33979,0.19571,,,,,,,,,,,,,,
1.24E+03,0.30271,35401,0.19571,,,,,,,,,,,,,,
1.15E+03,0.48107,36479,0.19571,,,,,,,,,,,,,,
1.12E+03,0.47079,37893,0.19571,,,,,,,,,,,,,,
1.14E+03,0.27955,39386,0.19571,,,,,,,,,,,,,,
1.05E+03,0.50054,40608,0.19571,,,,,,,,,,,,,,
1.06E+03,0.34987,42142,0.19571,,,,,,,,,,,,,,
1.05E+03,0.29613,43666,0.19571,,,,,,,,,,,,,,
1.01E+03,0.34056,45446,0.19571,,,,,,,,,,,,,,
9.84E+02,0.31623,47074,0.19571,,,,,,,,,,,,,,
1.00E+03,0.1319,48797,0.19571,,,,,,,,,,,,,,
9.60E+02,0.19188,50529,0.19571,,,,,,,,,,,,,,
9.65E+02,0.063294,52449,0.19571,,,,,,,,,,,,,,
9.23E+02,0.12963,54293,0.19571,,,,,,,,,,,,,,
9.06E+02,0.095499,56220,0.19571,,,,,,,,,,,,,,
8.60E+02,0.19077,58082,0.19571,,,,,,,,,,,,,,
8.39E+02,0.18045,59928,0.19571,,,,,,,,,,,,,,
5.91E+04,0.41645,957,1,,,,,,,,,,,,,,
5.69E+04,0.41645,1042,0.77868,,,,,,,,,,,,,,
5.48E+04,0.41645,1077,0.75452,,,,,,,,,,,,,,
5.28E+04,0.41645,1119,0.71051,,,,,,,,,,,,,,
5.09E+04,0.41645,1154,0.69476,,,,,,,,,,,,,,
4.88E+04,0.41645,1149,0.81468,,,,,,,,,,,,,,
4.69E+04,0.41645,1198,0.75707,,,,,,,,,,,,,,
4.49E+04,0.41645,1231,0.75619,,,,,,,,,,,,,,
4.33E+04,0.41645,1272,0.73356,,,,,,,,,,,,,,
4.15E+04,0.41645,1317,0.70304,,,,,,,,,,,,,,
3.99E+04,0.41645,1328,0.77777,,,,,,,,,,,,,,
3.82E+04,0.41645,1372,0.75628,,,,,,,,,,,,,,
3.67E+04,0.41645,1396,0.79661,,,,,,,,,,,,,,
3.51E+04,0.40948,1463,0.71732,,,,,,,,,,,,,,
3.38E+04,0.3777,1495,0.74077,,,,,,,,,,,,,,
3.23E+04,0.38459,1587,0.60847,,,,,,,,,,,,,,
3.11E+04,0.35484,1646,0.57083,,,,,,,,,,,,,,
2.97E+04,0.35785,1671,0.62148,,,,,,,,,,,,,,
2.85E+04,0.35924,1742,0.56274,,,,,,,,,,,,,,
2.73E+04,0.36364,1749,0.6612,,,,,,,,,,,,,,
2.63E+04,0.33318,1817,0.61699,,,,,,,,,,,,,,
2.50E+04,0.3887,1868,0.61713,,,,,,,,,,,,,,
2.40E+04,0.3872,1916,0.62752,,,,,,,,,,,,,,
2.30E+04,0.4073,1921,0.73747,,,,,,,,,,,,,,
2.21E+04,0.39963,2100,0.47238,,,,,,,,,,,,,,
2.11E+04,0.42058,2110,0.57258,,,,,,,,,,,,,,
2.03E+04,0.4197,2244,0.42591,,,,,,,,,,,,,,
1.93E+04,0.47125,2247,0.54267,,,,,,,,,,,,,,
1.85E+04,0.4856,2340,0.48751,,,,,,,,,,,,,,
1.78E+04,0.49585,2477,0.35974,,,,,,,,,,,,,,
1.70E+04,0.5239,2524,0.40082,,,,,,,,,,,,,,
1.63E+04,0.54612,2582,0.42538,,,,,,,,,,,,,,
1.56E+04,0.54893,2668,0.40508,,,,,,,,,,,,,,
1.49E+04,0.5911,2742,0.40962,,,,,,,,,,,,,,
1.44E+04,0.58164,2905,0.27525,,,,,,,,,,,,,,
1.37E+04,0.64224,2955,0.32703,,,,,,,,,,,,,,
13167,0.63981,3084,0.26097,,,,,,,,,,,,,,
12599,0.67059,3181,0.24932,,,,,,,,,,,,,,
12207,0.63535,3325,0.17571,,,,,,,,,,,,,,
11537,0.73274,3384,0.22719,,,,,,,,,,,,,,
11070,0.75023,3453,0.26785,,,,,,,,,,,,,,
10679,0.74061,3580,0.23294,,,,,,,,,,,,,,
10238,0.76397,3672,0.2501,,,,,,,,,,,,,,
9814,0.78842,3833,0.18238,,,,,,,,,,,,,,
9.41E+03,0.81041,3927,0.20596,,,,,,,,,,,,,,
8.98E+03,0.86074,4089,0.15026,,,,,,,,,,,,,,
8.69E+03,0.83839,4174,0.1932,,,,,,,,,,,,,,
8.33E+03,0.8653,4356,0.12625,,,,,,,,,,,,,,
7.97E+03,0.90344,4466,0.1486,,,,,,,,,,,,,,
7.67E+03,0.90836,4622,0.12394,,,,,,,,,,,,,,
7.44E+03,0.88263,4829,0.050905,,,,,,,,,,,,,,
7.05E+03,0.96036,4872,0.15818,,,,,,,,,,,,,,
6.83E+03,0.93869,5071,0.10482,,,,,,,,,,,,,,
6.60E+03,0.9293,5218,0.11173,,,,,,,,,,,,,,
6.31E+03,0.97304,5403,0.086032,,,,,,,,,,,,,,
6.15E+03,0.92771,5569,0.085114,,,,,,,,,,,,,,
5.91E+03,0.94256,5708,0.11528,,,,,,,,,,,,,,
5.64E+03,0.99297,5915,0.086583,,,,,,,,,,,,,,
5.47E+03,0.97068,6096,0.088354,,,,,,,,,,,,,,
5.32E+03,0.94468,6324,0.054212,,,,,,,,,,,,,,
5.12E+03,0.95867,6547,0.0318,,,,,,,,,,,,,,
4.92E+03,0.97346,6752,0.031354,,,,,,,,,,,,,,
4.79E+03,0.9385,6938,0.052591,,,,,,,,,,,,,,
4.60E+03,0.96984,7183,0.03151,,,,,,,,,,,,,,
4.45E+03,0.96219,7395,0.043595,,,,,,,,,,,,,,
4.33E+03,0.93516,7636,0.039155,,,,,,,,,,,,,,
4.16E+03,0.95102,7872,0.045189,,,,,,,,,,,,,,
3.99E+03,0.98124,8077,0.08077,,,,,,,,,,,,,,
3.84E+03,1,8268,0.13244,,,,,,,,,,,,,,
3.74E+03,0.97199,8569,0.10944,,,,,,,,,,,,,,
3.67E+03,0.91605,9006,0,,,,,,,,,,,,,,
3.59E+03,0.86872,9161,0.094667,,,,,,,,,,,,,,
3.44E+03,0.90307,9523,0.054419,,,,,,,,,,,,,,
3.34E+03,0.88985,9771,0.098344,,,,,,,,,,,,,,
3.26E+03,0.86126,10053,0.1265,,,,,,,,,,,,,,
3.08E+03,0.94974,10394,0.12394,,,,,,,,,,,,,,
3.08E+03,0.82981,10758,0.11531,,,,,,,,,,,,,,
2.97E+03,0.83366,11055,0.15629,,,,,,,,,,,,,,
2.83E+03,0.89626,11387,0.18331,,,,,,,,,,,,,,
2.79E+03,0.82712,11772,0.1867,,,,,,,,,,,,,,
2.68E+03,0.85617,12163,0.19547,,,,,,,,,,,,,,
2.63E+03,0.81057,12564,0.20743,,,,,,,,,,,,,,
2.59E+03,0.74641,12957,0.17777,,,,,,,,,,,,,,
2.45E+03,0.8369,13414,0.17777,,,,,,,,,,,,,,
2.44E+03,0.73721,13909,0.17777,,,,,,,,,,,,,,
2.33E+03,0.79153,14292,0.17777,,,,,,,,,,,,,,
2.28E+03,0.74847,14806,0.17777,,,,,,,,,,,,,,
2.25E+03,0.6976,15299,0.17777,,,,,,,,,,,,,,
2.24E+03,0.60858,15795,0.17777,,,,,,,,,,,,,,
2.14E+03,0.66174,16423,0.17777,,,,,,,,,,,,,,
2.10E+03,0.6222,16882,0.17777,,,,,,,,,,,,,,
2.01E+03,0.66665,17389,0.17777,,,,,,,,,,,,,,
2.00E+03,0.58503,18141,0.17777,,,,,,,,,,,,,,
1.85E+03,0.72432,18655,0.17777,,,,,,,,,,,,,,
1.86E+03,0.60996,19295,0.17777,,,,,,,,,,,,,,
1.77E+03,0.66664,19969,0.17777,,,,,,,,,,,,,,
1.76E+03,0.604,20674,0.17777,,,,,,,,,,,,,,
1.80E+03,0.44514,21569,0.17777,,,,,,,,,,,,,,
1.74E+03,0.46262,22351,0.17777,,,,,,,,,,,,,,
1.65E+03,0.52059,22919,0.17777,,,,,,,,,,,,,,
1.62E+03,0.49503,23828,0.17777,,,,,,,,,,,,,,
1.58E+03,0.48405,24681,0.17777,,,,,,,,,,,,,,
1.53E+03,0.48461,25481,0.17777,,,,,,,,,,,,,,
1.52E+03,0.43189,26370,0.17777,,,,,,,,,,,,,,
1.47E+03,0.44425,27333,0.17777,,,,,,,,,,,,,,
1.45E+03,0.38893,28385,0.17777,,,,,,,,,,,,,,
1.41E+03,0.3942,29414,0.17777,,,,,,,,,,,,,,
1.40E+03,0.32646,30459,0.17777,,,,,,,,,,,,,,
1.37E+03,0.31978,31498,0.17777,,,,,,,,,,,,,,
1.36E+03,0.26254,32666,0.17777,,,,,,,,,,,,,,
1.31E+03,0.27686,34075,0.17777,,,,,,,,,,,,,,
1.29E+03,0.24586,35064,0.17777,,,,,,,,,,,,,,
1.25E+03,0.26083,36428,0.17777,,,,,,,,,,,,,,
1.21E+03,0.2746,37844,0.17777,,,,,,,,,,,,,,
1.20E+03,0.2189,39121,0.17777,,,,,,,,,,,,,,
1.16E+03,0.23859,40508,0.17777,,,,,,,,,,,,,,
1.12E+03,0.2482,41914,0.17777,,,,,,,,,,,,,,
1.13E+03,0.16728,43502,0.17777,,,,,,,,,,,,,,
1.13E+03,0.1077,45070,0.17777,,,,,,,,,,,,,,
1.07E+03,0.17172,46655,0.17777,,,,,,,,,,,,,,
1.06E+03,0.12698,48375,0.17777,,,,,,,,,,,,,,
1.02E+03,0.15188,50071,0.17777,,,,,,,,,,,,,,
9.94E+02,0.1467,51718,0.17777,,,,,,,,,,,,,,
9.79E+02,0.11928,53638,0.17777,,,,,,,,,,,,,,
1.00E+03,0,55462,0.17777,,,,,,,,,,,,,,
9.52E+02,0.060688,57545,0.17777,,,,,,,,,,,,,,
8.88E+02,0.15888,59531,0.17777,,,,,,,,,,,,,,
9.15E+02,0.030739,61844,0.17777,,,,,,,,,,,,,,
6.42E+04,0.24336,1091,0,,,,,,,,,,,,,,
6.33E+04,0.24336,1111,0.013172,,,,,,,,,,,,,,
5.87E+04,0.24336,1101,0.072677,,,,,,,,,,,,,,
5.67E+04,0.24336,1144,0.052482,,,,,,,,,,,,,,
5.47E+04,0.24336,1147,0.093547,,,,,,,,,,,,,,
52993,0.24336,1184,0.084749,,,,,,,,,,,,,,
51075,0.24336,1159,0.16952,,,,,,,,,,,,,,
49128,0.24336,1224,0.12059,,,,,,,,,,,,,,
47468,0.24336,1252,0.1284,,,,,,,,,,,,,,
45735,0.24336,1320,0.08217,,,,,,,,,,,,,,
44054,0.24336,1320,0.13085,,,,,,,,,,,,,,
42463,0.24336,1357,0.1301,,,,,,,,,,,,,,
41058,0.24336,1377,0.15344,,,,,,,,,,,,,,
39539,0.24336,1348,0.24485,,,,,,,,,,,,,,
38139,0.24336,1431,0.18446,,,,,,,,,,,,,,
36652,0.24336,1458,0.2016,,,,,,,,,,,,,,
35286,0.24336,1487,0.21726,,,,,,,,,,,,,,
34146,0.24336,1548,0.19367,,,,,,,,,,,,,,
32815,0.24336,1513,0.29322,,,,,,,,,,,,,,
31723,0.24336,1583,0.25985,,,,,,,,,,,,,,
