intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
62114,0.2654,52991,55970,47614,58378,64579,63995,64237,64040,55142
59827,0.2654,51208,53934,45789,56183,64629,61083,63111,61784,53252
57844,0.2654,49445,51913,43953,54257,60364,58375,58973,58500,51587
55736,0.2654,47921,50179,42402,52405,57863,56738,57149,56770,49994
53660,0.2654,46110,48185,40685,50216,55876,54521,55206,54650,48352
51755,0.2654,44509,46161,39111,48184,53925,52727,53367,52828,46740
49887,0.2654,42909,44382,37641,46398,52052,51009,51541,51160,45152
48131,0.2654,41442,42809,36203,44570,50463,49230,49863,49628,43597
46295,0.2654,39689,40951,34692,42678,48467,47186,48096,47636,42083
44680,0.2654,38315,39329,33494,40857,46747,45651,46394,46129,40893
43007,0.2654,37039,37627,32344,39119,45187,43977,44827,44663,39371
41319,0.2654,35563,36119,31128,37574,43390,42341,43240,43094,38112
39715,0.2654,34378,34628,29978,35985,41708,40748,41551,41543,36951
38314,0.2654,33192,33299,29009,34492,40057,39259,40025,40309,35757
36967,0.2654,31976,32018,27881,33318,38749,37875,38631,39044,34511
35450,0.2654,30953,30721,26951,31750,37200,36412,37216,37618,33377
34143,0.2654,29819,29492,26137,30414,35674,35025,35878,36338,32295
32981,0.2654,28828,28242,25338,29234,34302,33815,34630,35174,31343
31735,0.2654,27864,27155,24455,28138,32966,32422,33327,34133,30368
30638,0.2654,26779,26089,23654,26983,31546,31174,31986,33109,29452
29632,0.2654,25956,25147,23009,25948,30329,30094,30894,32066,28638
28487,0.2654,25055,24052,22275,24956,28959,28989,29703,31000,27707
27379,0.2654,24274,23071,21614,23944,27815,27889,28523,30005,26835
26454,0.2654,23466,22173,20997,23186,26612,26781,27443,29073,25969
25477,0.2654,22667,21319,20344,22253,25469,25653,26424,28194,25241
24609,0.2654,21900,20445,19801,21507,24380,24809,25456,27252,24537
23740,0.2654,21169,19695,19165,20737,23280,23741,24466,26392,23653
22822,0.2654,20460,18991,18603,19935,22294,22953,23472,25479,22986
22083,0.4807,19862,18349,18224,19451,21526,22171,22597,24801,22496
21247,0.4905,19264,17720,17733,18715,20622,21245,21799,24055,21814
20479,0.5008,18549,16865,17087,18048,19544,20347,20873,23179,21074
19755,0.4572,17980,16335,16700,17475,18697,19493,20044,22550,20458
19075,0.4351,17385,15761,16204,16902,17931,18760,19231,21668,19895
18361,0.4492,16852,15170,15724,16279,17094,17990,18443,20911,19162
17791,0.3957,16415,14748,15396,15930,16438,17364,17862,20458,18789
17076,0.4381,15734,14175,14993,15323,15663,16595,17028,19720,18176
16594,0.3612,15369,13750,14504,14908,15105,15952,16354,19165,17693
15949,0.3969,14905,13338,14233,14497,14574,15304,15784,18485,17188
15730,0.2221,14642,13171,14141,14376,14212,14955,15373,18326,17085
14815,0.4207,13847,12538,13390,13531,13276,13978,14405,17272,16042
14316,0.4025,13499,12065,12973,13138,12785,13450,13784,16730,15607
13756,0.4416,12960,11685,12602,12767,12287,12818,13304,16215,15119
13234,0.472,12593,11353,12262,12327,11860,12296,12797,15711,14718
12847,0.4428,12245,11019,11953,12072,11534,11738,12240,15229,14225
12400,0.4556,11828,10731,11639,11595,11023,11309,11739,14705,13888
11982,0.4268,11504,10484,11325,11333,10719,10840,11309,14304,13420
11561,0.444,11083,10155,10959,11052,10402,10399,10821,13806,12968
11115,0.5083,10785,9863,10615,10674,10021,9879,10367,13362,12560
10825,0.4665,10527,9679,10383,10358,9732,9578,10056,12934,12194
10443,0.4611,10196,9367,10099,10098,9431,9220,9601,12580,11806
10178,0.4066,9886,9172,9830,9823,9222,8837,9226,12225,11459
9780,0.4817,9582,8909,9597,9578,8968,8522,8852,11777,11142
9448,0.501,9298,8734,9409,9307,8767,8163,8531,11357,10745
9153,0.5124,9025,8525,9073,9112,8491,7882,8233,11022,10432
8891,0.4762,8762,8373,8899,8814,8316,7481,7907,10631,10110
8503,0.5691,8514,8180,8600,8614,8081,7213,7679,10275,9797
8299,0.4988,8287,7956,8367,8361,7875,6947,7377,9985,9491
8025,0.5476,8000,7748,8170,8140,7763,6782,7083,9609,9172
7765,0.5595,7758,7667,7951,7956,7544,6486,6865,9345,8936
7517,0.5498,7542,7408,7764,7749,7380,6266,6582,9039,8626
7276,0.5866,7281,7258,7579,7517,7190,6087,6399,8722,8416
7054,0.5755,7045,7086,7348,7320,7043,5822,6148,8455,8071
6876,0.5767,6924,6952,7197,7148,6910,5725,5949,8201,7884
6643,0.5667,6651,6775,7031,6992,6770,5544,5762,7935,7647
6415,0.64,6497,6621,6851,6791,6597,5340,5559,7678,7345
6218,0.6125,6268,6480,6670,6636,6504,5149,5380,7413,7148
5942,0.7416,6083,6370,6512,6455,6309,5065,5190,7130,6890
5837,0.673,5928,6194,6355,6326,6181,4904,5066,6913,6718
5589,0.7955,5799,6102,6188,6191,6073,4820,4952,6690,6458
5450,0.7686,5584,5956,6078,5966,5939,4677,4841,6517,6292
5326,0.7487,5467,5836,5895,5876,5801,4574,4631,6333,6116
5153,0.759,5370,5642,5759,5694,5655,4417,4560,6123,5887
4956,0.8547,5199,5565,5647,5639,5526,4320,4413,5892,5668
4828,0.8183,5022,5385,5504,5485,5460,4209,4298,5739,5549
4670,0.9132,4936,5351,5419,5300,5315,4127,4196,5582,5340
4578,0.8548,4814,5227,5234,5180,5207,4017,4097,5382,5202
4433,0.8623,4657,5079,5126,5110,5129,3970,4022,5320,5023
4308,0.9162,4527,4962,5032,4973,4942,3857,3973,5095,4825
4209,0.8745,4452,4834,4946,4860,4822,3784,3847,4931,4695
4072,0.9805,4359,4780,4806,4724,4763,3699,3794,4833,4536
4021,0.8305,4208,4663,4703,4627,4672,3631,3708,4723,4430
3873,1,4147,4569,4604,4520,4599,3525,3625,4576,4311
3768,0.9212,4061,4481,4519,4409,4453,3415,3543,4415,4196
3687,0.9307,3998,4389,4452,4314,4397,3389,3499,4396,4040
3623,0.8828,3931,4303,4386,4287,4343,3275,3437,4264,3968
3534,0.9255,3832,4235,4271,4131,4181,3224,3416,4159,3820
3460,0.9227,3714,4126,4218,4033,4128,3113,3287,4028,3748
3414,0.7851,3650,4062,4077,4008,4073,3044,3232,3968,3653
3288,0.9254,3581,3982,4082,3873,3992,2987,3217,3885,3594
3273,0.8114,3569,3942,3979,3846,3924,2931,3130,3852,3549
3167,0.8832,3471,3797,3841,3764,3842,2868,3125,3733,3382
3120,0.8411,3388,3719,3790,3683,3729,2819,3005,3721,3342
3069,0.7581,3322,3719,3748,3637,3710,2761,3003,3605,3280
2957,0.9017,3290,3608,3698,3517,3617,2709,2959,3529,3197
2940,0.8044,3245,3548,3625,3474,3563,2635,2913,3452,3103
2883,0.7865,3209,3496,3581,3397,3467,2580,2874,3399,3048
2805,0.7958,3142,3472,3512,3370,3432,2557,2790,3317,3036
2825,0.6717,3114,3430,3477,3310,3348,2518,2755,3337,2961
2738,0.728,3066,3366,3422,3261,3292,2469,2771,3289,2954
2696,0.7529,2981,3295,3381,3167,3233,2409,2698,3175,2858
2648,0.6415,2922,3217,3308,3099,3162,2409,2698,3128,2826
2614,0.6685,2927,3209,3295,3049,3141,2316,2643,3045,2814
2555,0.6626,2877,3152,3192,3044,3084,2255,2563,3036,2757
2533,0.6007,2841,3092,3172,2985,3058,2241,2576,3003,2687
2491,0.5804,2804,3102,3148,2986,2971,2207,2514,2935,2678
2474,0.5792,2774,3015,3066,2913,2959,2203,2493,2880,2621
2413,0.5169,2743,2989,3079,2884,2899,2193,2468,2873,2601
2411,0.3694,2692,2977,3055,2838,2817,2190,2469,2817,2584
