intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
1539,0.1264,1649,1688,1611,1618,1656,1688,1613,1543
1539,0,1717,1673,1601,1635,1694,1657,1630,1601
1533,0.3734,1679,1691,1637,1626,1697,1728,1651,1636
1573,0.0488,1774,1699,1651,1636,1729,1722,1641,1628
1577,0.397,1723,1730,1698,1643,1759,1726,1662,1684
1593,0.1378,1761,1758,1686,1656,1762,1770,1682,1666
1603,0.4256,1782,1753,1695,1679,1782,1776,1691,1717
1623,0.2846,1799,1782,1684,1713,1804,1816,1680,1711
1592,0.6316,1840,1819,1765,1691,1812,1816,1718,1708
1641,0.3291,1836,1840,1845,1736,1830,1824,1774,1779
1655,0.3644,1865,1859,1770,1738,1857,1820,1752,1773
1686,0.2124,1884,1894,1781,1746,1862,1862,1812,1810
1645,0.7958,1917,1875,1841,1775,1887,1852,1858,1806
1704,0.5862,1924,1949,1858,1767,1897,1926,1861,1851
1728,0.3352,1946,1944,1846,1819,1935,1955,1844,1876
1763,0.4835,1969,1934,1900,1840,1987,1946,1893,1863
1743,0.6532,1994,2016,1910,1813,1958,1962,1906,1927
1762,0.6613,2028,2032,1945,1858,2008,2019,1920,1958
1789,0.624,2038,2068,1955,1852,2065,2012,1971,1981
1814,0.6512,2086,2043,1934,1898,2039,2053,1999,2020
1821,0.6871,2103,2107,2028,1904,2125,2083,2020,2047
1879,0.5378,2112,2092,2034,1919,2111,2134,2088,2082
1863,0.7579,2166,2179,2046,1926,2128,2124,2060,2127
1882,0.8238,2185,2203,2062,1987,2153,2141,2072,2141
1953,0.6599,2222,2230,2154,1966,2203,2164,2114,2177
1947,0.7902,2300,2249,2132,2002,2228,2182,2139,2254
1985,0.8078,2255,2279,2167,2041,2212,2275,2164,2240
2015,0.7781,2340,2327,2227,2105,2257,2300,2216,2297
2053,0.6617,2351,2342,2234,2068,2314,2319,2224,2285
2087,0.7728,2388,2387,2268,2134,2371,2370,2277,2364
2126,1,2437,2417,2316,2138,2365,2360,2227,2386
2142,0.8128,2461,2468,2355,2188,2401,2415,2357,2418
2177,0.8266,2501,2491,2360,2189,2411,2393,2399,2497
2208,0.9281,2554,2533,2435,2226,2443,2517,2406,2517
2258,0.8162,2606,2568,2430,2315,2522,2499,2403,2593
2303,0.8643,2641,2598,2445,2285,2558,2593,2501,2590
2318,0.8621,2667,2622,2557,2325,2595,2599,2567,2650
2402,0.7727,2769,2658,2532,2340,2622,2658,2577,2694
2449,0.7549,2843,2747,2650,2439,2730,2692,2642,2823
2483,0.86,2817,2743,2640,2434,2671,2713,2623,2774
2490,0.9438,2893,2802,2685,2457,2764,2755,2688,2848
2588,0.7927,2901,2871,2726,2512,2798,2801,2722,2927
2615,0.8846,2989,2908,2801,2547,2833,2823,2778,2968
2723,0.7552,3047,2912,2816,2603,2917,2844,2840,3023
2753,0.8614,3077,2978,2888,2619,2936,2897,2867,3112
2849,0.5966,3176,3059,2913,2651,2959,2968,2897,3171
2838,0.8254,3230,3127,2979,2727,3075,2979,2950,3203
2956,0.7628,3359,3171,3011,2745,3102,3004,3006,3288
3022,0.7949,3366,3250,3020,2785,3135,3099,3140,3323
3175,0.462,3415,3245,3127,2843,3195,3153,3123,3412
