intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
1539,0.1264,1040,927,1072,1081,1091,1127,1157,1146,1308,1269,1481,1502
1539,0,1026,959,1049,1078,1099,1099,1148,1133,1282,1292,1509,1537
1533,0.3734,1086,972,1086,1078,1141,1088,1150,1202,1280,1338,1525,1575
1573,0.0488,1066,938,1119,1146,1125,1098,1169,1178,1286,1318,1560,1545
1577,0.397,1068,962,1087,1119,1117,1129,1178,1186,1331,1349,1576,1554
1593,0.1378,1105,976,1113,1121,1178,1134,1216,1201,1342,1318,1571,1593
1603,0.4256,1109,990,1116,1136,1166,1137,1223,1207,1339,1355,1571,1622
1623,0.2846,1070,1006,1136,1158,1178,1145,1233,1230,1363,1348,1620,1656
1592,0.6316,1119,1007,1130,1131,1172,1158,1224,1234,1358,1394,1596,1620
1641,0.3291,1082,1015,1128,1128,1165,1155,1243,1261,1361,1380,1681,1658
1655,0.3644,1126,1007,1175,1193,1199,1196,1317,1281,1413,1397,1682,1701
1686,0.2124,1131,1025,1132,1168,1203,1190,1259,1303,1418,1443,1686,1693
1645,0.7958,1161,1018,1179,1181,1244,1211,1291,1279,1425,1450,1701,1697
1704,0.5862,1121,1008,1169,1198,1225,1257,1281,1265,1444,1453,1736,1784
1728,0.3352,1168,1034,1195,1229,1260,1194,1300,1294,1424,1441,1790,1752
1763,0.4835,1185,1047,1228,1212,1270,1276,1344,1302,1491,1460,1764,1801
1743,0.6532,1197,1057,1230,1235,1248,1255,1357,1327,1524,1460,1805,1846
1762,0.6613,1200,1066,1257,1216,1295,1241,1370,1354,1507,1477,1817,1799
1789,0.624,1238,1098,1254,1276,1261,1258,1335,1347,1480,1528,1879,1865
1814,0.6512,1221,1110,1291,1308,1297,1323,1379,1376,1528,1513,1856,1874
1821,0.6871,1234,1104,1280,1313,1303,1342,1410,1384,1528,1526,1909,1893
1879,0.5378,1241,1113,1276,1289,1337,1318,1422,1418,1551,1567,1936,1909
1863,0.7579,1286,1141,1262,1325,1306,1354,1471,1408,1583,1589,1948,1955
1882,0.8238,1242,1141,1362,1321,1398,1354,1499,1398,1591,1593,1964,2006
1953,0.6599,1300,1160,1342,1347,1350,1355,1510,1435,1644,1644,1951,1992
1947,0.7902,1321,1211,1395,1372,1394,1364,1522,1473,1617,1623,2043,2062
1985,0.8078,1307,1188,1395,1387,1410,1413,1539,1496,1649,1684,2071,2105
2015,0.7781,1356,1239,1392,1408,1425,1458,1535,1550,1711,1706,2097,2128
2053,0.6617,1349,1251,1411,1429,1464,1426,1554,1513,1701,1722,2141,2163
2087,0.7728,1387,1265,1485,1484,1502,1479,1616,1570,1684,1722,2147,2218
2126,1,1350,1275,1440,1442,1497,1510,1642,1543,1774,1789,2231,2251
2142,0.8128,1399,1306,1492,1516,1535,1481,1680,1598,1798,1772,2199,2300
2177,0.8266,1462,1328,1525,1546,1521,1528,1699,1622,1801,1813,2263,2303
2208,0.9281,1473,1324,1556,1512,1579,1542,1715,1643,1837,1822,2262,2413
2258,0.8162,1462,1366,1553,1589,1568,1590,1739,1689,1869,1861,2323,2410
2303,0.8643,1461,1406,1522,1602,1583,1619,1781,1682,1910,1865,2332,2467
2318,0.8621,1549,1421,1616,1602,1641,1629,1846,1710,1908,1903,2383,2510
2402,0.7727,1546,1422,1657,1690,1662,1655,1869,1756,1958,1970,2453,2571
2449,0.7549,1566,1490,1712,1699,1698,1727,1903,1774,2034,1965,2530,2612
2483,0.86,1582,1493,1674,1721,1707,1741,1903,1799,2029,1974,2499,2607
2490,0.9438,1558,1494,1729,1767,1737,1731,1958,1815,2028,2007,2598,2683
2588,0.7927,1607,1545,1765,1794,1790,1814,1962,1847,2098,2056,2602,2769
2615,0.8846,1621,1565,1771,1802,1801,1844,2012,1897,2109,2097,2649,2786
2723,0.7552,1659,1605,1828,1845,1812,1834,2082,1891,2217,2088,2704,2845
2753,0.8614,1710,1590,1843,1898,1861,1920,2127,1981,2214,2156,2802,2879
2849,0.5966,1758,1656,1894,1915,1936,1922,2156,1990,2263,2182,2762,2963
2838,0.8254,1740,1654,1914,2004,1907,1963,2180,2024,2271,2229,2864,3005
2956,0.7628,1791,1692,1936,2060,1975,2001,2258,2088,2314,2257,2898,3032
3022,0.7949,1782,1757,1996,2068,2021,2052,2282,2099,2370,2316,2975,3076
3175,0.462,1851,1773,2055,2117,2081,2125,2359,2126,2470,2365,3053,3176
3217,0.5248,1897,1845,2094,2185,2112,2147,2383,2228,2489,2349,3118,3223
3255,0.6998,1929,1824,2128,2213,2181,2166,2466,2256,2566,2411,3195,3314
3364,0.6269,1942,1868,2159,2288,2187,2223,2521,2280,2609,2478,3261,3405
3443,0.6696,1994,1939,2163,2339,2286,2268,2563,2324,2638,2527,3366,3437
3483,0.7154,1991,1937,2264,2384,2319,2317,2679,2363,2768,2604,3396,3538
3592,0.6626,2036,1999,2334,2455,2407,2384,2706,2426,2755,2597,3463,3626
3728,0.4952,2096,2027,2396,2527,2476,2433,2788,2535,2841,2676,3531,3687
3823,0.5717,2150,2089,2491,2571,2500,2510,2807,2540,2910,2705,3661,3754
3950,0.4977,2181,2143,2516,2648,2565,2573,2901,2615,2974,2765,3711,3887
4055,0.4356,2259,2181,2525,2701,2649,2607,2969,2700,3014,2844,3840,3905
4176,0.4493,2280,2221,2608,2796,2718,2639,3047,2749,3113,2863,3932,4043
4263,0.4547,2316,2257,2697,2891,2734,2714,3169,2873,3177,2948,4000,4142
