intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,S10,S11,S12,S13
5837,0.673,7546,5904,4783,4575,5269,5190,5426,4967,5004,4891,4560,5103,5472
5589,0.7955,7350,5751,4613,4521,5129,5050,5278,4825,4858,4713,4430,4952,5265
5450,0.7686,7187,5565,4429,4332,4991,4918,5097,4612,4717,4567,4314,4798,5150
5326,0.7487,6965,5387,4344,4226,4898,4754,4972,4535,4541,4413,4105,4617,5018
5153,0.759,6808,5342,4173,4082,4746,4661,4812,4337,4389,4278,4045,4490,4846
4956,0.8547,6592,5138,4115,3975,4613,4557,4679,4261,4275,4154,3962,4292,4752
4828,0.8183,6458,4992,3932,3867,4543,4383,4528,4105,4131,3992,3840,4207,4558
4670,0.9132,6291,4902,3853,3796,4400,4260,4373,3986,4060,3931,3702,4021,4452
4578,0.8548,6139,4747,3733,3645,4314,4153,4282,3852,3945,3752,3578,3940,4366
4433,0.8623,5981,4636,3666,3566,4188,4059,4162,3716,3808,3674,3506,3836,4235
4308,0.9162,5818,4467,3572,3489,4088,3933,4040,3662,3663,3526,3394,3709,4154
4209,0.8745,5660,4363,3491,3376,4018,3858,3976,3504,3585,3465,3289,3636,3972
4072,0.9805,5528,4319,3363,3270,3866,3717,3826,3452,3461,3345,3202,3550,3948
4021,0.8305,5445,4147,3308,3204,3815,3649,3680,3336,3358,3233,3113,3378,3780
3873,1,5246,4051,3180,3145,3686,3591,3617,3214,3269,3177,3025,3322,3692
3768,0.9212,5133,3982,3181,3090,3645,3491,3564,3174,3160,3099,2977,3225,3597
3687,0.9307,5063,3886,3079,3020,3527,3396,3455,3083,3092,3033,2844,3181,3545
3623,0.8828,4914,3759,3022,2959,3465,3319,3358,2980,3005,2907,2821,3079,3448
3534,0.9255,4780,3672,2914,2897,3402,3240,3247,2916,2928,2816,2719,2971,3352
3460,0.9227,4659,3592,2849,2804,3313,3181,3169,2835,2845,2761,2669,2855,3264
3414,0.7851,4568,3507,2799,2780,3218,3092,3106,2758,2726,2695,2584,2833,3151
3288,0.9254,4463,3463,2728,2739,3189,3027,3023,2696,2677,2638,2508,2758,3103
3273,0.8114,4356,3399,2704,2657,3125,2970,2968,2656,2642,2555,2495,2712,3075
3167,0.8832,4229,3281,2638,2576,3063,2887,2869,2554,2561,2530,2414,2617,2950
3120,0.8411,4189,3195,2572,2559,2971,2843,2848,2532,2489,2415,2353,2624,2921
3069,0.7581,4066,3179,2546,2482,2934,2841,2785,2469,2462,2372,2292,2544,2807
2957,0.9017,3939,3066,2470,2461,2848,2734,2680,2437,2346,2322,2220,2456,2732
2940,0.8044,3834,3056,2445,2381,2823,2676,2625,2383,2292,2275,2162,2387,2671
2883,0.7865,3770,2957,2385,2338,2770,2618,2593,2250,2246,2194,2111,2334,2632
2805,0.7958,3663,2914,2357,2304,2716,2584,2522,2256,2192,2156,2071,2291,2526
2825,0.6717,3642,2857,2338,2316,2675,2493,2435,2215,2101,2082,2033,2246,2503
