intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
3167,0.8832,3944,7161,5506,5032,5051,4272,2565,2714,3796
3120,0.8411,3929,7136,5431,4898,4953,4245,2512,2715,3691
3069,0.7581,3870,7159,5420,4891,4959,4218,2508,2684,3633
2957,0.9017,3800,7040,5336,4789,4853,4126,2449,2616,3566
2940,0.8044,3725,7069,5286,4768,4880,4099,2425,2550,3489
2883,0.7865,3692,7080,5241,4715,4837,4014,2374,2518,3439
2805,0.7958,3655,7012,5214,4696,4763,3946,2322,2450,3339
2825,0.6717,3632,7057,5171,4705,4765,3965,2288,2412,3368
2738,0.728,3606,7078,5143,4624,4818,3948,2286,2382,3278
2696,0.7529,3556,7018,5112,4573,4731,3865,2223,2346,3206
2648,0.6415,3501,7004,5057,4517,4678,3853,2205,2285,3123
2614,0.6685,3447,6953,5012,4453,4635,3849,2175,2270,3105
2555,0.6626,3463,6992,5004,4494,4648,3749,2089,2239,3073
2533,0.6007,3433,6913,4943,4441,4592,3751,2090,2163,2995
2491,0.5804,3363,6918,4905,4412,4582,3734,2056,2156,2963
2474,0.5792,3371,6889,4887,4436,4544,3719,2075,2119,2935
2413,0.5169,3335,6918,4907,4392,4610,3647,2027,2107,2880
2411,0.3694,3333,6983,4815,4392,4576,3638,1989,2041,2839
2364,0.4867,3298,6911,4816,4285,4562,3603,1977,2044,2806
2301,0.5049,3227,6936,4793,4322,4539,3547,1981,2057,2801
2294,0.4926,3254,6952,4801,4311,4530,3577,1915,1978,2731
2308,0.28,3221,6924,4772,4342,4511,3547,1867,1934,2724
2215,0.388,3179,6889,4794,4212,4469,3480,1862,1933,2668
2208,0.441,3195,6899,4706,4280,4507,3448,1878,1900,2615
2175,0.3791,3171,6860,4715,4251,4505,3422,1846,1896,2580
2169,0.2113,3116,6869,4730,4252,4443,3408,1827,1886,2545
2135,0.3015,3131,6797,4656,4220,4458,3409,1794,1876,2540
2113,0.2331,3137,6889,4674,4188,4405,3324,1808,1813,2472
2083,0.2736,3092,6872,4659,4198,4388,3339,1740,1776,2455
2064,0.1927,3086,6848,4607,4164,4379,3316,1782,1767,2429
2046,0.1583,3102,6825,4618,4159,4359,3280,1739,1744,2412
2013,0.1066,3047,6839,4602,4149,4380,3271,1743,1713,2380
2006,0.0988,3036,6844,4607,4164,4392,3250,1708,1703,2343
1932,0.1476,3033,6853,4583,4120,4312,3226,1699,1707,2335
1964,0.0139,3004,6888,4568,4134,4273,3196,1681,1668,2325
1922,0.0533,2997,6849,4544,4101,4254,3166,1683,1674,2275
1924,0,2976,6840,4526,4062,4263,3154,1638,1658,2223
1864,0.1556,2974,6901,4566,4073,4259,3107,1638,1638,2247
60084,0.1023,,,,,,,,,
57757,0.0788,,,,,,,,,
55771,0.0437,,,,,,,,,
53691,0.0235,,,,,,,,,
51637,0.0113,,,,,,,,,
49609,0.0067,,,,,,,,,
47660,0.0032,,,,,,,,,
45848,0,,,,,,,,,
43911,0.0105,,,,,,,,,
42163,0.0142,,,,,,,,,
40600,0.012,,,,,,,,,
38929,0.0259,,,,,,,,,
37254,0.0442,,,,,,,,,
35812,0.0521,,,,,,,,,
34367,0.0627,,,,,,,,,
32903,0.083,,,,,,,,,
31743,0.0806,,,,,,,,,
30418,0.1042,,,,,,,,,
29145,0.1182,,,,,,,,,
27976,0.1422,,,,,,,,,
27010,0.1426,,,,,,,,,
25830,0.1745,,,,,,,,,
24772,0.1954,,,,,,,,,
23842,0.2102,,,,,,,,,
22814,0.2339,,,,,,,,,
21874,0.2597,,,,,,,,,
21087,0.2662,,,,,,,,,
20171,0.3064,,,,,,,,,
19518,0.3036,,,,,,,,,
18675,0.3307,,,,,,,,,
17818,0.374,,,,,,,,,
17131,0.3964,,,,,,,,,
16369,0.4362,,,,,,,,,
15781,0.4517,,,,,,,,,
15183,0.46,,,,,,,,,
14571,0.4917,,,,,,,,,
14042,0.511,,,,,,,,,
13496,0.5332,,,,,,,,,
13220,0.5003,,,,,,,,,
12367,0.6131,,,,,,,,,
11961,0.6179,,,,,,,,,
11466,0.6452,,,,,,,,,
11011,0.6796,,,,,,,,,
10680,0.6806,,,,,,,,,
10241,0.7153,,,,,,,,,
9824,0.7448,,,,,,,,,
9584,0.7357,,,,,,,,,
9144,0.7767,,,,,,,,,
8885,0.7847,,,,,,,,,
8529,0.8131,,,,,,,,,
8199,0.8422,,,,,,,,,
7993,0.8455,,,,,,,,,
7750,0.8521,,,,,,,,,
7466,0.8671,,,,,,,,,
7248,0.8773,,,,,,,,,
7022,0.8759,,,,,,,,,
6832,0.8818,,,,,,,,,
6590,0.9121,,,,,,,,,
6386,0.9269,,,,,,,,,
6182,0.9436,,,,,,,,,
6020,0.9383,,,,,,,,,
5865,0.9398,,,,,,,,,
5675,0.9479,,,,,,,,,
5557,0.9304,,,,,,,,,
5410,0.9438,,,,,,,,,
5282,0.9367,,,,,,,,,
5094,0.9719,,,,,,,,,
4998,0.9689,,,,,,,,,
4862,0.9833,,,,,,,,,
4747,0.9817,,,,,,,,,
4591,0.973,,,,,,,,,
4477,0.9657,,,,,,,,,
4358,1,,,,,,,,,
4332,0.9606,,,,,,,,,
4196,0.9896,,,,,,,,,
4166,0.9696,,,,,,,,,
4015,0.9706,,,,,,,,,
3971,0.9431,,,,,,,,,
3881,0.9644,,,,,,,,,
3788,0.9624,,,,,,,,,
3710,0.9608,,,,,,,,,
3611,0.9719,,,,,,,,,
3576,0.9376,,,,,,,,,
3586,0.9031,,,,,,,,,
3454,0.9141,,,,,,,,,
3368,0.9534,,,,,,,,,
3312,0.9336,,,,,,,,,
3246,0.9189,,,,,,,,,
3190,0.9125,,,,,,,,,
3125,0.9221,,,,,,,,,
3115,0.8851,,,,,,,,,
3073,0.8932,,,,,,,,,
3006,0.8738,,,,,,,,,
2969,0.8815,,,,,,,,,
2931,0.8703,,,,,,,,,
2892,0.8574,,,,,,,,,
2814,0.8703,,,,,,,,,
2785,0.8428,,,,,,,,,
2791,0.8092,,,,,,,,,
2682,0.8631,,,,,,,,,
2679,0.8314,,,,,,,,,
2638,0.8287,,,,,,,,,
2628,0.795,,,,,,,,,
2599,0.778,,,,,,,,,
2513,0.8193,,,,,,,,,
2496,0.821,,,,,,,,,
2481,0.7748,,,,,,,,,
2444,0.7661,,,,,,,,,
2417,0.7721,,,,,,,,,
2357,0.7672,,,,,,,,,
2366,0.7355,,,,,,,,,
2329,0.7402,,,,,,,,,
2300,0.7355,,,,,,,,,
2258,0.7456,,,,,,,,,
2227,0.7483,,,,,,,,,
2182,0.7702,,,,,,,,,
2180,0.7535,,,,,,,,,
2142,0.7583,,,,,,,,,
2175,0.6507,,,,,,,,,
2107,0.7177,,,,,,,,,
2081,0.7305,,,,,,,,,
2056,0.7158,,,,,,,,,
2052,0.6956,,,,,,,,,
2022,0.7001,,,,,,,,,
1977,0.6822,,,,,,,,,
1989,0.6795,,,,,,,,,
1947,0.7144,,,,,,,,,
1940,0.6724,,,,,,,,,
65108,0.2995,,,,,,,,,
64706,0.2027,,,,,,,,,
59862,0.545,,,,,,,,,
58095,0.3283,,,,,,,,,
55892,0.4629,,,,,,,,,
53976,0.3337,,,,,,,,,
52187,0.6106,,,,,,,,,
50362,0.5095,,,,,,,,,
48566,0.4398,,,,,,,,,
46774,0.3794,,,,,,,,,
45253,0.4659,,,,,,,,,
43621,0.4271,,,,,,,,,
42116,0.3645,,,,,,,,,
40650,0.3164,,,,,,,,,
39310,0.2447,,,,,,,,,
37852,0.2564,,,,,,,,,
36556,0.2176,,,,,,,,,
35376,0.1578,,,,,,,,,
34115,0.1601,,,,,,,,,
32882,0.1556,,,,,,,,,
31821,0.1317,,,,,,,,,
30653,0.1429,,,,,,,,,
29672,0.1194,,,,,,,,,
28679,0.1212,,,,,,,,,
27631,0.1432,,,,,,,,,
26824,0.0943,,,,,,,,,
25888,0.1022,,,,,,,,,
24905,0.1742,,,,,,,,,
24143,0.141,,,,,,,,,
23497,0.0841,,,,,,,,,
22487,0.2002,,,,,,,,,
21887,0.1401,,,,,,,,,
21190,0.1392,,,,,,,,,
20416,0.2225,,,,,,,,,
19831,0.174,,,,,,,,,
19259,0.1558,,,,,,,,,
18628,0.1795,,,,,,,,,
18093,0.1748,,,,,,,,,
17901,0,,,,,,,,,
16967,0.2138,,,,,,,,,
16435,0.2333,,,,,,,,,
15892,0.2523,,,,,,,,,
15478,0.2294,,,,,,,,,
14942,0.2802,,,,,,,,,
14566,0.2582,,,,,,,,,
14088,0.2896,,,,,,,,,
13723,0.2851,,,,,,,,,
13215,0.3613,,,,,,,,,
12975,0.2971,,,,,,,,,
12620,0.2688,,,,,,,,,
12227,0.3236,,,,,,,,,
11897,0.317,,,,,,,,,
11501,0.3798,,,,,,,,,
