O2Hb,HHB,THb,HB_diff,TSI
0.1205247,0.3231542,0.4435788,-0.2026295,94.4048691
0.0131145,0.3183287,0.3313432,-0.3052142,94.4648743
-0.0370419,0.3019266,0.2647847,-0.3389685,94.4865952
0.2774028,0.3276294,0.6049323,-0.0502266,94.2467957
0.3939755,0.3547329,0.7486084,0.0392426,94.2979736
0.3197735,0.3552581,0.6749316,-0.0354847,94.406662
0.2780912,0.3443817,0.6223729,-0.0662905,94.4315491
0.2116749,0.3336804,0.5452554,-0.1220055,94.4916077
0.1205247,0.3231542,0.4435788,-0.2026295,94.5863113
0.0371601,0.3014013,0.3384615,-0.2642412,94.5714493
-0.0292561,0.2907,0.2613439,-0.3199562,94.6214142
0.2526689,0.3278045,0.5803733,-0.0751357,94.4343185
0.4180212,0.3378056,0.7557268,0.0802156,94.4004517
0.3438191,0.3383308,0.6820499,0.0054884,94.5175705
0.3021369,0.3274544,0.6294913,-0.0253175,94.5266876
0.2109866,0.3169281,0.5278147,-0.1059415,94.7099838
0.1198363,0.3064019,0.4261382,-0.1865656,94.6214142
0.028686,0.2958756,0.3244616,-0.2671896,94.6402664
-0.0709384,0.2798236,0.2087852,-0.350762,94.6704407
0.1113622,0.3008761,0.4121383,-0.189514,94.5757751
0.3431308,0.3215785,0.6646093,0.0215523,94.4813843
0.310611,0.3329801,0.6434911,-0.0223691,94.4463043
0.2526689,0.3278045,0.5803733,-0.0751357,94.5161514
0.2025125,0.3114024,0.5138149,-0.1088899,94.5175705
0.1035764,0.3121027,0.4155791,-0.2085263,94.660408
0.0371601,0.3014013,0.3384615,-0.2642412,94.6012268
-0.0539901,0.2908751,0.2367849,-0.3448652,94.6454391
-0.0123079,0.3017515,0.2893436,-0.3140594,94.6056595
0.2533572,0.3445568,0.597814,-0.0911996,94.4235458
0.3028252,0.3442067,0.6469319,-0.0413814,94.4949875
0.261143,0.3333303,0.5943732,-0.0721873,94.5279846
0.2116749,0.3336804,0.5452554,-0.1220055,94.5701904
0.1374729,0.3342056,0.4715785,-0.1967327,94.5789795
0.0463226,0.3236794,0.369902,-0.2773567,94.6056595
-0.0610876,0.3188539,0.2576664,-0.3799415,94.6251678
0.0300627,0.3293802,0.3593429,-0.2993174,94.5943069
0.2780912,0.3443817,0.6223729,-0.0662905,94.4491425
0.2618313,0.3500825,0.6118138,-0.0882512,94.5130539
0.1876293,0.3506078,0.538137,-0.1629785,94.6206894
0.1296871,0.3454322,0.4750193,-0.215745,94.6299667
0.0547967,0.3292051,0.3839018,-0.2744084,94.6149368
-0.0200937,0.312978,0.2927844,-0.3330717,94.7073135
