O2Hb1,HHB1,TSI1,TSIFT1,O2Hb2,HHB2,TSI2,TSIFT2
0.7923727,0.2305051,72.7880859,99.9606628,-1.1477115,-0.3520551,73.3904877,99.7817688
0.8418797,0.2294363,72.7424774,99.9596329,-1.6170806,-0.4495839,73.3987503,99.7908478
0.15725,0.1257885,72.7959061,99.9628448,-2.1359565,-0.5460438,73.3604736,99.7973022
-0.292695,0.0709051,72.8494263,99.9653168,-2.2844775,-0.5428375,73.4452591,99.8023987
-0.9256265,-0.0015603,72.8168488,99.9668808,-0.3101785,-0.1871113,73.5607224,99.7903824
-1.4445025,-0.0980203,72.7814941,99.9694595,0.5574374,-0.0658815,73.3983536,99.7788773
-1.8621733,-0.1643666,72.7433853,99.9710312,0.2065063,-0.1229025,73.4175949,99.7695923
-2.3121185,-0.21925,72.797226,99.9720001,0.0557942,-0.1519473,73.4175949,99.7668304
-0.8933522,-0.0130232,72.8063583,99.9688873,-0.4803146,-0.2588015,73.3385696,99.7731628
1.0787555,0.3104519,72.7854843,99.958992,-1.0486976,-0.3541927,73.4369431,99.780014
1.1110297,0.298989,72.6942596,99.958992,-1.4663684,-0.420539,73.4833908,99.7872391
0.3596604,0.1860158,72.7424774,99.9615784,-1.8689979,-0.5087424,73.4452591,99.7945328
-0.0752432,0.1092753,72.7528381,99.9640961,-2.3878739,-0.6052024,73.4098053,99.8012466
-0.7103659,0.0045588,72.7174377,99.9667587,-1.6170806,-0.4495839,73.4583817,99.7968826
-1.3110231,-0.0793695,72.7736511,99.9692383,0.1892735,-0.1332966,73.5663223,99.7862244
-1.728694,-0.1457159,72.7814941,99.9705429,0.3722599,-0.1157147,73.4148407,99.7721786
-2.1958718,-0.2109934,72.7893524,99.9718018,0.1375753,-0.164479,73.4148407,99.76651
-1.0396818,0.0224343,72.9406738,99.9681396,-0.1293834,-0.2017805,73.4639282,99.7692566
1.0615227,0.3000577,72.7828827,99.9593582,-0.7322319,-0.31796,73.3877335,99.774437
1.0959883,0.320846,72.8310394,99.9586563,-1.1843683,-0.4050946,73.3932419,99.7806625
0.3919346,0.1745529,72.7424774,99.9622421,-1.5352994,-0.4621156,73.3987503,99.7880402
-0.0580105,0.1196695,72.844162,99.964119,-1.9874358,-0.5492501,73.4508209,99.7957687
-0.6608589,0.00349,72.8063583,99.9670715,-2.338367,-0.6062711,73.4563828,99.8015366
-1.2270507,-0.05965,72.8626175,99.9690094,-0.4458492,-0.2380132,73.6528397,99.7903595
-1.5952146,-0.1270651,72.8679047,99.9700851,1.1063964,-0.0131356,73.4768982,99.7732773
-1.9806112,-0.2048744,72.7814941,99.9716873,1.0396568,-0.022461,73.4120941,99.7567825
-0.9083937,0.0088339,72.9781952,99.9676208,0.8049722,-0.0712254,73.4120941,99.7524338
1.0765642,0.2782007,72.8712921,99.9597244,0.3356031,-0.1687541,73.4666977,99.7580872
1.0098245,0.2688753,72.8258057,99.9593735,-0.2995196,-0.2734707,73.4750366,99.7646866
0.3574691,0.1537646,72.8739243,99.9626236,-0.7494646,-0.3283541,73.5214386,99.7742462
-0.0752432,0.1092753,72.8818436,99.9647217,-1.1693268,-0.4269516,73.4861832,99.7806396
-0.7103659,0.0045588,72.9380035,99.9668121,-1.6709701,-0.5130175,73.4508209,99.7895889
-1.2615161,-0.0804383,72.9943085,99.9687576,-1.7872167,-0.521274,73.5734787,99.7937088
-1.62968,-0.1478534,72.9083481,99.9704056,0.454041,-0.1282463,73.6471863,99.7830734
-2.0301182,-0.2038056,72.959404,99.9711685,1.6230812,0.0510732,73.4768982,99.760437
-0.3766675,0.0511856,72.9674988,99.9654541,1.3216569,-0.0070166,73.4963226,99.7478714
1.5265093,0.3330841,72.9061661,99.9581223,1.0374655,-0.0547122,73.5397568,99.748024
1.3930299,0.3144334,72.9061661,99.9581223,0.4518498,-0.1604975,73.5046768,99.7560959
0.6911675,0.2003915,72.9568253,99.9610977,-0.1832729,-0.2652141,73.5593948,99.7638474
0.2239897,0.1351139,72.9621582,99.9629669,-0.5859023,-0.3534175,73.5622025,99.7734375
-0.3788587,0.0189344,72.9300156,99.9653778,-1.0703129,-0.4290892,73.5706558,99.7818832
-0.9127762,-0.0556685,72.9862442,99.9680023,-1.5719562,-0.515155,73.581955,99.788475
-1.3304471,-0.1220148,72.9486847,99.9691238,-1.5525322,-0.4725097,73.6984253,99.7919617
-1.7158438,-0.1998241,72.9056854,99.9707413,0.7209998,-0.0909449,73.7249374,99.7775269
-0.0602018,0.0874183,73.0102234,99.9660721,1.7220951,0.0489356,73.6095963,99.7574387
1.7590026,0.3495973,72.9461899,99.9571381,1.3216569,-0.0070166,73.5775452,99.7466888
1.5910577,0.3101583,72.9008865,99.9574661,1.0374655,-0.0547122,73.5775452,99.7482071
0.8569211,0.2075793,72.9061661,99.9601288,0.4518498,-0.1604975,73.6350327,99.7548981
0.3725106,0.1319076,72.9621582,99.961731,-0.1165332,-0.2558887,73.6407089,99.7620239
-0.2626121,0.027191,72.9728394,99.964798,-0.5019299,-0.333698,73.6435471,99.7722931
-0.8288038,-0.035949,73.0290756,99.966835,-0.9540662,-0.4208326,73.6057358,99.778389
-1.2314332,-0.1241524,72.9433441,99.968544,-1.421244,-0.4861101,73.6634903,99.7867355
-1.6663368,-0.2008929,72.9996948,99.9699936,-0.9863405,-0.4093697,73.6755676,99.7830963
-0.1958724,0.0365164,73.0528717,99.9655457,1.0374655,-0.0547122,73.770874,99.7724304
1.6750301,0.3298778,72.9461899,99.9564285,1.4206709,-0.0091541,73.6124191,99.754776
1.5565922,0.28937,72.9035187,99.956398,1.0525069,-0.0765692,73.6180573,99.7502365
0.8224556,0.186791,73.0021667,99.9601517,0.753274,-0.1024078,73.7131805,99.7527237
0.3725106,0.1319076,73.0129089,99.9620514,0.1181513,-0.2071244,73.678421,99.7600479
-0.2626121,0.027191,73.023674,99.9645157,-0.3512178,-0.3046531,73.6841278,99.7685623
-0.8137624,-0.0578061,72.9862442,99.9662857,-0.7516559,-0.3606053,73.7303772,99.7759628
-1.199159,-0.1356153,72.9486847,99.9674454,-1.2705319,-0.4570653,73.74189,99.78405
-1.6491041,-0.1904987,72.959404,99.9690781,-1.5719562,-0.515155,73.6955643,99.7898254
-0.4455984,0.0096091,73.0209808,99.9642334,0.2882874,-0.1354342,73.934082,99.7822113
1.4726198,0.2696505,72.86866,99.9566879,1.5563415,0.0417478,73.7622757,99.7630386
1.3886473,0.249931,72.8712921,99.9556046,1.27215,-0.0059478,73.7392273,99.7503967
0.7212505,0.1566774,72.9247055,99.9597321,0.9879585,-0.0536434,73.7335052,99.7520828
0.2713054,0.1017939,72.9781952,99.9610214,0.4195755,-0.1490346,73.7449646,99.7575684
-0.3315431,-0.0143855,72.8977203,99.9629059,-0.2155471,-0.2537512,73.7535782,99.7670898
-0.8331863,-0.1004514,72.9540405,99.9657135,-0.6676835,-0.3408858,73.7564468,99.7751541
-1.2336245,-0.1564036,72.8705521,99.9665298,-1.1843683,-0.4050946,73.762207,99.781189
-1.567323,-0.2030304,72.8758621,99.9676285,-1.720477,-0.5119487,73.7737503,99.7905731
0.2368399,0.0810057,72.9353409,99.9610367,-1.0486976,-0.3541927,73.9887314,99.7882996
1.6383734,0.2768384,72.8792038,99.9530029,0.9406428,-0.0203234,73.862175,99.7760849
1.2034698,0.2000979,72.8389053,99.9540634,1.3755465,0.056417,73.8366776,99.7599182
0.5533056,0.1172384,72.9353409,99.957634,0.9406428,-0.0203234,73.8453445,99.7550888
0.0688951,0.0415667,72.9003754,99.9592743,0.5402047,-0.0762756,73.8482437,99.7575684
-0.5662276,-0.0631499,72.9110107,99.962532,-0.1293834,-0.2017805,73.8139191,99.7669296
-1.0678709,-0.1492157,72.9190063,99.9647064,-0.6805337,-0.2867776,73.8225937,99.7748184
-1.5027745,-0.2259562,72.8811722,99.9659119,-1.1649443,-0.3624493,73.8743896,99.7833557
-1.6512953,-0.2227499,72.9755402,99.9668274,-1.6838202,-0.4589092,73.8370819,99.7892914
