intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
62114,0.2654,61706,44375,62702,62226,61460,62419,61505,61077,
59827,0.2654,59205,43084,59883,59745,58891,59511,58969,58779,
57844,0.2654,57326,41617,57817,57914,56801,57292,57029,56535,
55736,0.2654,55406,40316,56190,56071,54847,55408,55217,54824,
53660,0.2654,53428,39052,54176,54127,52692,53486,53286,52671,
51755,0.2654,51697,37716,52197,52468,50864,51673,51489,50837,
49887,0.2654,49950,36438,50417,50754,49000,49763,49584,49144,
48131,0.2654,48355,35158,48586,49252,47152,47966,47925,47301,
46295,0.2654,46516,33821,46827,47553,45310,46257,46227,45493,
44680,0.2654,44902,32588,45034,45873,43666,44598,44571,43806,
43007,0.2654,43470,31556,43312,44482,42028,43007,43076,42244,
41319,0.2654,41886,30336,41650,42875,40535,41570,41476,40544,
39715,0.2654,40567,29265,40178,41229,39072,39904,40147,39148,
38314,0.2654,39186,28231,38478,39860,37684,38328,38670,37698,
36967,0.2654,37989,27221,37128,38486,36281,37153,37394,36288,
35450,0.2654,36715,26291,35535,37115,34994,35749,35986,35052,
34143,0.2654,35543,25348,34100,35835,33740,34531,34672,33690,
32981,0.2654,34354,24430,32802,34581,32565,33274,33513,32465,
31735,0.2654,33205,23597,31551,33408,31298,32149,32397,31293,
30638,0.2654,32217,22785,30358,32160,30306,30973,31356,30240,
29632,0.2654,31300,22036,29214,31118,29238,30018,30301,29237,
28487,0.2654,30142,21336,28046,29952,28108,28961,29152,28092,
27379,0.2654,29134,20562,26917,28889,27178,27939,28206,27117,
26454,0.2654,28276,19947,25988,27926,26321,26989,27291,26140,
25477,0.2654,27358,19212,24858,26860,25405,25979,26313,25088,
24609,0.2654,26542,18635,23964,26028,24516,25204,25524,24346,
23740,0.2654,25509,18036,22958,25093,23572,24388,24584,23483,
22822,0.2654,24799,17422,22194,24153,22910,23446,23782,22581,
22083,0.4807,24046,16870,21397,23397,22239,22862,23073,21925,
21247,0.4905,23454,16411,20631,22613,21442,22078,22360,21242,
20479,0.5008,22590,15867,19820,21693,20769,21242,21465,20311,
19755,0.4572,21976,15357,19063,21080,20129,20649,20855,19736,
19075,0.4351,21292,14888,18294,20369,19385,19903,20125,19076,
18361,0.4492,20598,14400,17618,19574,18772,19239,19458,18396,
17791,0.3957,20124,14021,17155,18996,18326,18792,18946,17857,
17076,0.4381,19408,13557,16517,18241,17565,18046,18281,17160,
16594,0.3612,18969,13225,15967,17749,17175,17559,17743,16744,
15949,0.3969,18392,12764,15424,17147,16612,16937,17201,16146,
15730,0.2221,18245,12661,15241,16965,16509,16766,16978,16074,
14815,0.4207,17256,11980,14357,15977,15596,15835,16080,15074,
14316,0.4025,16751,11649,13827,15531,15132,15418,15614,14606,
13756,0.4416,16362,11335,13352,14988,14611,14957,15027,14180,
13234,0.472,15834,10925,12955,14457,14223,14421,14600,13777,
12847,0.4428,15416,10695,12492,14001,13812,14006,14159,13289,
12400,0.4556,15013,10341,12107,13597,13397,13593,13751,12888,
11982,0.4268,14551,10077,11689,13196,13063,13161,13310,12513,
11561,0.444,14181,9736,11310,12710,12603,12747,12939,12071,
11115,0.5083,13750,9458,10851,12362,12188,12385,12445,11697,
10825,0.4665,13390,9251,10580,12014,11922,12038,12217,11387,
10443,0.4611,12978,8977,10237,11632,11561,11649,11775,11103,
10178,0.4066,12663,8673,9920,11230,11203,11310,11496,10731,
9780,0.4817,12377,8487,9593,10874,10934,10996,11130,10465,
9448,0.501,12014,8251,9290,10570,10629,10725,10784,10124,
9153,0.5124,11776,8090,9017,10314,10346,10340,10534,9839,
8891,0.4762,11349,7815,8713,9904,10068,10009,10165,9604,
8503,0.5691,11153,7608,8401,9621,9804,9738,9892,9256,
8299,0.4988,10828,7403,8173,9351,9546,9439,9614,9026,
8025,0.5476,10567,7197,7983,9041,9283,9251,9379,8723,
7765,0.5595,10369,7079,7694,8813,9027,8969,9043,8541,
7517,0.5498,10031,6797,7430,8564,8801,8653,8803,8242,
7276,0.5866,9815,6655,7205,8272,8571,8410,8588,8087,
7054,0.5755,9514,6463,6947,8114,8350,8239,8291,7868,
6876,0.5767,9410,6334,6773,7839,8138,8066,8093,7659,
6643,0.5667,9078,6244,6585,7684,7919,7780,7890,7456,
6415,0.64,8813,6043,6356,7384,7646,7637,7654,7187,
6218,0.6125,8668,5918,6207,7166,7499,7339,7435,7076,
5942,0.7416,8459,5738,5975,6938,7259,7127,7285,6849,
5837,0.673,8261,5555,5798,6778,7095,6867,7003,6664,
5589,0.7955,8013,5414,5604,6625,6905,6684,6868,6549,
5450,0.7686,7771,5348,5488,6327,6809,6542,6671,6299,
5326,0.7487,7617,5201,5304,6242,6614,6341,6491,6147,
5153,0.759,7403,5073,5175,6047,6435,6188,6315,6047,
4956,0.8547,7247,4931,4995,5896,6253,6088,6113,5843,
4828,0.8183,7030,4820,4866,5747,6101,5901,5996,5712,
4670,0.9132,6908,4700,4734,5548,5930,5751,5827,5570,
4578,0.8548,6752,4585,4627,5418,5816,5590,5688,5429,
4433,0.8623,6576,4499,4494,5312,5711,5389,5573,5263,
4308,0.9162,6415,4388,4339,5179,5472,5292,5392,5092,
4209,0.8745,6274,4296,4210,5046,5352,5148,5219,5023,
4072,0.9805,6101,4153,4106,4896,5292,4996,5141,4906,
4021,0.8305,5967,4107,3952,4780,5055,4918,5039,4754,
3873,1,5755,4002,3931,4661,5012,4793,4838,4672,
3768,0.9212,5658,3900,3794,4558,4900,4612,4769,4525,
3687,0.9307,5582,3844,3709,4476,4756,4533,4635,4421,
3623,0.8828,5424,3756,3580,4414,4685,4468,4526,4408,
3534,0.9255,5259,3657,3452,4247,4538,4307,4428,4230,
3460,0.9227,5134,3604,3359,4102,4403,4170,4290,4128,
3414,0.7851,5008,3494,3301,4015,4376,4107,4222,4063,
3288,0.9254,4965,3474,3242,3973,4262,3996,4115,3985,
3273,0.8114,4812,3424,3213,3842,4202,3900,4072,3910,
3167,0.8832,4725,3235,3046,3740,4048,3797,3921,3796,
3120,0.8411,4592,3196,2990,3650,3951,3694,3844,3751,
3069,0.7581,4526,3165,2929,3582,3849,3617,3769,3649,
2957,0.9017,4392,3056,2819,3529,3787,3543,3709,3520,
2940,0.8044,4344,3038,2746,3424,3732,3472,3571,3478,
2883,0.7865,4206,2955,2721,3359,3603,3367,3497,3400,
2805,0.7958,4121,2875,2622,3277,3560,3291,3418,3296,
2825,0.6717,4076,2814,2592,3251,3465,3255,3390,3303,
2738,0.728,3998,2778,2546,3204,3374,3162,3295,3161,
2696,0.7529,3863,2748,2454,3108,3351,3071,3231,3118,
2648,0.6415,3791,2676,2362,3009,3280,3011,3121,2991,
2614,0.6685,3708,2602,2331,2966,3200,2931,3077,2979,
2555,0.6626,3628,2579,2317,2916,3129,2901,3038,2962,
2533,0.6007,3554,2516,2222,2835,3087,2829,2974,2863,
2491,0.5804,3504,2478,2184,2753,3052,2744,2898,2833,
2474,0.5792,3357,2456,2142,2713,2929,2687,2833,2721,
