intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
62114,0.2654,64349,58507,59827,60421,63383,58064,46012,55572,59526
59827,0.2654,62257,56618,57705,58457,60216,56335,44268,53335,57502
57844,0.2654,58878,54765,55704,56623,58049,54655,42475,51030,55415
55736,0.2654,57016,53064,53972,54890,56337,53054,41051,48833,53390
53660,0.2654,54980,51160,51934,53026,54443,51256,39307,46603,51213
51755,0.2654,53121,49371,49955,51267,52524,49564,37802,44452,49388
49887,0.2654,51190,47849,48165,49538,50736,48045,36358,42545,47463
48131,0.2654,49703,46204,46373,48079,49088,46427,35055,40678,45622
46295,0.2654,47900,44542,44437,46350,47264,44818,33482,38887,43653
44680,0.2654,46196,43127,42955,44900,45647,43267,32291,37103,42000
43007,0.2654,44664,41710,41345,43323,44105,41654,31062,35514,40548
41319,0.2654,43088,40199,39791,41909,42547,40325,29767,33906,38941
39715,0.2654,41640,38869,38270,40499,41037,38766,28717,32524,37357
38314,0.2654,40206,37594,36823,39070,39650,37228,27518,31084,35913
36967,0.2654,38921,36462,35593,37822,38251,35976,26454,29892,34662
35450,0.2654,37564,35088,34210,36488,36828,34539,25449,28547,33383
34143,0.2654,36225,33911,33000,35272,35501,33283,24285,27434,32206
32981,0.2654,35035,32708,31812,34077,34190,31962,23384,26399,31043
31735,0.2654,33918,31723,30698,33008,33058,30768,22461,25328,30087
30638,0.2654,32755,30705,29683,31783,31681,29534,21593,24402,29067
29632,0.2654,31642,29684,28743,30820,30720,28315,20830,23407,28125
28487,0.2654,30547,28646,27666,29704,29547,27154,19858,22590,27086
27379,0.2654,29512,27622,26717,28559,28470,26090,19045,21647,26281
26454,0.2654,28630,26708,25867,27719,27472,25148,18351,20832,25355
25477,0.2654,27630,25794,24997,26545,26355,24044,17624,20162,24570
24609,0.2654,26777,25066,24258,25701,25383,23082,17005,19413,23830
23740,0.2654,25841,24123,23409,24666,24453,22097,16252,18695,23131
22822,0.2654,25003,23232,22672,23798,23601,21269,15609,18024,22387
22083,0.4807,24183,22548,22018,23008,22768,20396,15179,17466,21858
21247,0.4905,23507,21985,21377,22188,21990,19619,14728,16936,21146
20479,0.5008,22681,21084,20671,21372,20964,18787,14118,16344,20458
19755,0.4572,21890,20362,20030,20523,20168,18017,13662,15747,19928
19075,0.4351,21242,19627,19414,19795,19376,17322,13212,15293,19273
18361,0.4492,20641,19042,18851,18926,18632,16725,12752,14877,18615
17791,0.3957,20036,18494,18357,18410,18083,16181,12442,14553,18259
17076,0.4381,19283,17772,17810,17622,17330,15516,11958,14097,17549
16594,0.3612,18770,17269,17395,16999,16780,15025,11643,13810,17130
15949,0.3969,18125,16723,16830,16473,16139,14448,11348,13409,16547
15730,0.2221,17933,16649,16702,16161,15890,14274,11245,13411,16447
14815,0.4207,16945,15713,15790,15190,14972,13450,10671,12687,15535
14316,0.4025,16416,15213,15347,14654,14447,13027,10436,12456,15047
13756,0.4416,15831,14704,14977,14205,14014,12628,10092,12162,14625
13234,0.472,15404,14286,14497,13750,13607,12263,9851,11871,14171
12847,0.4428,14938,13815,14107,13286,13146,11896,9535,11603,13848
12400,0.4556,14540,13397,13710,12823,12730,11528,9279,11304,13347
11982,0.4268,14130,12940,13338,12457,12325,11243,9027,11078,13004
11561,0.444,13652,12634,12907,12067,11988,10970,8795,10850,12599
11115,0.5083,13207,12210,12570,11796,11623,10633,8513,10577,12217
10825,0.4665,12835,11844,12307,11415,11390,10393,8325,10399,11895
10443,0.4611,12439,11526,11923,11189,10989,10123,8149,10113,11556
10178,0.4066,12086,11241,11557,10897,10778,9846,7835,9877,11249
9780,0.4817,11823,10860,11227,10566,10449,9648,7707,9668,10916
9448,0.501,11464,10580,10983,10364,10215,9345,7531,9448,10717
9153,0.5124,11109,10289,10669,10183,9887,9087,7304,9225,10319
8891,0.4762,10773,10034,10384,9876,9625,8852,7168,8966,10074
8503,0.5691,10483,9804,10055,9672,9388,8549,6984,8776,9787
8299,0.4988,10124,9437,9776,9400,9132,8409,6802,8512,9548
8025,0.5476,9864,9173,9498,9205,8892,8191,6646,8392,9287
7765,0.5595,9546,8922,9251,9044,8659,7990,6458,8060,9104
7517,0.5498,9248,8746,9025,8792,8429,7711,6338,7867,8739
7276,0.5866,9085,8465,8797,8560,8221,7573,6143,7705,8529
7054,0.5755,8744,8248,8536,8408,7975,7291,6027,7537,8306
6876,0.5767,8470,8044,8328,8221,7787,7191,5891,7316,8076
6643,0.5667,8279,7832,8098,8037,7547,6975,5680,7239,7904
6415,0.64,8009,7554,7810,7831,7358,6786,5591,6929,7676
6218,0.6125,7705,7366,7631,7656,7117,6626,5476,6782,7430
5942,0.7416,7534,7212,7391,7458,6957,6466,5304,6657,7244
5837,0.673,7346,6974,7201,7244,6734,6260,5230,6500,7021
5589,0.7955,7107,6796,6964,7119,6585,6128,5118,6327,6897
5450,0.7686,6906,6621,6807,6918,6397,5962,4985,6215,6672
5326,0.7487,6712,6442,6660,6749,6215,5877,4905,6079,6541
5153,0.759,6486,6233,6510,6506,6048,5714,4720,5868,6373
4956,0.8547,6335,6085,6322,6458,5950,5576,4603,5780,6186
4828,0.8183,6107,5926,6163,6246,5765,5419,4516,5639,6011
4670,0.9132,5933,5766,5963,6110,5614,5290,4432,5498,5921
4578,0.8548,5729,5594,5794,5917,5492,5134,4305,5398,5728
4433,0.8623,5607,5502,5713,5787,5379,5041,4229,5232,5553
4308,0.9162,5393,5330,5521,5688,5246,4909,4134,5094,5453
4209,0.8745,5335,5208,5408,5542,5087,4821,4053,4997,5298
4072,0.9805,5162,5044,5269,5403,5001,4741,3965,4915,5204
4021,0.8305,4989,4880,5170,5274,4879,4603,3851,4757,5063
3873,1,4817,4757,5066,5108,4775,4474,3797,4662,4929
3768,0.9212,4710,4705,4916,5061,4657,4415,3718,4598,4844
3687,0.9307,4615,4555,4793,4881,4547,4308,3649,4461,4671
3623,0.8828,4442,4503,4743,4819,4475,4209,3543,4370,4628
3534,0.9255,4377,4377,4579,4728,4334,4103,3448,4277,4510
3460,0.9227,4243,4264,4448,4551,4246,4003,3412,4159,4349
3414,0.7851,4153,4139,4404,4418,4118,3942,3318,4111,4260
3288,0.9254,4002,4072,4296,4433,4030,3869,3324,4047,4236
3273,0.8114,3934,3955,4210,4321,3950,3821,3233,4000,4066
3167,0.8832,3829,3850,4069,4194,3830,3644,3114,3859,4025
3120,0.8411,3742,3780,4007,4088,3772,3573,3075,3768,3844
3069,0.7581,3675,3684,3946,4014,3678,3533,3006,3677,3796
2957,0.9017,3526,3614,3802,3896,3558,3433,2958,3622,3689
2940,0.8044,3479,3537,3762,3845,3523,3354,2903,3516,3625
2883,0.7865,3333,3428,3661,3740,3385,3322,2839,3468,3515
2805,0.7958,3287,3385,3560,3697,3354,3270,2770,3397,3486
2825,0.6717,3242,3305,3553,3587,3337,3173,2772,3310,3408
2738,0.728,3195,3269,3426,3536,3249,3121,2680,3277,3286
2696,0.7529,3066,3131,3345,3409,3131,3018,2654,3150,3227
2648,0.6415,3066,3104,3274,3346,3074,2959,2601,3057,3097
2614,0.6685,2960,3063,3236,3278,3063,2934,2528,3061,3054
2555,0.6626,2878,2990,3156,3235,2972,2910,2498,2950,3003
2533,0.6007,2832,2865,3076,3133,2896,2822,2441,2937,2913
2491,0.5804,2760,2888,3040,3115,2873,2755,2380,2802,2853
2474,0.5792,2723,2794,2969,3013,2838,2681,2348,2809,2813
2413,0.5169,2637,2752,2924,2998,2770,2675,2333,2740,2781
2411,0.3694,2609,2722,2857,2919,2718,2608,2313,2700,2695
2364,0.4867,2551,2650,2805,2841,2647,2587,2240,2645,2617
2301,0.5049,2511,2594,2711,2809,2570,2515,2243,2589,2590
2294,0.4926,2485,2566,2757,2738,2605,2452,2192,2541,2538
2308,0.28,2430,2486,2646,2658,2543,2419,2143,2499,2480
2215,0.388,2349,2455,2578,2656,2510,2371,2141,2469,2452
2208,0.441,2318,2379,2538,2560,2457,2356,2104,2402,2354
2175,0.3791,2294,2375,2516,2520,2420,2278,2017,2352,2381
2169,0.2113,2266,2329,2480,2497,2359,2253,2025,2337,2277
2135,0.3015,2196,2275,2418,2454,2320,2245,1977,2287,2278
2113,0.2331,2184,2254,2349,2422,2306,2196,1927,2238,2177
2083,0.2736,2121,2163,2312,2326,2239,2127,1871,2227,2165
2064,0.1927,2105,2191,2314,2305,2223,2085,1877,2153,2124
2046,0.1583,2032,2122,2248,2282,2192,2048,1843,2116,2080
2013,0.1066,2051,2096,2222,2241,2178,2027,1817,2085,2087
2006,0.0988,1980,2090,2172,2213,2126,1998,1794,2056,2013
1932,0.1476,1957,2049,2156,2184,2114,1971,1812,1997,1968
1964,0.0139,1946,1994,2116,2143,2042,1951,1735,1972,1966
1922,0.0533,1903,1959,2061,2102,2041,1886,1710,1967,1911
1924,0,1862,1927,2052,2081,2008,1901,1692,1919,1901
1864,0.1556,1841,1870,2010,2019,1948,1877,1652,1882,1858
60084,0.1023,,,,,,,,,
57757,0.0788,,,,,,,,,
55771,0.0437,,,,,,,,,
53691,0.0235,,,,,,,,,
51637,0.0113,,,,,,,,,
49609,0.0067,,,,,,,,,
47660,0.0032,,,,,,,,,
45848,0,,,,,,,,,
43911,0.0105,,,,,,,,,
42163,0.0142,,,,,,,,,
40600,0.012,,,,,,,,,
38929,0.0259,,,,,,,,,
37254,0.0442,,,,,,,,,
35812,0.0521,,,,,,,,,
34367,0.0627,,,,,,,,,
32903,0.083,,,,,,,,,
31743,0.0806,,,,,,,,,
30418,0.1042,,,,,,,,,
29145,0.1182,,,,,,,,,
27976,0.1422,,,,,,,,,
27010,0.1426,,,,,,,,,
25830,0.1745,,,,,,,,,
24772,0.1954,,,,,,,,,
23842,0.2102,,,,,,,,,
22814,0.2339,,,,,,,,,
21874,0.2597,,,,,,,,,
21087,0.2662,,,,,,,,,
20171,0.3064,,,,,,,,,
19518,0.3036,,,,,,,,,
18675,0.3307,,,,,,,,,
17818,0.374,,,,,,,,,
17131,0.3964,,,,,,,,,
16369,0.4362,,,,,,,,,
15781,0.4517,,,,,,,,,
15183,0.46,,,,,,,,,
14571,0.4917,,,,,,,,,
14042,0.511,,,,,,,,,
13496,0.5332,,,,,,,,,
13220,0.5003,,,,,,,,,
12367,0.6131,,,,,,,,,
11961,0.6179,,,,,,,,,
11466,0.6452,,,,,,,,,
11011,0.6796,,,,,,,,,
10680,0.6806,,,,,,,,,
10241,0.7153,,,,,,,,,
9824,0.7448,,,,,,,,,
9584,0.7357,,,,,,,,,
9144,0.7767,,,,,,,,,
8885,0.7847,,,,,,,,,
8529,0.8131,,,,,,,,,
8199,0.8422,,,,,,,,,
7993,0.8455,,,,,,,,,
7750,0.8521,,,,,,,,,
7466,0.8671,,,,,,,,,
7248,0.8773,,,,,,,,,
7022,0.8759,,,,,,,,,
6832,0.8818,,,,,,,,,
6590,0.9121,,,,,,,,,
6386,0.9269,,,,,,,,,
6182,0.9436,,,,,,,,,
6020,0.9383,,,,,,,,,
5865,0.9398,,,,,,,,,
5675,0.9479,,,,,,,,,
5557,0.9304,,,,,,,,,
5410,0.9438,,,,,,,,,
5282,0.9367,,,,,,,,,
5094,0.9719,,,,,,,,,
4998,0.9689,,,,,,,,,
4862,0.9833,,,,,,,,,
4747,0.9817,,,,,,,,,
4591,0.973,,,,,,,,,
4477,0.9657,,,,,,,,,
4358,1,,,,,,,,,
4332,0.9606,,,,,,,,,
4196,0.9896,,,,,,,,,
4166,0.9696,,,,,,,,,
4015,0.9706,,,,,,,,,
3971,0.9431,,,,,,,,,
3881,0.9644,,,,,,,,,
3788,0.9624,,,,,,,,,
3710,0.9608,,,,,,,,,
3611,0.9719,,,,,,,,,
3576,0.9376,,,,,,,,,
3586,0.9031,,,,,,,,,
3454,0.9141,,,,,,,,,
3368,0.9534,,,,,,,,,
3312,0.9336,,,,,,,,,
3246,0.9189,,,,,,,,,
3190,0.9125,,,,,,,,,
3125,0.9221,,,,,,,,,
3115,0.8851,,,,,,,,,
3073,0.8932,,,,,,,,,
3006,0.8738,,,,,,,,,
2969,0.8815,,,,,,,,,
2931,0.8703,,,,,,,,,
2892,0.8574,,,,,,,,,
2814,0.8703,,,,,,,,,
2785,0.8428,,,,,,,,,
2791,0.8092,,,,,,,,,
2682,0.8631,,,,,,,,,
2679,0.8314,,,,,,,,,
2638,0.8287,,,,,,,,,
2628,0.795,,,,,,,,,
2599,0.778,,,,,,,,,
2513,0.8193,,,,,,,,,
2496,0.821,,,,,,,,,
2481,0.7748,,,,,,,,,
2444,0.7661,,,,,,,,,
2417,0.7721,,,,,,,,,
2357,0.7672,,,,,,,,,
2366,0.7355,,,,,,,,,
2329,0.7402,,,,,,,,,
2300,0.7355,,,,,,,,,
2258,0.7456,,,,,,,,,
2227,0.7483,,,,,,,,,
2182,0.7702,,,,,,,,,
2180,0.7535,,,,,,,,,
2142,0.7583,,,,,,,,,
2175,0.6507,,,,,,,,,
2107,0.7177,,,,,,,,,
2081,0.7305,,,,,,,,,
2056,0.7158,,,,,,,,,
2052,0.6956,,,,,,,,,
2022,0.7001,,,,,,,,,
1977,0.6822,,,,,,,,,
1989,0.6795,,,,,,,,,
1947,0.7144,,,,,,,,,
1940,0.6724,,,,,,,,,
65108,0.2995,,,,,,,,,
64706,0.2027,,,,,,,,,
59862,0.545,,,,,,,,,
58095,0.3283,,,,,,,,,
55892,0.4629,,,,,,,,,
53976,0.3337,,,,,,,,,
52187,0.6106,,,,,,,,,
50362,0.5095,,,,,,,,,
48566,0.4398,,,,,,,,,
46774,0.3794,,,,,,,,,
45253,0.4659,,,,,,,,,
43621,0.4271,,,,,,,,,
42116,0.3645,,,,,,,,,
40650,0.3164,,,,,,,,,
39310,0.2447,,,,,,,,,
37852,0.2564,,,,,,,,,
