intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
1539,0.1264,1606,1634,1570,1780,1707,1598,1374,1425,1309
1539,0,1644,1651,1584,1788,1721,1628,1351,1424,1331
1533,0.3734,1657,1685,1658,1789,1741,1615,1337,1459,1336
1573,0.0488,1660,1720,1636,1846,1797,1636,1375,1419,1346
1577,0.397,1681,1708,1613,1844,1782,1669,1386,1473,1367
1593,0.1378,1728,1744,1666,1845,1857,1686,1411,1497,1373
1603,0.4256,1746,1743,1720,1886,1789,1700,1418,1495,1416
1623,0.2846,1781,1752,1706,1965,1859,1703,1479,1539,1400
1592,0.6316,1769,1787,1692,1909,1858,1716,1472,1553,1430
1641,0.3291,1807,1809,1714,1950,1860,1796,1512,1554,1464
1655,0.3644,1839,1846,1796,1973,1925,1821,1521,1554,1532
1686,0.2124,1830,1886,1811,1988,1926,1795,1533,1577,1520
1645,0.7958,1873,1891,1783,2018,1938,1796,1561,1607,1544
1704,0.5862,1919,1874,1810,2077,1996,1858,1550,1619,1548
1728,0.3352,1936,1926,1856,2054,1997,1828,1592,1660,1596
1763,0.4835,1977,1952,1870,2079,2017,1906,1626,1686,1561
1743,0.6532,2011,1961,1881,2127,2063,1930,1640,1666,1616
1762,0.6613,2023,1951,1944,2154,2090,1971,1658,1731,1660
1789,0.624,2046,2051,2026,2178,2137,2001,1673,1758,1651
1814,0.6512,2053,2049,1989,2211,2144,2012,1734,1790,1655
1821,0.6871,2107,2039,2011,2267,2203,2061,1761,1787,1723
1879,0.5378,2150,2059,2056,2300,2165,2095,1739,1834,1767
1863,0.7579,2190,2104,2102,2305,2234,2068,1775,1841,1779
1882,0.8238,2205,2141,2113,2337,2250,2139,1826,1854,1820
1953,0.6599,2241,2183,2142,2364,2276,2177,1846,1948,1812
1947,0.7902,2278,2223,2210,2382,2380,2231,1848,1957,1878
1985,0.8078,2314,2270,2239,2438,2351,2225,1909,1979,1874
2015,0.7781,2376,2244,2255,2460,2401,2310,1950,1996,1925
2053,0.6617,2393,2304,2331,2538,2455,2311,1972,2049,1989
2087,0.7728,2520,2344,2329,2572,2477,2383,2021,2072,2001
2126,1,2460,2384,2373,2630,2516,2400,2056,2096,2093
2142,0.8128,2551,2408,2394,2617,2554,2457,2085,2146,2087
2177,0.8266,2565,2426,2446,2685,2619,2485,2105,2195,2117
2208,0.9281,2597,2474,2476,2752,2651,2512,2137,2220,2138
2258,0.8162,2664,2528,2556,2789,2731,2611,2203,2276,2202
2303,0.8643,2726,2564,2552,2785,2737,2648,2241,2304,2270
2318,0.8621,2769,2584,2653,2908,2829,2679,2270,2349,2335
2402,0.7727,2828,2664,2700,2912,2867,2696,2290,2386,2336
2449,0.7549,2922,2758,2793,3030,2948,2835,2404,2490,2378
2483,0.86,2905,2743,2735,3009,2957,2828,2380,2471,2425
2490,0.9438,2953,2786,2826,3075,3030,2892,2453,2526,2507
2588,0.7927,3047,2834,2887,3144,3056,2925,2497,2566,2503
2615,0.8846,3106,2870,2932,3211,3100,2978,2533,2627,2580
2723,0.7552,3126,2924,2975,3309,3195,3045,2595,2684,2626
2753,0.8614,3209,3004,3013,3292,3243,3083,2639,2753,2682
2849,0.5966,3274,3035,3164,3362,3320,3143,2704,2816,2751
2838,0.8254,3303,3098,3182,3453,3391,3228,2773,2864,2808
2956,0.7628,3404,3157,3217,3518,3446,3288,2818,2901,2821
3022,0.7949,3473,3228,3314,3568,3549,3364,2877,2928,2928
3175,0.462,3618,3324,3388,3663,3612,3458,2929,3051,2993
3217,0.5248,3655,3361,3406,3743,3694,3491,3022,3108,3032
3255,0.6998,3717,3497,3476,3844,3776,3524,3100,3150,3125
3364,0.6269,3818,3540,3593,3965,3841,3638,3197,3274,3247
3443,0.6696,3939,3608,3677,4027,3983,3695,3305,3285,3281
3483,0.7154,4018,3723,3752,4091,4036,3840,3338,3390,3310
3592,0.6626,4098,3783,3844,4238,4125,3857,3381,3451,3423
3728,0.4952,4151,3857,3927,4294,4216,4009,3494,3564,3547
3823,0.5717,4265,3950,4046,4436,4380,4049,3605,3604,3572
3950,0.4977,4390,4081,4155,4510,4489,4144,3685,3699,3683
4055,0.4356,4517,4155,4196,4646,4639,4242,3790,3778,3799
4176,0.4493,4593,4234,4278,4749,4651,4343,3888,3888,3888
4263,0.4547,4708,4345,4448,4919,4798,4466,3964,3979,3985
4407,0.4525,4862,4514,4515,4990,4880,4608,4084,4069,4077
4523,0.3742,4969,4580,4642,5162,5056,4683,4217,4145,4212
4618,0.4865,5077,4623,4731,5270,5136,4764,4325,4254,4334
4745,0.4143,5200,4782,4891,5394,5310,4900,4468,4384,4433
4914,0.3817,5344,4891,4945,5525,5431,4921,4536,4468,4587
5122,0.2698,5501,5052,5107,5652,5582,5113,4685,4646,4720
5185,0.4303,5661,5190,5235,5785,5744,5248,4743,4722,4819
5390,0.3291,5735,5257,5373,5912,5875,5357,4962,4828,5010
5511,0.3948,5960,5387,5516,6113,6064,5462,5078,4985,5145
5660,0.3799,6105,5579,5677,6310,6207,5603,5214,5161,5324
5822,0.4073,6230,5708,5841,6416,6377,5715,5332,5218,5474
6031,0.3232,6481,5896,5913,6626,6577,5915,5474,5478,5631
6189,0.407,6596,5982,6116,6756,6697,6070,5617,5557,5840
6380,0.3867,6823,6184,6271,6905,6887,6200,5742,5697,5932
6621,0.2974,7020,6344,6467,7099,7101,6379,5969,5880,6212
6846,0.3023,7213,6501,6644,7321,7285,6543,6117,6072,6341
7008,0.3449,7396,6711,6779,7438,7576,6794,6258,6225,6591
7234,0.3806,7621,6882,6988,7737,7753,6926,6475,6385,6786
7471,0.3215,7825,7077,7216,7861,7935,7116,6658,6523,6986
7703,0.3909,8104,7272,7467,8109,8201,7337,6835,6774,7256
7892,0.3943,8312,7527,7630,8310,8373,7535,7021,6940,7458
8240,0.3127,8570,7751,7864,8558,8595,7865,7239,7143,7714
8490,0.3336,8866,7972,8114,8807,8849,8022,7448,7387,7980
8732,0.3977,9104,8178,8364,9044,9108,8274,7677,7619,8218
8979,0.4533,9389,8394,8614,9241,9346,8491,7927,7785,8485
9333,0.3647,9656,8675,8822,9490,9677,8852,8110,8023,8739
9705,0.3376,10032,8912,9121,9854,9972,9120,8440,8311,9129
10047,0.3339,10343,9230,9425,10215,10261,9472,8699,8607,9446
10365,0.3656,10579,9520,9678,10466,10506,9754,8960,8762,9689
10723,0.3745,10913,9790,9996,10748,10744,10034,9204,9075,9988
11145,0.0715,11229,10085,10340,11080,11135,10321,9588,9302,10294
