intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8
1539,0.1264,,,,,,,,
1539,0,,,,,,,,
1533,0.3734,,,,,,,,
1573,0.0488,,,,,,,,
1577,0.397,,,,,,,,
1593,0.1378,,,,,,,,
1603,0.4256,,,,,,,,
1623,0.2846,,,,,,,,
1592,0.6316,,,,,,,,
1641,0.3291,,,,,,,,
1655,0.3644,,,,,,,,
1686,0.2124,,,,,,,,
1645,0.7958,,,,,,,,
1704,0.5862,,,,,,,,
1728,0.3352,,,,,,,,
1763,0.4835,,,,,,,,
1743,0.6532,,,,,,,,
1762,0.6613,,,,,,,,
1789,0.624,,,,,,,,
1814,0.6512,,,,,,,,
1821,0.6871,,,,,,,,
1879,0.5378,,,,,,,,
1863,0.7579,,,,,,,,
1882,0.8238,,,,,,,,
1953,0.6599,,,,,,,,
1947,0.7902,,,,,,,,
1985,0.8078,,,,,,,,
2015,0.7781,,,,,,,,
2053,0.6617,,,,,,,,
2087,0.7728,,,,,,,,
2126,1,,,,,,,,
2142,0.8128,,,,,,,,
2177,0.8266,,,,,,,,
2208,0.9281,,,,,,,,
2258,0.8162,,,,,,,,
2303,0.8643,,,,,,,,
2318,0.8621,,,,,,,,
2402,0.7727,,,,,,,,
2449,0.7549,,,,,,,,
2483,0.86,,,,,,,,
2490,0.9438,,,,,,,,
2588,0.7927,,,,,,,,
2615,0.8846,,,,,,,,
2723,0.7552,,,,,,,,
2753,0.8614,,,,,,,,
2849,0.5966,,,,,,,,
2838,0.8254,,,,,,,,
2956,0.7628,,,,,,,,
3022,0.7949,,,,,,,,
3175,0.462,,,,,,,,
3217,0.5248,,,,,,,,
3255,0.6998,,,,,,,,
3364,0.6269,,,,,,,,
3443,0.6696,,,,,,,,
3483,0.7154,,,,,,,,
3592,0.6626,,,,,,,,
3728,0.4952,,,,,,,,
3823,0.5717,,,,,,,,
3950,0.4977,,,,,,,,
4055,0.4356,,,,,,,,
4176,0.4493,,,,,,,,
4263,0.4547,,,,,,,,
4407,0.4525,,,,,,,,
4523,0.3742,,,,,,,,
4618,0.4865,,,,,,,,
4745,0.4143,,,,,,,,
4914,0.3817,,,,,,,,
5122,0.2698,,,,,,,,
5185,0.4303,,,,,,,,
5390,0.3291,,,,,,,,
5511,0.3948,,,,,,,,
5660,0.3799,,,,,,,,
5822,0.4073,,,,,,,,
6031,0.3232,,,,,,,,
6189,0.407,,,,,,,,
6380,0.3867,,,,,,,,
6621,0.2974,,,,,,,,
6846,0.3023,,,,,,,,
7008,0.3449,,,,,,,,
7234,0.3806,,,,,,,,
7471,0.3215,,,,,,,,
7703,0.3909,,,,,,,,
7892,0.3943,,,,,,,,
8240,0.3127,,,,,,,,
8490,0.3336,,,,,,,,
8732,0.3977,,,,,,,,
8979,0.4533,,,,,,,,
9333,0.3647,,,,,,,,
9705,0.3376,,,,,,,,
10047,0.3339,,,,,,,,
10365,0.3656,,,,,,,,
10723,0.3745,,,,,,,,
11145,0.0715,,,,,,,,
11457,0.0715,,,,,,,,
11754,0.0715,,,,,,,,
12188,0.0715,,,,,,,,
12552,0.0715,,,,,,,,
13019,0.0715,,,,,,,,
13557,0.0715,,,,,,,,
13916,0.0715,,,,,,,,
14376,0.0715,,,,,,,,
14859,0.0715,,,,,,,,
15360,0.0715,,,,,,,,
15926,0.0715,,,,,,,,
16525,0.0715,,,,,,,,
17102,0.0715,,,,,,,,
17639,0.0715,,,,,,,,
18374,0.0715,,,,,,,,
18936,0.0715,,,,,,,,
19605,0.0715,,,,,,,,
20333,0.0715,,,,,,,,
21100,0.0715,,,,,,,,
21842,0.0715,,,,,,,,
22651,0.0715,,,,,,,,
23406,0.0715,,,,,,,,
24263,0.0715,,,,,,,,
25174,0.0715,,,,,,,,
25998,0.0715,,,,,,,,
26958,0.0715,,,,,,,,
27954,0.0715,,,,,,,,
28996,0.0715,,,,,,,,
30017,0.0715,,,,,,,,
31219,0.0715,,,,,,,,
32349,0.0715,,,,,,,,
33395,0.0715,,,,,,,,
34536,0.0715,,,,,,,,
35904,0.0715,,,,,,,,
36917,0.0715,,,,,,,,
1540,0.6233,,,,,,,,
1573,0.2331,,,,,,,,
1584,0.3282,,,,,,,,
1625,0.1073,,,,,,,,
1626,0.1738,,,,,,,,
1630,0.275,,,,,,,,
1670,0.106,,,,,,,,
1694,0.238,,,,,,,,
1709,0.1257,,,,,,,,
1736,0.0333,,,,,,,,
1753,0.1485,,,,,,,,
1786,0.1463,,,,,,,,
1771,0.1889,,,,,,,,
1847,0.0283,,,,,,,,
1864,0.9924,,,,,,,,
1887,0.9067,,,,,,,,
1902,0.9629,,,,,,,,
1946,0.9912,,,,,,,,
1985,0.5944,,,,,,,,
2015,0.864,,,,,,,,
2023,1,,,,,,,,
2115,0.7536,,,,,,,,
2134,0.754,,,,,,,,
2150,0.917,,,,,,,,
2226,0.518,,,,,,,,
2243,0.6045,,,,,,,,
2291,0.4928,,,,,,,,
2341,0.6054,,,,,,,,
2375,0.5726,,,,,,,,
