intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
1539,0.1264,959,994,1024,1009,960,955,1021,1013,1130,1119,1393,1549
1539,0,1001,987,988,1015,973,1003,1077,1032,1135,1147,1422,1534
1533,0.3734,992,961,1063,1053,1038,982,1052,1051,1140,1148,1448,1510
1573,0.0488,983,983,1024,1073,1006,961,1082,1041,1151,1170,1431,1592
1577,0.397,993,981,1053,1082,1012,989,1060,1045,1149,1152,1469,1592
1593,0.1378,993,1023,1057,1072,1044,1032,1064,1037,1155,1224,1506,1609
1603,0.4256,1026,1011,1112,1110,1064,1011,1098,1115,1205,1234,1529,1644
1623,0.2846,1034,1026,1075,1116,1037,1036,1132,1107,1146,1209,1524,1631
1592,0.6316,1034,1043,1039,1107,1044,1035,1134,1098,1201,1212,1578,1670
1641,0.3291,1044,1034,1079,1121,1076,1055,1107,1093,1222,1231,1562,1714
1655,0.3644,1030,1059,1111,1161,1081,1048,1151,1148,1233,1282,1655,1730
1686,0.2124,1051,1055,1104,1164,1078,1071,1160,1126,1255,1293,1625,1808
1645,0.7958,1036,1032,1118,1177,1123,1088,1167,1158,1257,1318,1643,1803
1704,0.5862,1022,1066,1116,1198,1142,1081,1191,1180,1287,1332,1715,1859
1728,0.3352,1034,1062,1113,1250,1126,1092,1186,1157,1268,1339,1682,1832
1763,0.4835,1077,1093,1096,1227,1150,1088,1239,1207,1299,1364,1759,1905
1743,0.6532,1075,1076,1166,1232,1196,1137,1232,1195,1331,1376,1773,1930
1762,0.6613,1062,1091,1177,1273,1192,1126,1248,1198,1326,1401,1745,1908
1789,0.624,1088,1071,1154,1265,1210,1133,1253,1241,1324,1390,1799,2002
1814,0.6512,1075,1106,1205,1323,1227,1151,1308,1269,1343,1419,1745,2032
1821,0.6871,1107,1115,1225,1347,1238,1197,1312,1270,1410,1437,1858,2094
1879,0.5378,1138,1126,1229,1349,1263,1213,1290,1295,1399,1450,1893,2059
1863,0.7579,1115,1141,1238,1381,1302,1230,1362,1287,1414,1486,1917,2110
1882,0.8238,1159,1169,1262,1372,1297,1214,1358,1343,1420,1475,1933,2156
1953,0.6599,1161,1184,1247,1397,1312,1235,1362,1339,1458,1533,1994,2211
1947,0.7902,1179,1181,1281,1436,1364,1247,1373,1376,1473,1559,2043,2223
1985,0.8078,1175,1204,1327,1462,1348,1267,1434,1401,1490,1594,2042,2239
2015,0.7781,1211,1211,1338,1506,1359,1265,1440,1416,1552,1584,2089,2293
2053,0.6617,1261,1222,1341,1474,1427,1364,1446,1454,1603,1596,2124,2371
2087,0.7728,1270,1271,1373,1585,1420,1362,1448,1455,1615,1671,2193,2384
2126,1,1260,1268,1411,1579,1483,1366,1506,1477,1581,1641,2191,2437
2142,0.8128,1254,1298,1402,1567,1505,1401,1578,1523,1639,1669,2212,2490
2177,0.8266,1285,1292,1439,1625,1497,1434,1558,1521,1639,1681,2263,2506
2208,0.9281,1298,1323,1456,1644,1505,1427,1618,1561,1697,1725,2301,2589
2258,0.8162,1355,1336,1449,1680,1579,1489,1637,1609,1737,1768,2354,2590
2303,0.8643,1347,1365,1514,1721,1608,1516,1619,1627,1771,1768,2385,2646
2318,0.8621,1345,1396,1522,1738,1609,1555,1677,1667,1776,1794,2438,2719
2402,0.7727,1375,1446,1561,1785,1654,1598,1720,1722,1804,1856,2485,2789
2449,0.7549,1365,1460,1620,1873,1699,1634,1798,1750,1863,1863,2649,2841
2483,0.86,1408,1491,1585,1811,1726,1669,1816,1781,1886,1865,2595,2858
2490,0.9438,1446,1483,1660,1883,1726,1654,1809,1794,1870,1939,2681,2895
2588,0.7927,1463,1528,1618,1919,1797,1689,1849,1852,1949,1965,2690,2930
2615,0.8846,1475,1555,1690,1989,1789,1762,1895,1876,1972,1974,2778,3006
2723,0.7552,1484,1583,1719,2043,1848,1771,1961,1922,2029,2028,2803,3113
2753,0.8614,1500,1642,1773,2036,1881,1819,2032,1956,2033,2054,2864,3100
2849,0.5966,1515,1638,1817,2121,1904,1876,2039,2011,2091,2066,2917,3212
2838,0.8254,1597,1672,1828,2162,1965,1911,2067,2063,2121,2113,2995,3268
2956,0.7628,1587,1711,1828,2198,1988,1943,2115,2071,2158,2162,3065,3327
3022,0.7949,1607,1774,1905,2229,2030,1988,2157,2124,2160,2199,3129,3375
3175,0.462,1655,1823,1971,2291,2090,2064,2280,2192,2270,2217,3201,3503
3217,0.5248,1685,1883,2045,2332,2139,2101,2310,2234,2321,2272,3243,3578
3255,0.6998,1698,1875,2047,2429,2190,2170,2361,2313,2330,2334,3279,3635
3364,0.6269,1751,1952,2121,2493,2241,2183,2377,2361,2406,2382,3388,3662
3443,0.6696,1741,2004,2126,2560,2289,2296,2500,2403,2445,2413,3494,3728
3483,0.7154,1824,2060,2216,2573,2313,2332,2538,2491,2490,2434,3531,3867
3592,0.6626,1832,2095,2268,2614,2394,2347,2612,2572,2549,2496,3634,3944
3728,0.4952,1860,2174,2300,2731,2469,2468,2724,2626,2616,2540,3726,4001
3823,0.5717,1904,2214,2356,2787,2516,2469,2764,2691,2640,2632,3780,4157
3950,0.4977,1943,2238,2455,2870,2592,2558,2870,2708,2685,2688,3895,4175
4055,0.4356,2016,2311,2484,2966,2647,2653,2960,2814,2777,2697,3979,4316
4176,0.4493,2064,2409,2571,3014,2721,2729,3014,2859,2820,2773,4072,4389
4263,0.4547,2091,2464,2630,3083,2774,2798,3100,2931,2920,2839,4174,4463
4407,0.4525,2164,2507,2711,3144,2900,2881,3230,3104,2964,2860,4275,4603
4523,0.3742,2218,2636,2762,3198,2984,2978,3314,3131,3061,2960,4380,4654
4618,0.4865,2285,2698,2820,3311,3051,3068,3363,3181,3104,3049,4476,4744
4745,0.4143,2358,2786,2935,3420,3136,3139,3483,3312,3188,3069,4609,4920
4914,0.3817,2415,2851,3015,3469,3177,3241,3610,3374,3271,3122,4710,5056
5122,0.2698,2464,2932,3041,3580,3272,3329,3714,3482,3363,3170,4832,5082
5185,0.4303,2539,3008,3159,3670,3430,3471,3821,3579,3445,3262,5018,5296
5390,0.3291,2660,3124,3273,3791,3512,3582,3962,3687,3510,3354,5064,5409
