intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
1539,0.1264,1607,1576,1506,1492,1407,1334,1242,1222,1266
1539,0,1649,1604,1549,1515,1441,1341,1244,1250,1255
1533,0.3734,1675,1622,1534,1514,1431,1371,1275,1254,1254
1573,0.0488,1659,1644,1521,1572,1465,1365,1289,1207,1305
1577,0.397,1700,1666,1607,1558,1535,1349,1306,1256,1268
1593,0.1378,1717,1666,1597,1573,1537,1405,1308,1267,1293
1603,0.4256,1744,1731,1621,1648,1516,1423,1281,1273,1297
1623,0.2846,1737,1735,1636,1618,1500,1431,1325,1282,1358
1592,0.6316,1730,1725,1659,1648,1543,1442,1332,1291,1348
1641,0.3291,1802,1725,1674,1695,1581,1444,1372,1345,1316
1655,0.3644,1813,1797,1696,1723,1606,1473,1340,1358,1395
1686,0.2124,1853,1826,1663,1734,1615,1493,1374,1354,1373
1645,0.7958,1810,1805,1747,1725,1611,1513,1375,1379,1415
1704,0.5862,1888,1850,1741,1748,1650,1544,1404,1406,1424
1728,0.3352,1873,1866,1760,1813,1671,1571,1417,1420,1416
1763,0.4835,1933,1883,1799,1797,1680,1591,1448,1458,1478
1743,0.6532,1944,1969,1826,1857,1727,1579,1468,1477,1461
1762,0.6613,1986,1984,1824,1829,1740,1605,1465,1465,1491
1789,0.624,2026,2026,1858,1870,1769,1638,1536,1498,1493
1814,0.6512,2050,2009,1893,1943,1813,1628,1535,1514,1526
1821,0.6871,2102,2065,1933,2014,1806,1689,1579,1506,1583
1879,0.5378,2149,2083,1962,1988,1837,1722,1579,1562,1575
1863,0.7579,2126,2121,1985,1999,1892,1757,1626,1573,1576
1882,0.8238,2215,2144,2030,2045,1894,1748,1606,1601,1682
1953,0.6599,2199,2191,2042,2093,1952,1755,1667,1620,1637
1947,0.7902,2240,2220,2063,2105,1974,1825,1664,1648,1662
1985,0.8078,2290,2264,2101,2126,2035,1816,1700,1649,1670
2015,0.7781,2325,2280,2119,2145,2023,1855,1731,1679,1725
2053,0.6617,2317,2261,2150,2236,2091,1890,1762,1705,1757
2087,0.7728,2420,2382,2188,2258,2102,1926,1807,1723,1769
2126,1,2421,2385,2258,2285,2190,1957,1824,1776,1815
2142,0.8128,2466,2435,2281,2315,2141,1970,1812,1843,1869
2177,0.8266,2524,2528,2350,2345,2244,1986,1882,1832,1893
2208,0.9281,2570,2515,2356,2417,2244,2021,1897,1836,1872
2258,0.8162,2639,2566,2416,2426,2315,2103,1926,1867,1948
2303,0.8643,2660,2607,2375,2486,2319,2133,1980,1933,1988
2318,0.8621,2718,2649,2485,2540,2427,2168,1966,1978,2014
2402,0.7727,2779,2707,2522,2639,2452,2185,2067,1999,1991
2449,0.7549,2850,2781,2602,2723,2551,2284,2141,2047,2169
2483,0.86,2837,2812,2606,2718,2556,2294,2128,2082,2175
2490,0.9438,2903,2908,2658,2739,2599,2333,2160,2111,2176
2588,0.7927,2964,2919,2668,2796,2644,2335,2218,2132,2208
2615,0.8846,3043,2973,2746,2868,2681,2430,2289,2182,2255
2723,0.7552,3050,3019,2788,2925,2712,2453,2302,2235,2355
2753,0.8614,3158,3076,2853,2980,2826,2506,2354,2291,2391
2849,0.5966,3196,3149,2890,3024,2835,2596,2416,2322,2385
2838,0.8254,3287,3239,2947,3093,2919,2649,2463,2390,2460
2956,0.7628,3341,3283,3040,3161,2965,2677,2494,2387,2559
3022,0.7949,3402,3348,3077,3224,3026,2748,2557,2483,2586
3175,0.462,3466,3395,3123,3323,3133,2804,2660,2508,2659
