intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
62114,0.2654,59130,55253,63808,59943,60845,59439,58561,61112,55392
59827,0.2654,57522,53702,60425,57727,58790,57915,56776,58896,53572
57844,0.2654,55780,52113,58163,55679,56752,56574,55235,56989,51690
55736,0.2654,54225,50668,56429,53829,55122,55241,53776,55291,50136
53660,0.2654,52464,49045,54190,51815,52982,53813,52008,53580,48248
51755,0.2654,50694,47487,52213,49786,51158,52353,50357,51713,46529
49887,0.2654,49175,46117,50352,47899,49369,50974,48931,50085,44847
48131,0.2654,47731,44832,48485,46120,47582,49571,47395,48471,43255
46295,0.2654,46023,43399,46536,44163,45785,48087,45780,46752,41760
44680,0.2654,44717,42117,44790,42478,44204,46844,44574,45232,40209
43007,0.2654,43417,40859,43050,40946,42650,45631,43144,43833,38992
41319,0.2654,41945,39601,41349,39222,40868,44155,41824,42279,37540
39715,0.2654,40632,38583,39750,37739,39470,42883,40679,40805,36302
38314,0.2654,39378,37490,38271,36242,37893,41524,39329,39520,35097
36967,0.2654,37959,36621,36877,34871,36703,40465,38269,38253,34032
35450,0.2654,36941,35484,35405,33493,35140,39186,37017,37011,32912
34143,0.2654,35717,34483,34075,32352,33863,38064,35848,35737,31883
32981,0.2654,34579,33728,32916,31003,32694,37084,34827,34684,30991
31735,0.2654,33500,32806,31788,29948,31420,36038,33825,33567,30048
30638,0.2654,32433,31705,30550,28675,30293,34910,32860,32510,29089
29632,0.2654,31459,31112,29686,27762,29265,33978,32007,31522,28342
28487,0.2654,30511,30135,28552,26680,28133,32998,30915,30542,27535
27379,0.2654,29439,29357,27622,25717,27066,32075,29988,29529,26662
26454,0.2654,28585,28488,26586,24723,26036,31094,29185,28658,26017
25477,0.2654,27651,27648,25798,23798,25100,30231,28459,27687,25305
24609,0.2654,26792,27031,24909,22954,24243,29425,27624,26914,24694
23740,0.2654,25983,26151,24225,22099,23219,28552,26669,26053,23938
22822,0.2654,25005,25344,23415,21355,22454,27729,26051,25189,23280
22083,0.4807,24511,24795,22802,20728,21670,27109,25429,24524,22818
