intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1539,0.1264,1443,1446,1553,1361,1290,1300,1277,1178,1255,1216
1539,0,1433,1472,1541,1415,1287,1346,1228,1176,1254,1233
1533,0.3734,1448,1457,1610,1421,1278,1334,1336,1235,1260,1227
1573,0.0488,1444,1515,1598,1398,1300,1332,1312,1217,1268,1264
1577,0.397,1491,1488,1562,1441,1340,1355,1263,1224,1274,1282
1593,0.1378,1470,1512,1609,1445,1351,1329,1340,1241,1311,1263
1603,0.4256,1540,1533,1607,1458,1378,1365,1361,1281,1318,1288
1623,0.2846,1527,1596,1637,1472,1388,1422,1345,1253,1333,1249
1592,0.6316,1503,1537,1671,1536,1372,1412,1356,1284,1368,1288
1641,0.3291,1524,1627,1696,1487,1398,1425,1405,1312,1342,1309
1655,0.3644,1565,1602,1682,1528,1433,1445,1386,1289,1378,1394
1686,0.2124,1572,1618,1733,1565,1433,1463,1399,1362,1377,1376
1645,0.7958,1601,1651,1729,1591,1442,1492,1469,1358,1350,1365
1704,0.5862,1613,1663,1763,1594,1482,1448,1473,1344,1415,1423
1728,0.3352,1652,1675,1746,1606,1549,1506,1491,1363,1461,1378
1763,0.4835,1660,1675,1769,1628,1517,1575,1484,1391,1483,1384
1743,0.6532,1660,1699,1829,1681,1566,1549,1527,1380,1474,1429
1762,0.6613,1710,1755,1861,1686,1541,1555,1539,1399,1513,1471
1789,0.624,1726,1713,1842,1692,1606,1617,1549,1390,1541,1466
1814,0.6512,1809,1773,1880,1721,1631,1614,1593,1460,1541,1476
1821,0.6871,1776,1805,1900,1754,1643,1602,1600,1467,1539,1517
1879,0.5378,1738,1798,1936,1724,1645,1715,1630,1503,1551,1555
1863,0.7579,1827,1845,1944,1813,1730,1681,1628,1487,1589,1604
1882,0.8238,1848,1840,1957,1814,1721,1664,1676,1531,1618,1577
1953,0.6599,1867,1879,2011,1852,1764,1715,1702,1520,1611,1594
1947,0.7902,1872,1899,2048,1865,1750,1771,1738,1582,1657,1619
1985,0.8078,1863,1889,2018,1890,1808,1775,1749,1550,1680,1624
2015,0.7781,1946,1926,2095,1948,1819,1803,1786,1582,1695,1693
2053,0.6617,2000,1965,2111,1972,1851,1853,1793,1634,1723,1683
2087,0.7728,2018,1983,2161,1992,1882,1845,1894,1677,1768,1752
2126,1,2009,2039,2166,2029,1921,1913,1851,1683,1776,1753
2142,0.8128,2077,2073,2211,2051,1962,1919,1902,1698,1813,1770
2177,0.8266,2106,2092,2225,2099,1951,1951,1904,1753,1854,1793
