intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
62114,0.2654,64595,63415,61430,64260,63828,62048,63592,63367,63163,59469,63356,63656
59827,0.2654,63327,59932,59212,63098,61008,59567,60493,60199,60085,57654,59889,60422
57844,0.2654,58063,57565,57339,58999,58529,57435,57975,57823,57965,55935,57438,57819
55736,0.2654,55591,55647,55765,56991,56829,55597,56127,56000,56257,54320,55508,55961
53660,0.2654,53005,53421,53736,55175,54976,53450,54040,53886,54495,52535,53353,53907
51755,0.2654,50615,51316,51911,53373,53243,51627,52062,51862,52571,50862,51383,51987
49887,0.2654,48465,49355,50331,51448,51693,49757,50323,50040,50979,49344,49619,50227
48131,0.2654,46348,47451,48542,49844,50204,48067,48471,48215,49308,47828,47809,48358
46295,0.2654,44170,45584,46873,48003,48555,46125,46664,46497,47487,46113,45828,46613
44680,0.2654,42409,43781,45198,46446,47064,44553,44956,44781,45971,44592,44390,44825
43007,0.2654,40495,42126,43773,44854,45728,42991,43272,43050,44586,43187,42772,43319
41319,0.2654,38851,40404,42107,43228,44208,41341,41764,41398,43104,41729,41192,41799
39715,0.2654,37109,38846,40813,41815,42919,39885,40146,39824,41557,40195,39621,40221
38314,0.2654,35551,37323,39366,40338,41630,38408,38670,38374,40255,38897,38272,38727
36967,0.2654,34183,35931,37963,39012,40427,37000,37403,36877,39015,37682,37008,37434
35450,0.2654,32717,34471,36586,37706,39118,35512,35933,35467,37721,36301,35683,36123
34143,0.2654,31368,33098,35431,36345,38053,34227,34575,34102,36500,35023,34526,34942
32981,0.2654,30155,31911,34231,35096,36875,33233,33377,32754,35189,33824,33333,33666
31735,0.2654,28999,30798,33050,34024,35871,31816,32180,31684,34060,32871,32340,32579
30638,0.2654,27898,29587,31950,32817,34660,30630,30961,30506,32960,31745,31195,31411
29632,0.2654,26932,28473,30961,31732,33827,29677,30014,29275,31961,30653,30297,30408
28487,0.2654,25866,27425,29829,30562,32788,28658,28804,28206,30890,29661,29155,29303
27379,0.2654,24950,26308,28934,29483,31864,27487,27769,27188,29718,28662,28235,28431
26454,0.2654,23992,25400,27941,28502,30939,26561,26857,26151,28953,27731,27386,27330
25477,0.2654,23094,24489,26934,27362,29900,25644,25884,25101,27873,26757,26444,26433
24609,0.2654,22209,23621,26078,26393,29036,24702,25026,24266,26937,25956,25615,25567
23740,0.2654,21410,22609,25263,25482,28249,23823,24124,23252,26080,25097,24767,24598
22822,0.2654,20669,21816,24466,24608,27357,22938,23323,22384,25176,24353,24029,23723
22083,0.4807,19958,21033,23810,23905,26568,22214,22582,21640,24429,23657,23302,23068
21247,0.4905,19298,20285,23089,23004,25857,21461,21893,20992,23688,23010,22569,22272
20479,0.5008,18549,19523,22209,21993,25051,20628,20980,20226,22809,22172,21746,21475
19755,0.4572,17949,18786,21488,21246,24349,19992,20320,19378,22138,21549,21128,20741
19075,0.4351,17257,18078,20730,20559,23629,19263,19673,18776,21440,20912,20461,20001
18361,0.4492,16672,17383,20113,19736,22927,18571,19038,18062,20633,20185,19703,19337
17791,0.3957,16183,16769,19654,19201,22489,18009,18430,17542,20089,19698,19230,18813
17076,0.4381,15582,16076,18907,18414,21734,17331,17768,16880,19291,19127,18610,18140
16594,0.3612,15063,15596,18414,17841,21135,16738,17186,16349,18838,18628,18051,17499
15949,0.3969,14607,14908,17786,17154,20612,16323,16699,15775,18252,18028,17532,17002
15730,0.2221,14507,14699,17574,16932,20408,16107,16499,15622,18223,17990,17456,16719
14815,0.4207,13593,13752,16606,15940,19344,15175,15609,14710,17108,16941,16410,15851
14316,0.4025,13187,13277,16026,15405,18843,14704,15081,14167,16570,16406,15930,15264
13756,0.4416,12785,12815,15563,14808,18348,14189,14594,13743,16040,15917,15513,14824
13234,0.472,12307,12355,14990,14423,17808,13747,14158,13293,15624,15473,15052,14389
12847,0.4428,12017,11894,14492,13835,17280,13256,13748,12850,15167,15097,14620,13949
12400,0.4556,11549,11472,14063,13463,16832,12940,13278,12439,14672,14593,14184,13562
11982,0.4268,11138,11078,13658,12959,16304,12466,12738,12058,14342,14192,13852,13200
11561,0.444,10860,10727,13213,12581,15947,12121,12458,11630,13854,13759,13426,12733
11115,0.5083,10563,10268,12777,12213,15527,11607,12037,11297,13446,13322,13068,12425
10825,0.4665,10207,9890,12404,11799,15136,11410,11711,10989,13091,12915,12709,12082
10443,0.4611,9825,9574,12067,11446,14790,11055,11314,10615,12666,12561,12326,11753
10178,0.4066,9534,9247,11693,11064,14393,10683,10941,10291,12379,12255,12023,11414
9780,0.4817,9282,8944,11260,10727,14042,10444,10711,10053,12021,11888,11720,11095
9448,0.501,9028,8681,10925,10386,13635,10121,10371,9692,11683,11527,11385,10783
9153,0.5124,8765,8379,10610,10128,13351,9837,10036,9447,11414,11281,11141,10534
8891,0.4762,8502,8049,10274,9798,12949,9532,9737,9150,11109,10874,10773,10271
8503,0.5691,8277,7831,10019,9516,12589,9239,9483,8870,10808,10667,10627,9984
8299,0.4988,8015,7585,9682,9313,12191,9019,9194,8601,10534,10308,10307,9731
8025,0.5476,7782,7345,9411,8965,12046,8750,8993,8381,10218,10000,9993,9496
7765,0.5595,7571,7058,9169,8770,11727,8574,8644,8143,9984,9817,9784,9159
7517,0.5498,7344,6886,8897,8482,11377,8329,8423,7855,9660,9564,9473,8956
7276,0.5866,7141,6716,8692,8282,11070,8124,8193,7680,9486,9324,9272,8715
7054,0.5755,6976,6483,8436,7974,10770,7938,8001,7462,9208,9090,9065,8472
6876,0.5767,6744,6287,8313,7915,10517,7743,7775,7287,8984,8844,8871,8261
6643,0.5667,6571,6124,8010,7617,10253,7557,7582,7062,8739,8638,8632,8005
6415,0.64,6360,5888,7748,7402,9920,7392,7354,6865,8525,8384,8320,7771
6218,0.6125,6165,5755,7541,7167,9644,7151,7112,6648,8214,8153,8125,7528
5942,0.7416,5994,5546,7351,6987,9456,7053,6924,6504,8030,7976,7950,7424
5837,0.673,5848,5397,7116,6843,9155,6836,6764,6325,7846,7760,7710,7158
5589,0.7955,5686,5251,6949,6670,8875,6675,6575,6150,7630,7568,7540,6919
5450,0.7686,5528,5084,6768,6527,8678,6492,6383,6006,7403,7424,7348,6774
5326,0.7487,5399,4973,6545,6288,8399,6364,6273,5846,7223,7234,7180,6573
5153,0.759,5227,4796,6394,6135,8151,6198,6065,5668,7038,6980,7042,6419
4956,0.8547,5079,4697,6264,5990,7954,6117,5921,5537,6832,6795,6764,6235
4828,0.8183,4986,4541,6007,5833,7714,5911,5751,5381,6620,6658,6682,6033
4670,0.9132,4788,4425,5873,5655,7505,5799,5657,5337,6435,6495,6486,5871
4578,0.8548,4703,4314,5712,5513,7258,5646,5447,5145,6309,6375,6328,5709
4433,0.8623,4616,4157,5574,5380,7056,5507,5284,5027,6091,6185,6252,5621
4308,0.9162,4500,4096,5438,5241,6841,5399,5163,4900,6000,6086,6103,5447
4209,0.8745,4379,3943,5277,5063,6681,5245,5061,4777,5819,5902,5903,5302
4072,0.9805,4287,3826,5160,5015,6448,5190,4887,4656,5647,5802,5766,5197
4021,0.8305,4193,3750,5054,4877,6306,5053,4781,4483,5501,5614,5629,5046
3873,1,4147,3661,4828,4805,6120,4897,4698,4394,5371,5450,5470,4907
3768,0.9212,4008,3559,4754,4655,5942,4798,4547,4289,5291,5422,5369,4807
3687,0.9307,3950,3488,4594,4525,5843,4711,4456,4250,5166,5288,5246,4696
3623,0.8828,3907,3406,4516,4463,5611,4592,4361,4122,5045,5158,5168,4646
3534,0.9255,3806,3319,4384,4389,5460,4473,4268,4023,4887,4982,5056,4427
3460,0.9227,3700,3219,4300,4198,5355,4366,4118,3895,4800,4936,4944,4318
3414,0.7851,3645,3134,4181,4140,5157,4240,4068,3853,4730,4802,4800,4274
3288,0.9254,3616,3075,4075,4084,5060,4171,3983,3762,4637,4726,4706,4174
3273,0.8114,3536,3020,4004,3982,4977,4088,3893,3715,4586,4597,4586,4100
3167,0.8832,3441,2911,3870,3834,4796,3979,3776,3565,4424,4556,4473,3990
3120,0.8411,3369,2830,3741,3775,4658,3857,3708,3485,4308,4471,4358,3912
3069,0.7581,3319,2794,3655,3708,4606,3817,3595,3486,4243,4326,4265,3849
2957,0.9017,3235,2722,3570,3610,4510,3659,3514,3377,4161,4238,4182,3764
