intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
1539,0.1264,1500,1326,1408,1273,1147,1125,1271,1168,1119
1539,0,1497,1359,1404,1294,1167,1165,1307,1165,1120
1533,0.3734,1520,1352,1428,1281,1166,1173,1273,1210,1140
1573,0.0488,1536,1362,1480,1300,1189,1178,1297,1194,1116
1577,0.397,1564,1397,1498,1294,1189,1202,1317,1206,1131
1593,0.1378,1578,1386,1502,1296,1155,1206,1339,1210,1188
1603,0.4256,1589,1420,1520,1366,1206,1203,1353,1216,1165
1623,0.2846,1612,1455,1561,1362,1192,1235,1357,1227,1182
1592,0.6316,1644,1443,1559,1387,1192,1170,1360,1226,1202
1641,0.3291,1642,1418,1587,1403,1225,1237,1399,1284,1238
1655,0.3644,1660,1467,1594,1379,1241,1256,1394,1290,1260
1686,0.2124,1708,1497,1621,1385,1227,1249,1411,1249,1230
1645,0.7958,1731,1503,1650,1423,1249,1257,1425,1275,1266
1704,0.5862,1783,1534,1662,1430,1263,1239,1453,1255,1246
1728,0.3352,1759,1521,1653,1479,1270,1256,1465,1316,1250
1763,0.4835,1837,1583,1706,1450,1312,1275,1501,1314,1314
1743,0.6532,1826,1558,1762,1497,1289,1305,1492,1322,1304
1762,0.6613,1864,1631,1714,1504,1323,1317,1516,1325,1340
1789,0.624,1899,1622,1789,1534,1313,1295,1562,1336,1339
1814,0.6512,1953,1673,1791,1579,1322,1316,1532,1384,1351
1821,0.6871,1947,1665,1888,1592,1363,1311,1566,1374,1356
1879,0.5378,1979,1701,1864,1622,1388,1328,1569,1409,1370
1863,0.7579,2052,1739,1877,1688,1402,1346,1621,1401,1376
1882,0.8238,2065,1740,1884,1656,1384,1374,1615,1425,1416
1953,0.6599,2089,1745,1980,1730,1405,1355,1634,1464,1398
1947,0.7902,2162,1824,1973,1756,1442,1381,1692,1435,1443
1985,0.8078,2147,1811,2015,1758,1459,1388,1674,1460,1462
2015,0.7781,2205,1858,2027,1803,1488,1428,1731,1478,1486
2053,0.6617,2252,1884,2087,1900,1508,1446,1760,1540,1474
2087,0.7728,2326,1967,2130,1896,1536,1419,1760,1546,1567
2126,1,2335,1952,2154,1920,1561,1435,1740,1545,1570
2142,0.8128,2377,1992,2214,1977,1557,1431,1884,1568,1572
2177,0.8266,2419,2005,2243,2000,1586,1439,1848,1582,1586
2208,0.9281,2444,2118,2244,2048,1605,1503,1881,1662,1602
2258,0.8162,2534,2142,2317,2122,1679,1543,1919,1651,1652
2303,0.8643,2575,2174,2353,2150,1672,1590,1948,1650,1661
2318,0.8621,2643,2210,2420,2201,1721,1530,2029,1713,1685
2402,0.7727,2716,2263,2442,2262,1776,1588,1997,1760,1727
2449,0.7549,2773,2372,2546,2307,1796,1588,2093,1757,1809
2483,0.86,2764,2325,2525,2323,1803,1615,2127,1798,1814
