intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
1539,0.1264,957,925,895,860,927,917,982,1068,1186,1187,1332,1381
1539,0,953,943,879,891,925,905,982,1118,1174,1127,1340,1421
1533,0.3734,965,940,911,899,937,928,952,1146,1203,1145,1373,1423
1573,0.0488,986,920,899,877,920,961,977,1138,1233,1219,1405,1430
1577,0.397,955,932,935,910,961,944,973,1174,1240,1212,1416,1462
1593,0.1378,966,932,889,937,934,953,961,1153,1243,1223,1439,1520
1603,0.4256,998,974,955,935,993,956,1007,1212,1311,1239,1468,1489
1623,0.2846,985,937,927,921,989,978,977,1203,1231,1213,1457,1535
1592,0.6316,981,956,952,923,988,988,1002,1211,1288,1280,1475,1521
1641,0.3291,993,928,940,949,988,987,1059,1203,1290,1239,1534,1527
1655,0.3644,1030,979,958,958,978,1017,997,1247,1314,1301,1527,1545
1686,0.2124,997,967,967,951,996,986,1057,1273,1311,1289,1497,1585
1645,0.7958,1050,967,957,987,1007,1006,1010,1297,1351,1297,1593,1603
1704,0.5862,989,983,998,985,997,1031,1084,1288,1372,1311,1591,1627
1728,0.3352,1012,998,960,979,1032,1059,1075,1311,1358,1341,1606,1639
1763,0.4835,1046,985,982,984,1030,1024,1077,1283,1394,1374,1598,1691
1743,0.6532,1062,1016,974,998,1041,1042,1109,1361,1409,1345,1620,1695
1762,0.6613,1049,1036,1041,1017,1068,1035,1082,1358,1401,1391,1688,1739
1789,0.624,1084,1029,1023,1071,1042,1081,1095,1364,1421,1463,1707,1756
1814,0.6512,1086,1030,1032,1025,1040,1092,1116,1386,1479,1439,1760,1810
1821,0.6871,1097,1037,1035,1052,1100,1123,1148,1432,1484,1461,1795,1809
1879,0.5378,1114,1039,1087,1106,1095,1122,1128,1423,1486,1437,1805,1815
1863,0.7579,1102,1062,1065,1050,1081,1121,1183,1435,1544,1481,1787,1873
1882,0.8238,1159,1046,1045,1110,1091,1127,1200,1451,1543,1551,1859,1886
1953,0.6599,1153,1078,1058,1040,1119,1132,1181,1484,1562,1511,1889,1933
1947,0.7902,1153,1069,1073,1115,1114,1168,1221,1523,1547,1551,1910,1958
1985,0.8078,1161,1082,1088,1129,1134,1175,1268,1563,1602,1548,1956,1987
2015,0.7781,1235,1109,1104,1171,1167,1196,1252,1605,1603,1632,1963,2047
2053,0.6617,1206,1163,1095,1148,1184,1201,1282,1531,1624,1638,2021,2085
2087,0.7728,1235,1118,1142,1170,1191,1236,1318,1647,1696,1664,2068,2109
2126,1,1261,1148,1100,1225,1224,1242,1296,1648,1699,1674,2068,2166
2142,0.8128,1268,1151,1134,1195,1224,1235,1337,1620,1762,1711,2135,2183
2177,0.8266,1267,1166,1141,1175,1260,1308,1337,1695,1747,1711,2133,2213
2208,0.9281,1297,1155,1160,1216,1266,1284,1354,1740,1778,1703,2153,2255
2258,0.8162,1316,1199,1200,1268,1273,1300,1402,1768,1819,1796,2236,2333
2303,0.8643,1334,1197,1191,1263,1260,1359,1371,1804,1851,1794,2236,2353
2318,0.8621,1337,1229,1194,1301,1296,1344,1466,1879,1895,1828,2330,2403
2402,0.7727,1350,1252,1206,1305,1314,1367,1517,1859,1888,1844,2349,2447
2449,0.7549,1374,1300,1256,1354,1363,1403,1494,1889,1981,1929,2394,2516
2483,0.86,1411,1251,1249,1331,1332,1434,1535,1887,1990,1951,2430,2517
2490,0.9438,1411,1262,1271,1349,1407,1419,1565,1957,1998,2007,2486,2599
2588,0.7927,1421,1266,1314,1398,1383,1458,1553,1992,2039,1998,2565,2635
2615,0.8846,1445,1338,1270,1406,1393,1513,1553,2041,2075,2095,2540,2654
2723,0.7552,1446,1367,1334,1449,1410,1523,1631,2063,2126,2106,2668,2728
2753,0.8614,1479,1360,1345,1471,1448,1518,1643,2094,2171,2113,2693,2770
2849,0.5966,1514,1366,1364,1503,1448,1576,1636,2142,2212,2143,2753,2810
2838,0.8254,1519,1377,1414,1520,1517,1564,1691,2169,2202,2233,2755,2912
2956,0.7628,1571,1416,1375,1526,1533,1559,1719,2219,2309,2264,2839,2946
3022,0.7949,1567,1458,1441,1590,1523,1599,1740,2260,2348,2358,2920,2981
3175,0.462,1556,1452,1462,1625,1568,1642,1762,2354,2398,2364,3017,3069
3217,0.5248,1604,1505,1522,1658,1607,1737,1834,2357,2437,2419,3093,3152
3255,0.6998,1623,1551,1523,1671,1604,1785,1886,2449,2508,2496,3121,3195
3364,0.6269,1692,1551,1570,1716,1658,1766,1900,2496,2566,2549,3215,3265
3443,0.6696,1753,1560,1581,1731,1658,1817,1966,2551,2595,2621,3278,3318
3483,0.7154,1747,1590,1593,1777,1699,1846,1988,2633,2674,2672,3323,3394
3592,0.6626,1781,1636,1621,1816,1787,1898,2025,2603,2718,2714,3401,3487
3728,0.4952,1819,1695,1646,1855,1786,1916,2076,2732,2779,2758,3506,3561
3823,0.5717,1861,1731,1702,1895,1787,1978,2121,2751,2802,2857,3604,3640
3950,0.4977,1897,1795,1727,1976,1868,2012,2186,2848,2899,2917,3623,3773
4055,0.4356,1968,1805,1782,1990,1865,2093,2222,2869,2936,2944,3755,3849
4176,0.4493,2003,1849,1816,2054,1964,2101,2245,2979,3038,3094,3785,3949
4263,0.4547,2107,1911,1871,2099,2012,2171,2316,3075,3052,3161,3900,4052
4407,0.4525,2118,1995,1874,2094,2047,2174,2331,3155,3188,3240,3991,4188
4523,0.3742,2200,1983,1944,2137,2101,2274,2394,3215,3233,3299,4077,4274
4618,0.4865,2288,2061,1979,2217,2102,2335,2453,3260,3338,3373,4166,4335
4745,0.4143,2361,2131,2017,2246,2166,2376,2554,3352,3380,3455,4289,4497
4914,0.3817,2451,2185,2063,2339,2232,2421,2626,3462,3481,3495,4346,4602
5122,0.2698,2534,2261,2079,2335,2263,2504,2638,3552,3526,3597,4483,4689
5185,0.4303,2556,2342,2152,2420,2353,2576,2754,3646,3660,3740,4566,4808
5390,0.3291,2674,2378,2195,2491,2369,2677,2837,3716,3726,3758,4645,4999
5511,0.3948,2781,2449,2265,2501,2441,2712,2889,3830,3888,3876,4839,5140
5660,0.3799,2889,2527,2301,2554,2490,2836,2975,3939,3924,3976,4930,5193
5822,0.4073,2953,2622,2338,2625,2551,2869,2992,4025,4027,4058,5055,5356
6031,0.3232,3093,2724,2416,2685,2569,2984,3100,4143,4134,4181,5183,5434
6189,0.407,3214,2787,2509,2790,2689,3049,3188,4266,4251,4250,5303,5641
6380,0.3867,3300,2907,2539,2836,2718,3117,3245,4375,4380,4433,5426,5776
6621,0.2974,3429,2946,2612,2936,2839,3217,3318,4508,4479,4473,5565,5929
6846,0.3023,3571,3071,2695,2970,2935,3341,3467,4599,4601,4627,5738,6098
7008,0.3449,3684,3193,2766,3063,2951,3444,3580,4735,4733,4748,5891,6239
7234,0.3806,3857,3305,2877,3086,3038,3523,3740,4891,4887,4848,6038,6427
7471,0.3215,3982,3428,2946,3196,3113,3650,3803,5051,5082,4950,6248,6550
7703,0.3909,4161,3573,3013,3263,3180,3789,3937,5214,5221,5103,6373,6793
7892,0.3943,4301,3667,3124,3364,3290,3928,4061,5381,5377,5216,6605,6953
8240,0.3127,4445,3820,3243,3486,3353,4038,4141,5529,5560,5367,6765,7153
8490,0.3336,4651,3968,3310,3569,3488,4189,4334,5645,5755,5564,7020,7414
8732,0.3977,4789,4109,3453,3674,3575,4332,4498,5848,5893,5709,7172,7617
8979,0.4533,4968,4283,3515,3742,3658,4419,4583,6010,6109,5859,7330,7817
9333,0.3647,5163,4385,3667,3867,3822,4614,4760,6216,6320,5974,7589,8063
9705,0.3376,5349,4587,3771,3990,3913,4741,4983,6432,6507,6186,7831,8304
10047,0.3339,5665,4793,3885,4177,4094,4969,5147,6650,6718,6347,8133,8646
10365,0.3656,5754,4961,4057,4297,4164,5158,5290,6832,6961,6527,8309,8792
10723,0.3745,6018,5094,4168,4436,4281,5307,5466,7034,7153,6712,8567,9037
11145,0.0715,6234,5361,4302,4638,4516,5503,5691,7284,7361,6976,8819,9366
11457,0.0715,6392,5464,4493,4752,4645,5646,5906,7429,7676,7085,9099,9661
11754,0.0715,6651,5802,4604,4986,4775,5849,6141,7769,7880,7314,9402,9923
12188,0.0715,6892,5978,4774,5172,4962,6040,6357,7974,8136,7557,9744,10155
12552,0.0715,7164,6255,4954,5293,5111,6348,6585,8221,8329,7782,10021,10504
13019,0.0715,7473,6515,5225,5548,5371,6552,6942,8553,8695,8042,10390,10905
13557,0.0715,7737,6854,5407,5784,5574,6788,7177,8844,9079,8309,10755,11214
13916,0.0715,7989,7013,5549,5963,5712,7018,7417,8993,9242,8505,11049,11394
14376,0.0715,8165,7306,5746,6192,5890,7297,7696,9360,9508,8722,11402,11761
