intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
2126,1,3517,4918,3957,3698,4323,4542,2218,1963,2824
2142,0.8128,3526,5008,3975,3749,4277,4510,2231,1965,2892
2177,0.8266,3574,4994,4026,3798,4267,4498,2287,1972,2852
2208,0.9281,3589,5052,4081,3826,4285,4467,2249,1941,2896
2258,0.8162,3644,5145,4117,3813,4252,4480,2274,1990,2948
2303,0.8643,3625,5163,4165,3820,4274,4428,2278,1989,2936
2318,0.8621,3669,5248,4220,3837,4287,4412,2283,1953,2957
2402,0.7727,3730,5283,4280,3894,4285,4446,2264,1980,2993
2449,0.7549,3733,5416,4416,3930,4335,4510,2320,2033,3012
2483,0.86,3745,5355,4370,3899,4274,4356,2266,1963,2990
2490,0.9438,3789,5427,4473,3955,4268,4371,2279,1975,2992
2588,0.7927,3776,5438,4518,3965,4278,4292,2277,1990,2990
2615,0.8846,3818,5518,4576,4007,4251,4358,2288,1981,3011
2723,0.7552,3859,5572,4643,4026,4261,4337,2314,1986,3050
2753,0.8614,3841,5580,4671,4038,4287,4290,2278,1967,3074
2849,0.5966,3931,5706,4722,4049,4208,4351,2280,2017,3094
2838,0.8254,3972,5765,4803,4094,4246,4301,2275,2023,3108
2956,0.7628,3978,5859,4776,4122,4237,4299,2307,1949,3184
3022,0.7949,4033,5889,4872,4181,4257,4249,2353,1983,3154
3175,0.462,4088,5967,4966,4212,4251,4227,2347,2017,3191
3217,0.5248,4153,6042,5040,4279,4328,4252,2328,1969,3247
3255,0.6998,4210,6105,5075,4302,4311,4278,2341,2001,3258
3364,0.6269,4228,6169,5182,4332,4333,4298,2345,2015,3284
3443,0.6696,4304,6301,5197,4385,4321,4353,2357,2070,3381
3483,0.7154,4359,6343,5299,4421,4350,4315,2372,2080,3340
3592,0.6626,4372,6425,5358,4420,4419,4291,2388,2056,3387
3728,0.4952,4518,6477,5370,4516,4366,4309,2407,2044,3470
3823,0.5717,4560,6571,5512,4538,4366,4350,2393,2044,3508
3950,0.4977,4645,6676,5521,4567,4375,4364,2453,2042,3522
4055,0.4356,4641,6769,5658,4645,4441,4363,2417,2118,3530
4176,0.4493,4759,6858,5743,4674,4455,4372,2473,2136,3613
4263,0.4547,4823,7020,5806,4684,4497,4398,2482,2101,3603
4407,0.4525,4991,7133,5927,4835,4511,4409,2491,2118,3692
4523,0.3742,4997,7202,5936,4853,4488,4410,2487,2094,3753
4618,0.4865,5069,7259,6037,4871,4552,4452,2493,2142,3760
4745,0.4143,5232,7412,6143,4909,4618,4497,2541,2159,3843
4914,0.3817,5326,7515,6230,4972,4612,4517,2560,2170,3897
5122,0.2698,5430,7650,6278,5050,4683,4536,2623,2156,3922
5185,0.4303,5503,7788,6440,5113,4758,4566,2613,2172,4013
5390,0.3291,5636,7932,6492,5161,4748,4614,2619,2202,4028
5511,0.3948,5861,8091,6685,5219,4766,4633,2686,2212,4166
5660,0.3799,5860,8266,6784,5279,4845,4697,2676,2222,4189
5822,0.4073,5997,8400,6891,5325,4886,4666,2695,2247,4261
6031,0.3232,6185,8615,6987,5446,4953,4740,2757,2260,4365
6189,0.407,6282,8757,7158,5515,5019,4779,2815,2315,4465
6380,0.3867,6423,8918,7275,5555,5116,4840,2812,2318,4511
6621,0.2974,6519,9125,7377,5638,5126,4873,2861,2313,4632
6846,0.3023,6745,9399,7504,5779,5189,4989,2875,2385,4727
7008,0.3449,6914,9583,7707,5888,5304,5036,2994,2387,4803
7234,0.3806,7060,9802,7832,5989,5379,5091,3012,2434,4854
7471,0.3215,7213,9963,8040,6043,5410,5075,3041,2437,5045
7703,0.3909,7396,10308,8158,6153,5562,5221,3098,2453,5145
7892,0.3943,7684,10443,8293,6268,5654,5292,3119,2527,5243
8240,0.3127,7877,10761,8528,6446,5767,5282,3176,2528,5396
