intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
1539,0.1264,1575,1201,1563,1529,1504,1473,1350,1389
1539,0,1598,1242,1565,1563,1496,1490,1380,1407
1533,0.3734,1609,1277,1605,1578,1540,1527,1391,1425
1573,0.0488,1628,1263,1621,1589,1544,1566,1403,1476
1577,0.397,1634,1292,1658,1597,1505,1595,1399,1473
1593,0.1378,1662,1307,1665,1635,1600,1556,1439,1473
1603,0.4256,1693,1310,1676,1672,1584,1605,1488,1478
1623,0.2846,1715,1303,1692,1653,1616,1580,1508,1545
1592,0.6316,1733,1369,1710,1705,1629,1600,1512,1515
1641,0.3291,1751,1327,1721,1725,1637,1661,1523,1567
1655,0.3644,1779,1387,1776,1728,1669,1687,1540,1600
1686,0.2124,1753,1371,1767,1776,1711,1711,1559,1583
1645,0.7958,1802,1381,1804,1777,1736,1741,1568,1635
1704,0.5862,1799,1420,1835,1803,1723,1732,1631,1624
1728,0.3352,1836,1431,1850,1870,1741,1793,1638,1659
1763,0.4835,1853,1406,1870,1882,1791,1781,1673,1675
1743,0.6532,1873,1440,1880,1891,1830,1820,1693,1689
1762,0.6613,1912,1459,1921,1915,1823,1855,1735,1720
1789,0.624,1917,1485,1969,1968,1863,1852,1732,1738
1814,0.6512,1985,1506,1966,2005,1851,1923,1792,1821
1821,0.6871,2022,1548,2048,2025,1918,1951,1824,1807
1879,0.5378,2045,1557,2026,2051,1955,1946,1809,1830
1863,0.7579,2047,1600,2052,2080,1957,2020,1881,1869
1882,0.8238,2039,1598,2134,2094,1942,2028,1885,1888
1953,0.6599,2137,1651,2119,2093,2017,2059,1921,1935
1947,0.7902,2143,1619,2157,2133,2005,2113,1953,1926
1985,0.8078,2196,1647,2209,2224,2077,2141,1961,1907
2015,0.7781,2214,1699,2224,2210,2117,2157,2011,2021
2053,0.6617,2257,1723,2293,2271,2161,2196,2043,2064
2087,0.7728,2268,1723,2316,2329,2215,2257,2039,2044
2126,1,2336,1771,2335,2331,2201,2256,2092,2095
2142,0.8128,2358,1805,2432,2338,2275,2274,2142,2134
2177,0.8266,2376,1821,2443,2406,2252,2347,2184,2141
2208,0.9281,2464,1830,2438,2420,2328,2371,2216,2207
2258,0.8162,2530,1880,2482,2457,2387,2440,2259,2263
2303,0.8643,2551,1921,2566,2531,2419,2439,2277,2295
2318,0.8621,2563,1971,2597,2544,2443,2518,2306,2297
2402,0.7727,2623,2010,2691,2586,2483,2538,2409,2382
2449,0.7549,2702,2086,2728,2711,2570,2626,2441,2485
2483,0.86,2694,2046,2769,2752,2577,2621,2472,2461
2490,0.9438,2783,2104,2823,2755,2573,2677,2515,2493
2588,0.7927,2817,2097,2850,2760,2655,2717,2504,2580
2615,0.8846,2881,2205,2906,2841,2679,2770,2579,2633
2723,0.7552,2950,2198,2968,2908,2729,2800,2657,2684
2753,0.8614,2989,2236,3038,2929,2803,2861,2669,2696
2849,0.5966,3085,2286,3086,2979,2867,2897,2714,2762
2838,0.8254,3095,2361,3156,3074,2876,2958,2815,2804
2956,0.7628,3157,2376,3257,3100,2916,2971,2851,2875
3022,0.7949,3254,2407,3270,3154,3017,3058,2884,2943
3175,0.462,3297,2464,3330,3228,3090,3097,2952,2989
3217,0.5248,3396,2510,3454,3256,3136,3180,3019,3125
3255,0.6998,3441,2620,3499,3327,3172,3245,3084,3159
3364,0.6269,3501,2634,3594,3383,3284,3266,3129,3183
3443,0.6696,3598,2704,3635,3481,3328,3340,3186,3304
3483,0.7154,3630,2762,3772,3537,3377,3393,3287,3369
3592,0.6626,3731,2837,3814,3647,3459,3472,3355,3461
3728,0.4952,3825,2839,3889,3708,3506,3484,3429,3468
3823,0.5717,3908,2931,3972,3741,3607,3607,3504,3584
3950,0.4977,3988,3021,4097,3810,3633,3684,3562,3665
4055,0.4356,4092,3099,4153,3919,3767,3732,3645,3751
4176,0.4493,4136,3102,4257,4014,3831,3804,3717,3842
4263,0.4547,4231,3232,4375,4085,3914,3863,3849,3920
4407,0.4525,4357,3248,4470,4169,3976,3973,3938,4051
4523,0.3742,4389,3357,4558,4220,4083,4080,4038,4126
4618,0.4865,4519,3422,4654,4342,4157,4133,4105,4195
4745,0.4143,4614,3516,4750,4403,4226,4136,4209,4338
4914,0.3817,4773,3562,4866,4495,4326,4240,4322,4435
5122,0.2698,4851,3655,4985,4586,4418,4341,4428,4577
5185,0.4303,4927,3759,5080,4734,4514,4403,4532,4664
5390,0.3291,5074,3878,5200,4753,4611,4503,4682,4823
5511,0.3948,5232,3918,5349,4937,4711,4602,4834,4925
5660,0.3799,5333,4041,5462,5065,4856,4673,4950,5024
5822,0.4073,5488,4100,5558,5168,4896,4772,5050,5207
6031,0.3232,5557,4215,5760,5319,5061,4875,5196,5342
6189,0.407,5782,4349,5823,5419,5155,5008,5306,5469
6380,0.3867,5925,4456,6024,5558,5294,5098,5443,5606
6621,0.2974,6010,4570,6149,5652,5450,5215,5668,5751
6846,0.3023,6191,4702,6281,5817,5506,5304,5760,5974
7008,0.3449,6282,4791,6495,5978,5673,5449,5971,6058
7234,0.3806,6580,4944,6630,6074,5874,5587,6173,6283
7471,0.3215,6708,5051,6830,6241,5939,5738,6241,6466
7703,0.3909,6879,5229,6925,6378,6110,5922,6492,6652
7892,0.3943,7108,5311,7192,6509,6300,6032,6660,6809
8240,0.3127,7283,5523,7377,6729,6468,6186,6842,7015
8490,0.3336,7497,5664,7586,6923,6628,6326,7076,7234
8732,0.3977,7717,5840,7740,7070,6781,6551,7291,7404
8979,0.4533,7891,6030,8001,7290,6931,6694,7473,7615
9333,0.3647,8133,6200,8160,7427,7122,6882,7661,7846
9705,0.3376,8400,6380,8469,7655,7402,7056,8018,8098
10047,0.3339,8697,6617,8809,7896,7587,7378,8212,8399
10365,0.3656,8892,6759,8931,8112,7760,7532,8420,8587
10723,0.3745,9128,6987,9176,8266,7916,7842,8658,8781
11145,0.0715,9464,7237,9517,8555,8249,8069,8980,9092
11457,0.0715,9695,7418,9757,8734,8412,8244,9152,9344
11754,0.0715,9986,7751,10088,8964,8690,8568,9443,9654
12188,0.0715,10288,7952,10355,9297,8941,8865,9738,9938
12552,0.0715,10658,8179,10748,9543,9225,9167,10043,10212
13019,0.0715,11029,8542,11094,9932,9544,9532,10434,10657
13557,0.0715,11449,8806,11452,10184,9909,9822,10788,10969
13916,0.0715,11649,9008,11790,10465,10093,10068,11043,11199
14376,0.0715,12027,9359,12148,10784,10401,10481,11443,11559
14859,0.0715,12363,9680,12477,11143,10721,10786,11820,11922
15360,0.0715,12798,10049,12906,11442,11072,11140,12129,12324
15926,0.0715,13208,10399,13288,11882,11507,11502,12579,12686
16525,0.0715,13600,10749,13774,12182,11880,11936,12936,13183
17102,0.0715,14121,11133,14263,12573,12226,12329,13437,13622
17639,0.0715,14656,11544,14816,13109,12720,12763,13856,14153
18374,0.0715,15127,11985,15295,13542,13120,13286,14406,14629
18936,0.0715,15661,12424,15843,13979,13657,13795,15004,15093
19605,0.0715,16209,12888,16392,14398,14137,14257,15470,15563
20333,0.0715,16841,13449,16935,14938,14660,14843,16116,16170
21100,0.0715,17361,13965,17508,15461,15197,15303,16570,16629
21842,0.0715,18074,14480,18134,15949,15756,15908,17095,17225
22651,0.0715,18612,15014,18790,16387,16212,16454,17710,17836
23406,0.0715,19311,15601,19495,17047,16849,17081,18315,18472
24263,0.0715,20049,16186,20108,17653,17520,17766,18956,19089
25174,0.0715,20931,16960,20902,18322,18110,18482,19639,19823
25998,0.0715,21646,17538,21610,18961,18818,19107,20350,20430
26958,0.0715,22467,18362,22388,19667,19419,19790,21030,21171
27954,0.0715,23384,18975,23170,20418,20190,20687,21833,21884
28996,0.0715,24321,19749,24061,21023,20893,21358,22598,22722
30017,0.0715,25278,20558,24954,21784,21744,22203,23384,23464
31219,0.0715,26232,21485,25894,22741,22562,23137,24248,24353
32349,0.0715,27216,22365,26810,23555,23340,23992,25059,24996
33395,0.0715,28353,23262,27805,24330,24140,25010,25921,25984
34536,0.0715,29481,24249,28723,25278,24966,25866,26856,26869
35904,0.0715,30564,25163,29742,26200,25970,26940,27842,27778
36917,0.0715,31841,26134,30957,27247,26915,28024,28856,28803
1540,0.6233,,,,,,,,
1573,0.2331,,,,,,,,
1584,0.3282,,,,,,,,
1625,0.1073,,,,,,,,
1626,0.1738,,,,,,,,
1630,0.275,,,,,,,,
1670,0.106,,,,,,,,
1694,0.238,,,,,,,,
1709,0.1257,,,,,,,,
1736,0.0333,,,,,,,,
1753,0.1485,,,,,,,,
1786,0.1463,,,,,,,,
1771,0.1889,,,,,,,,
1847,0.0283,,,,,,,,
1864,0.9924,,,,,,,,
1887,0.9067,,,,,,,,
1902,0.9629,,,,,,,,
1946,0.9912,,,,,,,,
1985,0.5944,,,,,,,,
2015,0.864,,,,,,,,
2023,1,,,,,,,,
2115,0.7536,,,,,,,,
2134,0.754,,,,,,,,
2150,0.917,,,,,,,,
2226,0.518,,,,,,,,
2243,0.6045,,,,,,,,
2291,0.4928,,,,,,,,
2341,0.6054,,,,,,,,
2375,0.5726,,,,,,,,
2432,0.5595,,,,,,,,
2511,0.4365,,,,,,,,
2549,0.4899,,,,,,,,
2560,0.5996,,,,,,,,
2673,0.4156,,,,,,,,
2708,0.268,,,,,,,,
2756,0.3237,,,,,,,,
2816,0.3356,,,,,,,,
2827,0.4148,,,,,,,,
3020,0,,,,,,,,
3001,0.2795,,,,,,,,
3062,0.7828,,,,,,,,
3153,0.6075,,,,,,,,
3188,0.7257,,,,,,,,
3267,0.676,,,,,,,,
3353,0.6098,,,,,,,,
3385,0.6522,,,,,,,,
3491,0.5937,,,,,,,,
3589,0.4438,,,,,,,,
3657,0.5213,,,,,,,,
3739,0.459,,,,,,,,
3860,0.3469,,,,,,,,
3956,0.3849,,,,,,,,
4011,0.4361,,,,,,,,
4112,0.2178,,,,,,,,
4218,0.2056,,,,,,,,
4301,0.6432,,,,,,,,
4413,0.6359,,,,,,,,
4518,0.6457,,,,,,,,
4616,0.6596,,,,,,,,
4706,0.6878,,,,,,,,
4848,0.5942,,,,,,,,
4992,0.5387,,,,,,,,
5119,0.4745,,,,,,,,
5235,0.4646,,,,,,,,
5327,0.5561,,,,,,,,
5498,0.4673,,,,,,,,
5659,0.434,,,,,,,,
5758,0.5363,,,,,,,,
5894,0.5611,,,,,,,,
6083,0.4874,,,,,,,,
6205,0.4411,,,,,,,,
6431,0.31,,,,,,,,
6542,0.4528,,,,,,,,
6721,0.4542,,,,,,,,
6947,0.3919,,,,,,,,
7067,0.5287,,,,,,,,
7342,0.3245,,,,,,,,
7508,0.3703,,,,,,,,
7716,0.4018,,,,,,,,
7929,0.3817,,,,,,,,
8116,0.4231,,,,,,,,
8417,0.3217,,,,,,,,
8576,0.4095,,,,,,,,
8870,0.3932,,,,,,,,
9124,0.3401,,,,,,,,
9336,0.4439,,,,,,,,
9645,0.386,,,,,,,,
9908,0.3893,,,,,,,,
10275,0.3114,,,,,,,,
10621,0.2822,,,,,,,,
10889,0.3452,,,,,,,,
11240,0.3566,,,,,,,,
11569,0.3429,,,,,,,,
11943,0.3603,,,,,,,,
12317,0.3675,,,,,,,,
12670,0.4065,,,,,,,,
13099,0.3773,,,,,,,,
13685,0.224,,,,,,,,
14144,0.2317,,,,,,,,
14495,0.3346,,,,,,,,
14951,0.3708,,,,,,,,
15373,0.447,,,,,,,,
15896,0.4519,,,,,,,,
16499,0.4085,,,,,,,,
16999,0.4738,,,,,,,,
17628,0.4758,,,,,,,,
18278,0.4467,,,,,,,,
18844,0.5179,,,,,,,,
19474,0.5806,,,,,,,,
20188,0.5694,,,,,,,,
20967,0.5677,,,,,,,,
21576,0.303,,,,,,,,
22365,0.3304,,,,,,,,
23048,0.4555,,,,,,,,
23857,0.5245,,,,,,,,
24798,0.33,,,,,,,,
25656,0.4261,,,,,,,,
26464,0.5717,,,,,,,,
27449,0.4055,,,,,,,,
28476,0.4901,,,,,,,,
29329,0.4872,,,,,,,,
30415,0.5802,,,,,,,,
31570,0.6795,,,,,,,,
32700,0.3807,,,,,,,,
33797,0.3342,,,,,,,,
34997,0.5185,,,,,,,,
36218,0.3638,,,,,,,,
37528,0.5362,,,,,,,,
1546,0.1823,,,,,,,,
1561,0.0997,,,,,,,,
1614,0,,,,,,,,
1557,0.4951,,,,,,,,
1589,0.5479,,,,,,,,
1603,0.304,,,,,,,,
1633,0.4579,,,,,,,,
1685,0.1158,,,,,,,,
1626,0.678,,,,,,,,
1699,0.029,,,,,,,,
1665,0.3598,,,,,,,,
1717,0.2636,,,,,,,,
1717,0.3052,,,,,,,,
1716,0.3951,,,,,,,,
1739,0.2488,,,,,,,,
1746,0.5529,,,,,,,,
1788,0.3459,,,,,,,,
1765,0.4751,,,,,,,,
1804,0.4788,,,,,,,,
1808,0.4101,,,,,,,,
1850,0.4842,,,,,,,,
1832,0.5499,,,,,,,,
1899,0.409,,,,,,,,
1889,0.7214,,,,,,,,
1930,0.5149,,,,,,,,
1961,0.4744,,,,,,,,
1963,0.4581,,,,,,,,
2008,0.5655,,,,,,,,
2042,0.4053,,,,,,,,
2104,0.2654,,,,,,,,
2068,0.5679,,,,,,,,
2086,0.5364,,,,,,,,
2084,0.631,,,,,,,,
2146,0.7754,,,,,,,,
2159,0.6088,,,,,,,,
2170,0.6933,,,,,,,,
2228,0.591,,,,,,,,
2277,0.5969,,,,,,,,
2335,0.5063,,,,,,,,
2333,0.6814,,,,,,,,
2391,0.6027,,,,,,,,
2353,0.7836,,,,,,,,
2401,0.7638,,,,,,,,
2428,0.7964,,,,,,,,
2462,0.8681,,,,,,,,
2525,0.7292,,,,,,,,
2568,0.8118,,,,,,,,
2571,0.9437,,,,,,,,
2656,0.8849,,,,,,,,
2660,0.8737,,,,,,,,
2741,0.8719,,,,,,,,
2795,0.8172,,,,,,,,
2821,0.9467,,,,,,,,
2917,0.6874,,,,,,,,
2914,1,,,,,,,,
3002,0.8262,,,,,,,,
3058,0.9345,,,,,,,,
3121,0.7766,,,,,,,,
3163,0.8354,,,,,,,,
3283,0.6979,,,,,,,,
3309,0.8048,,,,,,,,
3452,0.6973,,,,,,,,
3467,0.7915,,,,,,,,
3539,0.8444,,,,,,,,
3602,0.9168,,,,,,,,
3715,0.7876,,,,,,,,
3753,0.7974,,,,,,,,
3868,0.8497,,,,,,,,
3945,0.8833,,,,,,,,
4075,0.7609,,,,,,,,
4155,0.8219,,,,,,,,
4251,0.8078,,,,,,,,
4357,0.7845,,,,,,,,
4483,0.7465,,,,,,,,
4608,0.7664,,,,,,,,
4713,0.733,,,,,,,,
4876,0.7372,,,,,,,,
5034,0.5747,,,,,,,,
5156,0.5959,,,,,,,,
5285,0.5976,,,,,,,,
5429,0.5831,,,,,,,,
5637,0.6074,,,,,,,,
5782,0.6168,,,,,,,,
6003,0.5324,,,,,,,,
6223,0.4452,,,,,,,,
6381,0.4934,,,,,,,,
6634,0.734,,,,,,,,
6836,0.7507,,,,,,,,
7142,0.5632,,,,,,,,
7463,0.3592,,,,,,,,
7631,0.5121,,,,,,,,
7958,0.3582,,,,,,,,
8314,0.4702,,,,,,,,
8563,0.4729,,,,,,,,
8885,0.3853,,,,,,,,
9222,0.8897,,,,,,,,
9620,0.7568,,,,,,,,
10050,0.6311,,,,,,,,
10575,0.361,,,,,,,,
10901,0.4049,,,,,,,,
11298,0.4967,,,,,,,,
11752,0.4395,,,,,,,,
12252,0.6498,,,,,,,,
12820,0.5109,,,,,,,,
13368,0.4069,,,,,,,,
13868,0.3529,,,,,,,,
14561,0.6538,,,,,,,,
15308,0.4581,,,,,,,,
15895,0.4386,,,,,,,,
16530,0.3819,,,,,,,,
17409,0.5133,,,,,,,,
18018,0.5446,,,,,,,,
18727,0.9369,,,,,,,,
19631,0.7479,,,,,,,,
20414,0.761,,,,,,,,
21266,0.7078,,,,,,,,
22200,0.682,,,,,,,,
23181,0.5997,,,,,,,,
24092,0.6671,,,,,,,,
25211,0.5318,,,,,,,,
26161,0.6299,,,,,,,,
27300,0.6089,,,,,,,,
28476,0.6095,,,,,,,,
29576,0.7316,,,,,,,,
30773,0.7855,,,,,,,,
32109,0.8144,,,,,,,,
33510,0.8797,,,,,,,,
34747,0.5708,,,,,,,,
