intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
1539,0.1264,1509,1358,1313,1309,1389,1196,1256,1335
1539,0,1508,1331,1327,1364,1426,1164,1256,1360
1533,0.3734,1548,1358,1350,1330,1415,1225,1277,1315
1573,0.0488,1549,1423,1409,1399,1446,1220,1310,1401
1577,0.397,1553,1385,1399,1386,1444,1220,1318,1405
1593,0.1378,1579,1429,1424,1393,1454,1248,1327,1426
1603,0.4256,1621,1448,1457,1448,1509,1287,1387,1415
1623,0.2846,1592,1435,1493,1449,1473,1247,1400,1479
1592,0.6316,1615,1442,1463,1496,1503,1309,1395,1448
1641,0.3291,1647,1456,1461,1497,1544,1314,1423,1486
1655,0.3644,1644,1491,1530,1545,1526,1315,1464,1519
1686,0.2124,1668,1495,1526,1526,1603,1331,1476,1530
1645,0.7958,1674,1521,1561,1570,1581,1343,1533,1584
1704,0.5862,1702,1541,1576,1563,1639,1399,1501,1558
1728,0.3352,1705,1583,1596,1588,1683,1398,1560,1559
1763,0.4835,1763,1553,1593,1632,1639,1380,1614,1622
1743,0.6532,1760,1591,1689,1659,1665,1432,1561,1631
1762,0.6613,1795,1637,1681,1668,1671,1442,1627,1657
1789,0.624,1821,1676,1724,1724,1740,1491,1601,1726
1814,0.6512,1844,1662,1720,1793,1768,1484,1682,1755
1821,0.6871,1892,1688,1759,1766,1755,1551,1722,1793
1879,0.5378,1856,1716,1793,1827,1813,1544,1730,1767
1863,0.7579,1899,1725,1819,1825,1844,1538,1789,1821
1882,0.8238,1925,1780,1825,1845,1870,1592,1815,1885
1953,0.6599,1964,1775,1892,1894,1877,1631,1824,1887
1947,0.7902,1958,1823,1912,1924,1927,1646,1889,1897
1985,0.8078,2032,1817,1948,1954,1953,1696,1891,1966
2015,0.7781,2040,1860,1969,1975,2012,1716,1913,2010
2053,0.6617,2069,1900,2026,2051,2044,1809,1983,2006
2087,0.7728,2155,1925,2010,2104,2095,1800,2040,2084
2126,1,2164,1960,2061,2074,2121,1838,2103,2096
2142,0.8128,2178,1968,2150,2165,2117,1886,2143,2107
2177,0.8266,2208,2027,2190,2199,2184,1859,2170,2123
2208,0.9281,2266,2055,2249,2227,2273,1941,2173,2204
2258,0.8162,2271,2109,2259,2270,2251,2016,2256,2300
2303,0.8643,2333,2122,2334,2327,2320,2034,2296,2319
2318,0.8621,2344,2185,2389,2376,2389,2083,2366,2369
2402,0.7727,2370,2216,2417,2422,2434,2130,2406,2413
2449,0.7549,2512,2314,2527,2485,2552,2178,2478,2514
2483,0.86,2448,2342,2463,2530,2519,2241,2482,2480
2490,0.9438,2465,2351,2550,2556,2583,2270,2542,2534
2588,0.7927,2563,2362,2597,2631,2629,2295,2601,2619
2615,0.8846,2568,2353,2681,2636,2690,2393,2635,2664
2723,0.7552,2625,2480,2685,2670,2703,2429,2729,2720
2753,0.8614,2696,2528,2759,2742,2805,2491,2751,2755
2849,0.5966,2744,2585,2794,2838,2877,2578,2842,2785
2838,0.8254,2770,2594,2914,2921,2937,2617,2902,2882
2956,0.7628,2845,2654,2959,2979,2974,2641,2940,2935
3022,0.7949,2828,2713,3047,2995,3055,2751,3025,3038
3175,0.462,2962,2764,3052,3058,3105,2808,3103,3068
3217,0.5248,2997,2811,3153,3150,3132,2906,3182,3125
3255,0.6998,3042,2896,3254,3210,3276,2919,3197,3217
3364,0.6269,3117,2946,3306,3278,3355,3031,3293,3246
3443,0.6696,3183,2994,3363,3399,3408,3133,3381,3390
3483,0.7154,3258,3054,3437,3489,3497,3184,3471,3440
3592,0.6626,3276,3138,3490,3576,3572,3225,3518,3524
3728,0.4952,3370,3265,3604,3647,3767,3362,3596,3616
3823,0.5717,3417,3293,3743,3763,3809,3427,3677,3704
3950,0.4977,3554,3328,3760,3826,3876,3565,3738,3751
4055,0.4356,3613,3444,3870,3952,3965,3624,3859,3838
4176,0.4493,3686,3557,3937,4016,4129,3710,3950,3940
4263,0.4547,3720,3620,4067,4103,4212,3825,4010,4019
4407,0.4525,3830,3706,4164,4240,4343,3973,4172,4158
4523,0.3742,3915,3801,4283,4297,4529,4032,4312,4255
4618,0.4865,3938,3927,4441,4433,4585,4164,4349,4324
4745,0.4143,4091,3991,4484,4558,4720,4285,4453,4462
4914,0.3817,4161,4087,4562,4658,4858,4383,4593,4546
5122,0.2698,4296,4189,4751,4827,5023,4497,4714,4658
5185,0.4303,4344,4304,4875,4916,5185,4619,4817,4756
5390,0.3291,4479,4418,4881,5045,5321,4756,4984,4883
5511,0.3948,4575,4526,5063,5150,5473,4924,5051,4992
5660,0.3799,4611,4658,5204,5290,5599,5068,5216,5125
5822,0.4073,4733,4739,5337,5413,5806,5226,5354,5262
6031,0.3232,4834,4875,5512,5551,5950,5348,5550,5393
6189,0.407,4990,4952,5581,5748,6127,5484,5691,5508
6380,0.3867,5037,5077,5743,5824,6309,5688,5810,5641
6621,0.2974,5169,5257,5881,6001,6476,5816,6001,5803
6846,0.3023,5314,5362,6008,6166,6651,5999,6181,5953
7008,0.3449,5390,5514,6201,6343,6873,6152,6371,6155
7234,0.3806,5526,5613,6330,6529,7043,6394,6536,6351
7471,0.3215,5702,5786,6474,6720,7257,6535,6722,6463
7703,0.3909,5860,5948,6650,6847,7445,6752,6898,6641
7892,0.3943,6031,6062,6790,7075,7629,6939,7152,6852
8240,0.3127,6122,6268,7000,7214,8000,7141,7335,7105
8490,0.3336,6304,6420,7205,7420,8239,7375,7578,7306
8732,0.3977,6555,6569,7357,7619,8451,7609,7737,7526
8979,0.4533,6679,6744,7565,7834,8651,7756,8000,7765
9333,0.3647,6841,6924,7711,8049,8929,8018,8242,8062
9705,0.3376,7069,7126,7969,8354,9211,8331,8474,8304
10047,0.3339,7279,7344,8172,8549,9547,8578,8856,8571
10365,0.3656,7476,7494,8449,8761,9869,8765,9022,8849
10723,0.3745,7674,7633,8628,9000,10137,9057,9249,9120
11145,0.0715,7919,7974,8928,9253,10532,9322,9622,9438
11457,0.0715,8152,8091,9177,9489,10782,9667,9873,9702
11754,0.0715,8373,8329,9455,9794,11090,9962,10138,10027
12188,0.0715,8616,8623,9763,10056,11485,10221,10479,10356
12552,0.0715,8900,8805,10058,10321,11873,10647,10781,10693
13019,0.0715,9183,9092,10459,10674,12373,11011,11220,11128
13557,0.0715,9539,9436,10801,11126,12787,11367,11549,11468
13916,0.0715,9734,9650,11017,11266,13127,11671,11820,11791
14376,0.0715,9987,9890,11408,11615,13496,12117,12166,12164
14859,0.0715,10310,10205,11723,11939,13976,12523,12527,12439
15360,0.0715,10629,10469,12153,12330,14480,12904,13005,12898
15926,0.0715,10963,10797,12527,12707,14923,13395,13460,13327
16525,0.0715,11234,11160,12940,13103,15347,13836,13924,13708
17102,0.0715,11595,11511,13344,13469,16018,14340,14384,14131
17639,0.0715,11965,11933,13819,13890,16517,14963,14879,14554
18374,0.0715,12375,12222,14286,14418,17082,15542,15511,14981
18936,0.0715,12770,12692,14684,14890,17571,16099,16070,15555
19605,0.0715,13074,13120,15259,15342,18215,16543,16613,15902
20333,0.0715,13583,13606,15828,15890,18805,17299,17383,16513
21100,0.0715,13989,14007,16278,16347,19456,17800,17937,16858
21842,0.0715,14356,14448,16730,16881,20027,18475,18626,17360
22651,0.0715,14834,14938,17377,17403,20737,19188,19273,17831
23406,0.0715,15354,15391,17951,17906,21355,19789,19991,18339
24263,0.0715,15784,15937,18523,18610,22099,20528,20810,18896
25174,0.0715,16324,16628,19258,19250,22810,21300,21535,19507
25998,0.0715,16833,17147,19930,19879,23511,21960,22364,20176
26958,0.0715,17297,17611,20624,20541,24358,22829,23163,20743
27954,0.0715,18061,18248,21221,21282,25125,23550,24022,21428
28996,0.0715,18524,18853,22040,21973,25991,24437,24934,22057
30017,0.0715,19162,19439,22920,22796,26936,25318,25779,22754
31219,0.0715,19822,20229,23648,23545,27866,26267,26813,23545
32349,0.0715,20584,20827,24623,24322,28743,27164,27838,24254
33395,0.0715,21225,21647,25418,25169,29637,28015,28660,25018
34536,0.0715,22013,22320,26263,25997,30679,28997,29675,25866
35904,0.0715,22759,23063,27325,26840,31591,29923,30726,26680
36917,0.0715,23515,23825,28239,27703,32686,30995,31777,27515
1540,0.6233,,,,,,,,
