intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
1539,0.1264,1252,1126,954,863,922,907,885,790,852
1539,0,1230,1089,947,896,908,902,863,791,833
1533,0.3734,1272,1126,932,863,927,874,873,787,846
1573,0.0488,1316,1106,951,881,939,901,845,814,826
1577,0.397,1299,1117,947,864,912,926,833,777,851
1593,0.1378,1327,1171,979,847,913,890,854,807,860
1603,0.4256,1289,1143,966,905,924,924,906,837,860
1623,0.2846,1387,1155,972,893,937,909,865,823,844
1592,0.6316,1360,1181,977,892,916,895,853,810,882
1641,0.3291,1393,1199,986,899,924,911,838,825,851
1655,0.3644,1426,1234,1022,897,946,952,885,807,873
1686,0.2124,1445,1251,1044,941,953,902,829,813,874
1645,0.7958,1463,1205,1034,931,971,941,837,838,888
1704,0.5862,1469,1241,1040,950,959,917,853,839,896
1728,0.3352,1476,1269,1050,944,943,929,862,816,912
1763,0.4835,1510,1247,1028,961,946,900,860,841,936
1743,0.6532,1533,1312,1056,950,980,946,866,826,943
1762,0.6613,1597,1313,1067,960,932,910,865,850,924
1789,0.624,1589,1365,1088,994,987,932,869,840,930
1814,0.6512,1633,1328,1081,947,967,941,843,846,942
1821,0.6871,1691,1359,1119,979,993,967,873,852,1024
1879,0.5378,1664,1398,1125,994,1017,960,894,853,957
1863,0.7579,1688,1385,1128,978,1016,959,869,875,995
1882,0.8238,1723,1430,1141,977,1022,991,871,887,983
1953,0.6599,1737,1440,1145,1043,1040,1005,871,856,1014
1947,0.7902,1768,1461,1160,1010,1028,1000,859,903,1020
1985,0.8078,1811,1498,1162,1078,1058,986,903,929,1025
2015,0.7781,1868,1505,1205,1025,1068,1027,862,927,1042
2053,0.6617,1908,1530,1210,1088,1054,1024,861,903,1065
2087,0.7728,1936,1577,1230,1071,1077,1026,920,952,1067
2126,1,1949,1560,1261,1104,1085,1036,909,961,1083
2142,0.8128,1971,1569,1252,1078,1095,1041,914,947,1117
2177,0.8266,2033,1635,1264,1065,1104,1053,909,959,1113
2208,0.9281,2125,1634,1257,1109,1144,1040,905,989,1127
2258,0.8162,2139,1668,1282,1130,1165,1103,989,988,1145
2303,0.8643,2198,1735,1339,1117,1165,1122,933,984,1166
2318,0.8621,2232,1754,1358,1209,1182,1107,958,1037,1199
2402,0.7727,2279,1777,1353,1179,1202,1158,967,1066,1221
2449,0.7549,2328,1833,1406,1212,1194,1185,985,1066,1263
2483,0.86,2349,1823,1425,1210,1222,1170,987,1085,1257
2490,0.9438,2419,1897,1441,1220,1267,1209,965,1091,1266
2588,0.7927,2484,1929,1438,1241,1275,1205,1038,1134,1309
