intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1539,0.1264,2155,2005,1892,1633,1638,1847,1902,1699,1492,1711
1539,0,2194,2021,1889,1645,1593,1909,1950,1732,1466,1727
1533,0.3734,2174,2042,1896,1683,1645,1907,1971,1765,1557,1775
1573,0.0488,2220,2081,1913,1700,1639,1944,2013,1778,1511,1758
1577,0.397,2222,2098,1930,1712,1670,1947,2021,1821,1564,1796
1593,0.1378,2290,2121,1963,1677,1719,1971,2077,1826,1549,1805
1603,0.4256,2283,2130,1978,1760,1716,2054,2065,1828,1570,1802
1623,0.2846,2296,2167,2019,1783,1737,2083,2086,1876,1614,1880
1592,0.6316,2324,2177,1991,1767,1789,2068,2123,1909,1609,1877
1641,0.3291,2367,2172,2052,1818,1827,2107,2146,1906,1625,1858
1655,0.3644,2391,2206,2056,1844,1822,2128,2216,1946,1639,1894
1686,0.2124,2388,2209,2091,1869,1862,2127,2225,1961,1644,1950
1645,0.7958,2449,2242,2085,1866,1833,2174,2263,1981,1667,1968
1704,0.5862,2478,2241,2113,1919,1899,2206,2247,2047,1692,1988
1728,0.3352,2519,2336,2122,1942,1928,2220,2269,2008,1694,1997
1763,0.4835,2515,2342,2162,1953,1957,2263,2341,2083,1719,2057
1743,0.6532,2558,2383,2176,1977,2009,2283,2352,2082,1719,2057
1762,0.6613,2571,2435,2216,2024,2041,2310,2426,2132,1773,2096
1789,0.624,2644,2460,2243,2035,2087,2362,2457,2179,1761,2144
1814,0.6512,2671,2467,2269,2060,2105,2386,2495,2149,1810,2146
1821,0.6871,2719,2541,2296,2075,2150,2444,2468,2240,1847,2171
1879,0.5378,2758,2526,2367,2142,2225,2506,2582,2263,1826,2204
1863,0.7579,2755,2575,2339,2179,2223,2518,2571,2256,1854,2196
1882,0.8238,2839,2596,2401,2183,2309,2599,2620,2363,1886,2237
1953,0.6599,2901,2611,2412,2250,2287,2589,2670,2358,1922,2262
1947,0.7902,2920,2656,2454,2265,2332,2679,2687,2400,1895,2313
1985,0.8078,2985,2664,2511,2305,2336,2680,2777,2430,1958,2331
2015,0.7781,2966,2719,2521,2349,2430,2727,2768,2493,1967,2331
2053,0.6617,3058,2761,2550,2426,2463,2777,2872,2528,1996,2395
2087,0.7728,3133,2813,2615,2437,2561,2854,2880,2585,2025,2505
2126,1,3157,2826,2631,2476,2521,2905,2978,2629,2074,2447
2142,0.8128,3213,2884,2659,2533,2620,2947,2997,2636,2035,2504
2177,0.8266,3295,2941,2689,2540,2678,2989,3009,2679,2074,2575
2208,0.9281,3324,2948,2755,2591,2748,3047,3104,2763,2088,2543
2258,0.8162,3370,3012,2801,2631,2762,3098,3107,2807,2187,2627
2303,0.8643,3418,3035,2828,2693,2834,3108,3166,2889,2162,2635
2318,0.8621,3528,3148,2929,2777,2852,3212,3288,2872,2198,2668
