intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8
62114,0.2654,63097,62645,61750,61028,62260,59033,61886,62717
59827,0.2654,60193,60152,59581,58908,60067,57184,59987,60515
57844,0.2654,58290,58053,57635,57261,58270,55411,57949,58344
55736,0.2654,56411,55971,56065,55504,56554,53731,56320,56880
53660,0.2654,54367,54012,54081,53605,54644,51891,54501,55052
51755,0.2654,52566,51894,52355,52007,53005,50007,52956,53368
49887,0.2654,50819,50079,50783,50184,51543,48451,51250,51668
48131,0.2654,48956,48309,49026,48492,49862,46800,49504,50145
46295,0.2654,47395,46435,47313,46775,48448,45216,47892,48461
44680,0.2654,45647,44579,45764,45272,46930,43618,46444,46814
43007,0.2654,44194,42994,44223,43813,45581,42060,45067,45336
41319,0.2654,42646,41438,42828,42175,44287,40603,43611,43734
39715,0.2654,41091,39885,41326,40675,42777,39121,42311,42361
38314,0.2654,39700,38342,40026,39346,41762,37705,40822,41020
36967,0.2654,38383,37000,38670,37982,40441,36516,39595,39629
35450,0.2654,37107,35579,37352,36662,39276,35297,38399,38396
34143,0.2654,35738,34384,36062,35427,38152,34111,37243,37075
32981,0.2654,34585,33234,34963,34324,37056,32932,36059,35972
31735,0.2654,33368,32205,33964,33163,36132,31800,35018,34770
30638,0.2654,32291,31162,32825,32080,35063,30777,33906,33644
29632,0.2654,31269,30113,31914,31126,34155,29890,32875,32619
28487,0.2654,30131,29084,30722,30013,33045,28871,31772,31555
27379,0.2654,29255,28218,29738,28950,32335,27851,30789,30488
26454,0.2654,28284,27237,28719,28190,31354,26996,29841,29501
25477,0.2654,27309,26399,27806,27164,30391,26166,28900,28548
24609,0.2654,26448,25717,26905,26402,29557,25354,28035,27721
23740,0.2654,25579,24914,25996,25555,28605,24674,27151,26915
22822,0.2654,24783,24180,25016,24697,27748,23895,26278,26003
22083,0.4807,24068,23512,24320,24102,26959,23263,25631,25278
21247,0.4905,23446,23020,23556,23361,26217,22648,24839,24483
20479,0.5008,22652,22216,22593,22583,25346,21919,23981,23691
19755,0.4572,21951,21509,21967,21777,24683,21377,23293,22988
19075,0.4351,21202,21008,21119,21212,23774,20704,22596,22302
18361,0.4492,20564,20406,20441,20403,23021,20122,21808,21632
17791,0.3957,20065,19919,19936,19940,22466,19822,21365,21117
17076,0.4381,19402,19267,19081,19384,21828,19015,20616,20426
16594,0.3612,18911,18815,18533,18757,21113,18635,20085,19967
15949,0.3969,18283,18251,17984,18263,20445,18179,19394,19255
15730,0.2221,18222,18158,17833,17963,20207,18037,19390,19280
14815,0.4207,17223,17187,16826,17042,19099,17106,18302,18300
14316,0.4025,16691,16710,16282,16662,18569,16632,17784,17755
13756,0.4416,16239,16188,15839,16197,18065,16237,17284,17244
13234,0.472,15770,15720,15278,15585,17429,15752,16798,16772
12847,0.4428,15441,15324,14834,15194,16957,15306,16259,16356
12400,0.4556,14883,14890,14436,14833,16518,14931,15829,15847
11982,0.4268,14621,14533,14025,14488,15916,14568,15392,15497
