intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
62114,0.2654,58670,57517,59091,65006,63912,61234,61804,62802,62985,61368,62452,61903
59827,0.2654,56668,55304,57233,65145,61134,59140,59787,59944,60330,59526,59906,59732
57844,0.2654,54670,53305,55181,62681,59063,57228,58065,57896,58356,57845,57729,57843
55736,0.2654,52733,51326,53272,58726,57268,55742,56441,56019,56718,56428,55876,56194
53660,0.2654,50619,49261,51367,56492,55423,53810,54765,54078,55026,54782,53832,54261
51755,0.2654,48907,47315,49394,54363,53749,52136,53316,52169,53323,53174,51924,52543
49887,0.2654,47110,45444,47586,52353,51932,50451,51783,50469,51804,51585,50296,50701
48131,0.2654,45231,43832,45738,50224,50327,48807,50261,48696,50093,49926,48501,49081
46295,0.2654,43368,41853,43991,48281,48594,47147,48692,46974,48592,48370,46643,47407
44680,0.2654,41698,40308,42481,46197,46974,45556,47164,45316,47166,46833,45026,45696
43007,0.2654,40138,38818,40764,44190,45330,44073,45849,43734,45785,45274,43537,44138
41319,0.2654,38474,37280,39205,42390,43880,42687,44417,42207,44323,43810,41932,42652
39715,0.2654,36731,35856,37593,40523,42380,41149,43014,40695,42986,42378,40428,41107
38314,0.2654,35315,34459,36221,38950,41026,39876,41773,39212,41781,40831,39047,39692
36967,0.2654,33699,33191,34839,37264,39489,38533,40485,37750,40581,39419,37835,38401
35450,0.2654,32262,31932,33511,35676,38077,37311,39126,36556,39357,38162,36425,36943
34143,0.2654,30743,30718,32144,34280,36834,36142,37878,35252,38082,36712,35216,35706
32981,0.2654,29459,29677,30966,32846,35539,34866,36756,33999,37134,35503,34050,34455
31735,0.2654,28113,28629,29908,31337,34203,33791,35462,32810,36041,34291,33015,33135
30638,0.2654,26766,27510,28772,30125,32972,32733,34392,31630,34875,33087,31931,31877
29632,0.2654,25593,26517,27591,28912,31875,31740,33319,30623,33919,32011,31009,30935
28487,0.2654,24441,25638,26532,27740,30669,30608,32222,29566,33004,30771,29927,29719
27379,0.2654,23235,24652,25457,26461,29520,29714,31098,28468,31913,29759,28870,28618
26454,0.2654,22152,23752,24541,25445,28412,28812,30023,27379,30997,28762,28022,27657
25477,0.2654,21046,22853,23622,24406,27424,27863,28976,26574,30172,27697,27071,26610
24609,0.2654,20093,21953,22723,23383,26333,27047,27992,25539,29260,26822,26220,25621
23740,0.2654,19036,21109,21907,22481,25314,26182,27017,24700,28391,25838,25382,24707
22822,0.2654,18089,20373,21116,21555,24376,25422,26172,23884,27580,24912,24583,23850
22083,0.4807,17288,19646,20339,20790,23509,24729,25223,23117,26814,24094,23835,23045
21247,0.4905,16453,18910,19641,20067,22646,23951,24411,22345,26039,23354,23159,22292
20479,0.5008,15579,18044,18947,19186,21735,23141,23438,21394,25325,22566,22436,21353
19755,0.4572,14846,17379,18276,18572,20945,22513,22704,20745,24642,21790,21811,20602
19075,0.4351,14128,16687,17559,17849,20157,21677,21850,20080,23791,21014,20993,19892
18361,0.4492,13492,16018,16975,17169,19336,21031,21020,19367,23185,20299,20327,19239
17791,0.3957,12921,15468,16460,16741,18790,20576,20448,18899,22626,19770,19757,18678
17076,0.4381,12299,14739,15879,16085,18004,19867,19570,18212,21859,18957,19023,17907
16594,0.3612,11771,14183,15353,15570,17449,19303,19020,17674,21284,18435,18530,17485
15949,0.3969,11180,13687,14821,15024,16771,18694,18338,17090,20740,17795,17946,16810
15730,0.2221,10967,13410,14626,14949,16474,18468,18121,16987,20634,17690,17820,16677
14815,0.4207,10261,12497,13831,14064,15548,17531,17069,16082,19515,16607,16787,15779
14316,0.4025,9750,11974,13336,13617,14988,16922,16531,15597,18978,16091,16313,15251
13756,0.4416,9421,11499,12868,13234,14510,16382,15928,15136,18414,15534,15770,14679
13234,0.472,9070,10991,12375,12758,13962,15889,15303,14639,17941,15015,15201,14357
12847,0.4428,8704,10599,12051,12384,13509,15418,14904,14309,17451,14553,14741,13835
12400,0.4556,8305,10096,11622,12081,13052,14958,14464,13834,16989,14037,14396,13430
11982,0.4268,7987,9707,11276,11687,12553,14568,13991,13501,16549,13674,13970,13034
11561,0.444,7758,9265,10818,11369,12151,14129,13507,13090,16039,13228,13531,12623
11115,0.5083,7406,8854,10476,10969,11812,13550,13022,12751,15572,12771,13121,12211
10825,0.4665,7146,8518,10196,10587,11411,13182,12738,12449,15277,12380,12870,11851
10443,0.4611,6963,8142,9829,10389,11065,12864,12321,12011,14849,12040,12384,11471
10178,0.4066,6738,7787,9478,10127,10753,12439,11899,11808,14413,11680,12021,11166
9780,0.4817,6483,7400,9215,9773,10370,12109,11612,11472,13994,11379,11663,10882
9448,0.501,6348,7066,8833,9519,10120,11747,11231,11199,13749,10952,11356,10530
9153,0.5124,6163,6885,8554,9242,9771,11396,10893,10989,13336,10715,11053,10282
8891,0.4762,5982,6549,8249,8955,9496,11079,10594,10665,12982,10322,10694,9875
8503,0.5691,5781,6234,7990,8695,9166,10825,10341,10363,12573,10126,10364,9633
8299,0.4988,5663,6004,7774,8419,8872,10408,10075,10220,12267,9825,10024,9374
8025,0.5476,5526,5738,7465,8224,8647,10148,9758,9948,11971,9511,9850,9103
7765,0.5595,5341,5464,7196,7935,8388,9875,9427,9687,11638,9264,9557,8835
7517,0.5498,5184,5268,6957,7731,8135,9656,9173,9489,11269,8989,9287,8579
7276,0.5866,5066,5042,6724,7544,7910,9362,8958,9250,10960,8693,9031,8391
7054,0.5755,5003,4883,6582,7306,7742,9195,8777,9028,10722,8433,8791,8082
6876,0.5767,4893,4709,6357,7174,7505,8805,8524,8862,10489,8361,8638,7922
6643,0.5667,4762,4479,6114,6926,7298,8675,8278,8694,10134,8091,8371,7713
6415,0.64,4593,4299,5903,6707,7158,8386,8103,8429,9844,7883,8147,7445
6218,0.6125,4500,4128,5702,6530,7011,8109,7872,8301,9603,7625,7927,7275
5942,0.7416,4405,4043,5514,6370,6783,7957,7649,8116,9391,7499,7720,7111
5837,0.673,4224,3859,5339,6226,6616,7772,7415,7945,9064,7281,7503,6847
5589,0.7955,4180,3745,5224,6073,6445,7459,7250,7734,8837,7093,7300,6674
5450,0.7686,4033,3558,5024,5877,6231,7386,7031,7577,8591,6894,7172,6477
5326,0.7487,3932,3520,4903,5729,6102,7128,6880,7403,8426,6729,6929,6355
5153,0.759,3862,3343,4697,5613,5989,6879,6679,7287,8148,6609,6767,6135
4956,0.8547,3710,3251,4584,5457,5808,6806,6547,7148,7961,6393,6621,5993
4828,0.8183,3621,3165,4478,5285,5633,6646,6438,6963,7770,6232,6474,5832
4670,0.9132,3500,3061,4352,5169,5546,6423,6216,6773,7551,6112,6343,5622
4578,0.8548,3368,2985,4242,5027,5364,6207,6093,6696,7370,5913,6109,5523
4433,0.8623,3322,2937,4080,4880,5281,6143,5932,6502,7181,5812,5976,5346
4308,0.9162,3256,2864,3989,4752,5162,6014,5703,6344,6996,5645,5792,5227
4209,0.8745,3143,2734,3887,4672,5078,5814,5611,6176,6806,5530,5686,5131
4072,0.9805,3088,2709,3821,4503,4905,5679,5504,6090,6612,5398,5521,4986
4021,0.8305,3004,2671,3696,4458,4795,5555,5345,5931,6476,5296,5371,4851
3873,1,2923,2571,3609,4313,4674,5410,5236,5822,6289,5195,5234,4813
3768,0.9212,2833,2557,3556,4233,4588,5245,5071,5729,6141,5031,5139,4635
3687,0.9307,2776,2480,3471,4105,4536,5126,4980,5552,6023,4957,4984,4497
3623,0.8828,2741,2438,3351,4027,4383,5003,4847,5489,5877,4846,4839,4404
3534,0.9255,2721,2376,3315,3908,4268,4892,4771,5271,5739,4690,4716,4337
3460,0.9227,2634,2385,3242,3791,4185,4808,4663,5192,5571,4581,4612,4221
3414,0.7851,2559,2309,3161,3695,4103,4696,4510,5120,5449,4523,4495,4123
3288,0.9254,2568,2302,3113,3673,3997,4575,4427,5029,5308,4403,4392,4102
3273,0.8114,2502,2257,3065,3544,3999,4436,4397,4892,5210,4358,4328,4001
3167,0.8832,2473,2180,2981,3416,3892,4362,4325,4814,5059,4187,4155,3855
3120,0.8411,2474,2166,2891,3355,3810,4267,4175,4692,4932,4080,4068,3857
3069,0.7581,2407,2138,2846,3332,3738,4199,4083,4559,4859,4030,4004,3770
2957,0.9017,2393,2132,2777,3220,3591,4113,4028,4499,4744,3945,3884,3677
2940,0.8044,2382,2089,2718,3176,3589,4039,3937,4408,4625,3852,3784,3591
2883,0.7865,2339,2082,2645,3055,3547,3895,3817,4303,4524,3767,3716,3549
2805,0.7958,2327,2041,2590,3017,3401,3880,3794,4190,4433,3652,3608,3470
2825,0.6717,2294,2035,2634,2956,3410,3815,3730,4107,4355,3638,3560,3457
2738,0.728,2244,1954,2555,2940,3298,3685,3644,4072,4255,3552,3479,3361
2696,0.7529,2253,1983,2501,2824,3237,3607,3570,3941,4125,3450,3407,3256
2648,0.6415,2268,1942,2415,2768,3177,3491,3508,3870,4005,3371,3309,3208
