intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
5153,0.759,4941,5421,6500,6883,5949,6257,6966,5864,6613,6757,6801,7028
4956,0.8547,4808,5248,6383,6717,5802,6080,6743,5644,6429,6640,6652,6909
4828,0.8183,4652,5130,6204,6539,5716,5990,6552,5502,6279,6421,6529,6722
4670,0.9132,4570,5050,6027,6371,5521,5811,6470,5408,6162,6240,6397,6551
4578,0.8548,4367,4808,5928,6150,5397,5687,6228,5204,6007,6099,6222,6385
4433,0.8623,4297,4732,5761,5985,5261,5568,6040,5122,5864,5937,6086,6210
4308,0.9162,4160,4579,5627,5782,5112,5486,5973,4934,5721,5802,5950,6083
4209,0.8745,4019,4451,5473,5636,4990,5352,5798,4827,5587,5606,5819,5925
4072,0.9805,3978,4321,5354,5532,4945,5207,5602,4707,5456,5473,5710,5789
4021,0.8305,3795,4183,5228,5332,4815,5070,5522,4577,5334,5396,5590,5638
3873,1,3718,4096,5085,5147,4674,4934,5337,4461,5212,5235,5466,5518
3768,0.9212,3635,3962,4945,5072,4579,4871,5214,4357,5038,5109,5300,5316
3687,0.9307,3566,3890,4895,4894,4448,4789,5118,4317,4997,4969,5226,5274
3623,0.8828,3466,3776,4790,4813,4452,4670,4977,4188,4852,4891,5119,5113
3534,0.9255,3367,3702,4680,4718,4302,4556,4885,4065,4708,4723,5044,5059
3460,0.9227,3282,3556,4524,4524,4214,4419,4728,4004,4575,4615,4868,4829
3414,0.7851,3213,3508,4428,4458,4136,4385,4620,3880,4481,4422,4778,4723
3288,0.9254,3153,3420,4355,4334,4061,4288,4474,3809,4379,4400,4682,4621
3273,0.8114,3120,3377,4276,4233,4029,4188,4434,3751,4268,4336,4581,4508
3167,0.8832,3014,3244,4173,4141,3932,4077,4270,3634,4139,4195,4472,4420
3120,0.8411,2961,3117,4035,4049,3777,4036,4177,3493,4023,4058,4307,4247
3069,0.7581,2873,3115,3956,3912,3785,3910,4152,3475,3945,4027,4285,4270
2957,0.9017,2799,3047,3877,3806,3652,3851,4013,3383,3870,3903,4134,4089
2940,0.8044,2769,2958,3744,3741,3526,3780,3879,3303,3770,3836,4061,4040
2883,0.7865,2715,2905,3739,3666,3521,3682,3821,3240,3708,3716,3986,4004
2805,0.7958,2626,2861,3614,3563,3509,3608,3770,3205,3562,3650,3897,3895
2825,0.6717,2629,2789,3580,3503,3391,3562,3651,3108,3493,3663,3847,3807
2738,0.728,2568,2723,3555,3463,3352,3455,3594,3078,3435,3541,3716,3770
2696,0.7529,2510,2707,3419,3311,3292,3374,3558,2928,3392,3427,3612,3653
2648,0.6415,2453,2587,3304,3258,3215,3324,3462,2901,3279,3339,3539,3561
2614,0.6685,2405,2594,3264,3188,3151,3261,3370,2860,3163,3313,3495,3497
2555,0.6626,2352,2487,3180,3112,3149,3176,3316,2792,3078,3205,3437,3462
2533,0.6007,2311,2464,3164,3083,3065,3149,3227,2735,3038,3239,3373,3420
2491,0.5804,2258,2438,3055,3000,3047,3027,3146,2689,3016,3117,3281,3304
2474,0.5792,2237,2349,3072,2935,2929,3003,3094,2629,2969,3059,3212,3304
2413,0.5169,2177,2318,2943,2934,2945,2950,3066,2566,2878,3028,3161,3244
2411,0.3694,2159,2258,2898,2838,2878,2882,3007,2484,2813,2979,3105,3210
2364,0.4867,2120,2251,2845,2770,2836,2812,2943,2498,2769,2900,3075,3127
2301,0.5049,2043,2188,2781,2738,2776,2776,2887,2451,2715,2836,3015,3082
2294,0.4926,2101,2147,2765,2702,2825,2691,2870,2410,2714,2837,2919,2997
2308,0.28,2035,2123,2710,2630,2695,2659,2778,2364,2627,2767,2899,3002
2215,0.388,1978,2122,2631,2604,2655,2610,2734,2329,2615,2737,2816,2915
2208,0.441,1915,2027,2588,2570,2656,2606,2659,2278,2562,2651,2781,2911
2175,0.3791,1939,2006,2537,2508,2573,2516,2633,2230,2487,2596,2717,2817
2169,0.2113,1885,1987,2491,2458,2554,2469,2609,2148,2474,2579,2681,2803
2135,0.3015,1812,1937,2476,2466,2468,2446,2602,2167,2422,2572,2621,2775
2113,0.2331,1840,1942,2363,2394,2459,2446,2518,2125,2341,2466,2548,2687
2083,0.2736,1745,1876,2353,2339,2404,2360,2471,2041,2324,2468,2522,2646
2064,0.1927,1761,1820,2316,2337,2397,2278,2469,2043,2311,2385,2515,2634
2046,0.1583,1738,1842,2263,2328,2371,2272,2394,2030,2223,2376,2419,2566
2013,0.1066,1701,1783,2215,2294,2315,2224,2348,1946,2240,2333,2400,2517
2006,0.0988,1724,1774,2187,2191,2275,2192,2307,1976,2194,2326,2344,2485
1932,0.1476,1656,1770,2133,2177,2201,2155,2288,1951,2181,2290,2303,2459
1964,0.0139,1641,1732,2082,2193,2194,2120,2227,1900,2090,2219,2271,2420
1922,0.0533,1632,1690,2057,2167,2146,2102,2228,1842,2082,2213,2227,2371
1924,0,1617,1705,2022,2120,2131,2060,2168,1825,2061,2171,2189,2326
1864,0.1556,1568,1650,1985,2035,2068,2038,2163,1770,2047,2183,2165,2328
60084,0.1023,,,,,,,,,,,,
57757,0.0788,,,,,,,,,,,,
55771,0.0437,,,,,,,,,,,,
53691,0.0235,,,,,,,,,,,,
51637,0.0113,,,,,,,,,,,,
49609,0.0067,,,,,,,,,,,,
47660,0.0032,,,,,,,,,,,,
45848,0,,,,,,,,,,,,
43911,0.0105,,,,,,,,,,,,
42163,0.0142,,,,,,,,,,,,
40600,0.012,,,,,,,,,,,,
38929,0.0259,,,,,,,,,,,,
37254,0.0442,,,,,,,,,,,,
35812,0.0521,,,,,,,,,,,,
34367,0.0627,,,,,,,,,,,,
32903,0.083,,,,,,,,,,,,
31743,0.0806,,,,,,,,,,,,
30418,0.1042,,,,,,,,,,,,
29145,0.1182,,,,,,,,,,,,
27976,0.1422,,,,,,,,,,,,
27010,0.1426,,,,,,,,,,,,
25830,0.1745,,,,,,,,,,,,
24772,0.1954,,,,,,,,,,,,
23842,0.2102,,,,,,,,,,,,
22814,0.2339,,,,,,,,,,,,
21874,0.2597,,,,,,,,,,,,
21087,0.2662,,,,,,,,,,,,
20171,0.3064,,,,,,,,,,,,
19518,0.3036,,,,,,,,,,,,
18675,0.3307,,,,,,,,,,,,
17818,0.374,,,,,,,,,,,,
17131,0.3964,,,,,,,,,,,,
16369,0.4362,,,,,,,,,,,,
15781,0.4517,,,,,,,,,,,,
15183,0.46,,,,,,,,,,,,
14571,0.4917,,,,,,,,,,,,
14042,0.511,,,,,,,,,,,,
13496,0.5332,,,,,,,,,,,,
13220,0.5003,,,,,,,,,,,,
12367,0.6131,,,,,,,,,,,,
11961,0.6179,,,,,,,,,,,,
11466,0.6452,,,,,,,,,,,,
11011,0.6796,,,,,,,,,,,,
10680,0.6806,,,,,,,,,,,,
10241,0.7153,,,,,,,,,,,,
9824,0.7448,,,,,,,,,,,,
9584,0.7357,,,,,,,,,,,,
9144,0.7767,,,,,,,,,,,,
8885,0.7847,,,,,,,,,,,,
8529,0.8131,,,,,,,,,,,,
8199,0.8422,,,,,,,,,,,,
7993,0.8455,,,,,,,,,,,,
7750,0.8521,,,,,,,,,,,,
7466,0.8671,,,,,,,,,,,,
7248,0.8773,,,,,,,,,,,,
7022,0.8759,,,,,,,,,,,,
6832,0.8818,,,,,,,,,,,,
6590,0.9121,,,,,,,,,,,,
6386,0.9269,,,,,,,,,,,,
6182,0.9436,,,,,,,,,,,,
6020,0.9383,,,,,,,,,,,,
5865,0.9398,,,,,,,,,,,,
5675,0.9479,,,,,,,,,,,,
