690,750,800,850,ua,690n,750n,800n,850n,690i,750i,800i,850i,uaa,690ni,750ni,800ni,850ni
8891,8671,8488,8541,0.4762,9195,11403,11965,11200,3483,5179,5314,3882,0.7154,6559,8088,8628,7395
8503,8374,8323,8245,0.5691,8871,11340,11670,10905,3592,5397,5436,3994,0.6626,6536,8256,8755,7677
8299,8110,8021,7976,0.4988,8700,10876,11497,10637,3728,5514,5634,4088,0.4952,6809,8395,8853,7796
8025,7814,7752,7742,0.5476,8473,10710,11093,10278,3823,5726,5776,4204,0.5717,6858,8640,9154,7912
7765,7577,7474,7496,0.5595,8253,10337,10837,10120,3950,5885,6004,4310,0.4977,7119,8834,9254,8254
7517,7295,7242,7262,0.5498,8059,10136,10538,9756,4055,6079,6204,4412,0.4356,7196,8947,9512,8420
7276,7086,7051,6989,0.5866,8015,9971,10325,9616,4176,6256,6338,4588,0.4493,7453,9200,9797,8544
7054,6857,6791,6798,0.5755,7667,9600,10064,9307,4263,6467,6548,4670,0.4547,7468,9462,9926,8661
6876,6660,6616,6611,0.5767,7492,9354,9845,9082,4407,6767,6736,4849,0.4525,7786,9663,10281,8805
6643,6369,6450,6337,0.5667,7393,9108,9543,8789,4523,6883,6936,5002,0.3742,7908,9854,10411,9105
6415,6181,6228,6162,0.64,7161,9005,9367,8654,4618,7061,7135,5091,0.4865,8009,10110,10735,9282
6218,5996,6023,5919,0.6125,7093,8722,9166,8305,4745,7308,7426,5263,0.4143,8262,10353,10941,9580
5942,5789,5813,5776,0.7416,6921,8403,8973,8338,4914,7555,7609,5397,0.3817,8470,10631,11196,9747
5837,5643,5658,5537,0.673,6705,8298,8863,8047,5122,7828,7876,5514,0.2698,8592,10935,11668,9935
5589,5429,5410,5410,0.7955,6523,8137,8579,7901,5185,8058,8126,5753,0.4303,8910,11032,11901,10279
5450,5278,5269,5244,0.7686,6375,7933,8360,7728,5390,8307,8414,5883,0.3291,9028,11394,12232,10503
5326,5105,5137,5072,0.7487,6360,7863,8232,7591,5511,8565,8660,6100,0.3948,9241,11778,12448,10850
5153,4932,5017,4934,0.759,6190,7672,8071,7462,5660,8838,8927,6273,0.3799,9499,12116,12621,10960
4956,4802,4831,4814,0.8547,6059,7413,7880,7222,5822,9174,9224,6448,0.4073,9750,12329,13031,11325
4828,4669,4674,4641,0.8183,5981,7277,7763,7057,6031,9453,9531,6696,0.3232,9856,12601,13474,11684
4670,4512,4541,4524,0.9132,5832,7144,7554,6970,6189,9786,9866,6851,0.407,10256,13006,13838,11995
4578,4403,4464,4387,0.8548,5700,6975,7383,6735,6380,10120,10133,7025,0.3867,10487,13205,14117,12245
4433,4248,4273,4297,0.8623,5577,6888,7253,6656,6621,10402,10453,7361,0.2974,10812,13695,14494,12558
4308,4141,4199,4142,0.9162,5462,6705,7088,6475,6846,10851,10814,7515,0.3023,11088,13946,14926,13008
4209,4003,4091,4052,0.8745,5442,6738,6954,6342,7008,11127,11151,7783,0.3449,11344,14353,15270,13334
4072,3890,3981,3889,0.9805,5244,6430,6742,6208,7234,11563,11563,8067,0.3806,11618,14847,15728,13655
4021,3793,3860,3804,0.8305,5251,6402,6684,6158,7471,11957,11910,8352,0.3215,11940,15364,16279,13889
3873,3693,3762,3733,1,5096,6186,6532,6008,7703,12369,12369,8660,0.3909,12393,15564,16638,14458
3768,3595,3645,3592,0.9212,5053,6130,6460,5932,7892,12723,12768,8856,0.3943,12646,16031,17090,14810
3687,3564,3612,3573,0.9307,4988,5862,6288,5755,8240,13264,13214,9195,0.3127,13103,16512,17633,15268
3623,3446,3523,3497,0.8828,4881,5908,6223,5699,8490,13798,13683,9514,0.3336,13419,17012,17986,15744
3534,3392,3443,3391,0.9255,4778,5856,6025,5574,8732,14183,14189,9824,0.3977,13826,17607,18691,16187
3460,3273,3317,3333,0.9227,4819,5709,5997,5506,8979,14662,14603,10210,0.4533,14194,18048,19042,16650
3414,3187,3267,3236,0.7851,4663,5601,5800,5337,9333,15186,15071,10483,0.3647,14779,18561,19855,17088
3288,3159,3169,3154,0.9254,4578,5418,5763,5361,9705,15804,15722,10931,0.3376,15062,19019,20194,17612
3273,3086,3175,3132,0.8114,4511,5360,5566,5262,10047,16409,16199,11314,0.3339,15465,19667,20799,18196
3167,2996,3077,3034,0.8832,4403,5252,5649,5098,10365,16932,16793,11661,0.3656,15907,20168,21489,18695
3120,2947,3002,3002,0.8411,4335,5123,5430,4988,10723,17468,17294,12068,0.3745,16387,20745,22124,19236
