ir,ia,iir,iia,i-lookup-690r,ii-lookup-690r,ir-690-r-test,iir-690-r-test,ir-750-c-test,iir-750-c-test,ir-800-l-test,iir-800-l-test,,iknee-a-690-test,iiknee-a-690-test,iknee-n-690-test,iiknee-n-690-test,,iknee-a-750-test,iiknee-a-750-test,iknee-n-750-test,iiknee-n-750-test,,iknee-a-690-lookup,iiknee-a-690-lookup
2.33E+03,0.79531,8962,0.077544,,,,,,,,,,,,,,,,,,,,,
2.25E+03,0.81103,9309,0.055933,,,,,,,,,,,,,,,,,,,,,
2.26E+03,0.67032,9653,0.044764,,,,,,,,,,,,,,,,,,,,,
2.19E+03,0.66869,9876,0.11334,,,,,,,,,,,,,,,,,,,,,
2.09E+03,0.72596,10212,0.12178,,,,,,,,,,,,,,,,,,,,,
2.07E+03,0.64469,10747,0.025717,,,,,,,,,,,,,,,,,,,,,
1.98E+03,0.6928,11128,0.027263,,,,,,,,,,,,,,,,,,,,,
1.97E+03,0.61219,11448,0.070072,,,,,,,,,,,,,,,,,,,,,
1.85E+03,0.72725,11735,0.13816,,,,,,,,,,,,,,,,,,,,,
1.81E+03,0.69099,12195,0.12235,,,,,,,,,,,,,,,,,,,,,
1.77E+03,0.65941,12676,0.10605,,,,,,,,,,,,,,,,,,,,,
1.73E+03,0.64725,13056,0.15068,,,,,,,,,,,,,,,,,,,,,
1.75E+03,0.48039,13566,0.13972,,,,,,,,,,,,,,,,,,,,,
1.67E+03,0.54233,14043,0.15541,,,,,,,,,,,,,,,,,,,,,
1.61E+03,0.57927,14622,0.13319,,,,,,,,,,,,,,,,,,,,,
1.56E+03,0.57019,5.91E+02,0.050818,,,,,,,,,,,,,,,,,,,,,
1.53E+03,0.54151,6.21E+02,0,,,,,,,,,,,,,,,,,,,,,
1.50E+03,0.51065,6.17E+02,0.075425,,,,,,,,,,,,,,,,,,,,,
1.47E+03,0.47287,6.12E+02,0.15672,,,,,,,,,,,,,,,,,,,,,
1.43E+03,0.46505,6.40E+02,0.11632,,,,,,,,,,,,,,,,,,,,,
1.37E+03,0.51306,6.84E+02,0.025423,,,,,,,,,,,,,,,,,,,,,
1.38E+03,0.41223,6.23E+02,0.31112,,,,,,,,,,,,,,,,,,,,,
1.34E+03,0.39755,6.65E+02,0.22108,,,,,,,,,,,,,,,,,,,,,
1.31E+03,0.38778,6.46E+02,0.35985,,,,,,,,,,,,,,,,,,,,,
1.31E+03,0.28937,7.35E+02,0.11385,,,,,,,,,,,,,,,,,,,,,
1.32E+03,0.17009,7.34E+02,0.18432,,,,,,,,,,,,,,,,,,,,,
1.26E+03,0.24677,7.41E+02,0.22976,,,,,,,,,,,,,,,,,,,,,
1.20E+03,0.30374,7.63E+02,0.22695,,,,,,,,,,,,,,,,,,,,,
1.19E+03,0.2482,8.03E+02,0.16981,,,,,,,,,,,,,,,,,,,,,
1.15E+03,0.27028,8.19E+02,0.19079,,,,,,,,,,,,,,,,,,,,,
1.12E+03,0.25801,7.93E+02,0.34525,,,,,,,,,,,,,,,,,,,,,
1.06E+03,0.33484,8.72E+02,0.17512,,,,,,,,,,,,,,,,,,,,,
1.03E+03,0.35188,8.65E+02,0.26877,,,,,,,,,,,,,,,,,,,,,
1.09E+03,0.10414,8.88E+02,0.2751,,,,,,,,,,,,,,,,,,,,,
1.03E+03,0.17054,9.22E+02,0.25196,,,,,,,,,,,,,,,,,,,,,
9.93E+02,0.20307,9.22E+02,0.32829,,,,,,,,,,,,,,,,,,,,,
9.96E+02,0.11581,9.55E+02,0.31189,,,,,,,,,,,,,,,,,,,,,
9.68E+02,0.11994,9.81E+02,0.31791,,,,,,,,,,,,,,,,,,,,,
9.32E+02,0.15077,9.95E+02,0.35886,,,,,,,,,,,,,,,,,,,,,
9.28E+02,0.087039,1.02E+03,0.36602,,,,,,,,,,,,,,,,,,,,,
9.16E+02,0.048843,1.03E+03,0.43737,,,,,,,,,,,,,,,,,,,,,
8.87E+02,0.064024,1.11E+03,0.29532,,,,,,,,,,,,,,,,,,,,,
8.72E+02,0.037913,1.05E+03,0.54173,,,,,,,,,,,,,,,,,,,,,
2.19E+04,0.13152,1.17E+03,0.32792,,,,,,,,,,,,,,,,,,,,,
2.11E+04,0.14532,1.17E+03,0.40313,,,,,,,,,,,,,,,,,,,,,
2.03E+04,0.15442,1.21E+03,0.395,,,,,,,,,,,,,,,,,,,,,
1.96E+04,0.14222,1.22E+03,0.45407,,,,,,,,,,,,,,,,,,,,,
1.88E+04,0.1644,1.28E+03,0.4157,,,,,,,,,,,,,,,,,,,,,
1.84E+04,0.10034,1.21E+03,0.65978,,,,,,,,,,,,,,,,,,,,,
17623,0.13247,1.36E+03,0.40846,,,,,,,,,,,,,,,,,,,,,
17092,0.10677,1.33E+03,0.57147,,,,,,,,,,,,,,,,,,,,,
16554,0.09017,1.38E+03,0.54159,,,,,,,,,,,,,,,,,,,,,
16272,0,1.45E+03,0.48864,,,,,,,,,,,,,,,,,,,,,
15239,0.15684,1.51E+03,0.46901,,,,,,,,,,,,,,,,,,,,,
14729,0.15368,1.51E+03,0.54781,,,,,,,,,,,,,,,,,,,,,
14295,0.13113,1.52E+03,0.63332,,,,,,,,,,,,,,,,,,,,,
13779,0.14369,1.60E+03,0.57566,,,,,,,,,,,,,,,,,,,,,
13378,0.12198,1.64E+03,0.58991,,,,,,,,,,,,,,,,,,,,,
12916,0.12849,1.62E+03,0.75003,,,,,,,,,,,,,,,,,,,,,
1.25E+04,0.13989,1.65E+03,0.77815,,,,,,,,,,,,,,,,,,,,,
1.21E+04,0.12646,1.75E+03,0.69823,,,,,,,,,,,,,,,,,,,,,
1.16E+04,0.14584,1.82E+03,0.67066,,,,,,,,,,,,,,,,,,,,,
1.14E+04,0.092209,1.88E+03,0.68119,,,,,,,,,,,,,,,,,,,,,
1.10E+04,0.10707,1.89E+03,0.77006,,,,,,,,,,,,,,,,,,,,,
1.06E+04,0.11169,1.99E+03,0.70546,,,,,,,,,,,,,,,,,,,,,
1.03E+04,0.094906,2.04E+03,0.73152,,,,,,,,,,,,,,,,,,,,,
9.91E+03,0.13588,2.08E+03,0.76936,,,,,,,,,,,,,,,,,,,,,
9.65E+03,0.11143,2.14E+03,0.79149,,,,,,,,,,,,,,,,,,,,,
9.30E+03,0.13166,2.24E+03,0.75429,,,,,,,,,,,,,,,,,,,,,
9.13E+03,0.0738,2.28E+03,0.80847,,,,,,,,,,,,,,,,,,,,,
8.73E+03,0.13185,2.41E+03,0.73127,,,,,,,,,,,,,,,,,,,,,
8.52E+03,0.099548,2.42E+03,0.83846,,,,,,,,,,,,,,,,,,,,,
8.22E+03,0.11743,2.53E+03,0.78876,,,,,,,,,,,,,,,,,,,,,
8.01E+03,0.095611,2.59E+03,0.82735,,,,,,,,,,,,,,,,,,,,,
7.78E+03,0.088237,2.70E+03,0.79832,,,,,,,,,,,,,,,,,,,,,
7.43E+03,0.15,2.81E+03,0.78412,,,,,,,,,,,,,,,,,,,,,
7.37E+03,0.061326,2.81E+03,0.91714,,,,,,,,,,,,,,,,,,,,,
7.03E+03,0.12339,2.94E+03,0.87316,,,,,,,,,,,,,,,,,,,,,
6.79E+03,0.1429,3.02E+03,0.90908,,,,,,,,,,,,,,,,,,,,,
6.58E+03,0.14679,3.11E+03,0.92382,,,,,,,,,,,,,,,,,,,,,
6.42E+03,0.12567,3.26E+03,0.88427,,,,,,,,,,,,,,,,,,,,,
6.16E+03,0.16387,3.38E+03,0.87974,,,,,,,,,,,,,,,,,,,,,
5.96E+03,0.17903,3.43E+03,0.95943,,,,,,,,,,,,,,,,,,,,,
5.85E+03,0.13531,3.59E+03,0.92009,,,,,,,,,,,,,,,,,,,,,
5.59E+03,0.19281,3.69E+03,0.95655,,,,,,,,,,,,,,,,,,,,,
5.45E+03,0.17909,3.81E+03,0.97684,,,,,,,,,,,,,,,,,,,,,
5.26E+03,0.19814,4.01E+03,0.9008,,,,,,,,,,,,,,,,,,,,,
5.16E+03,0.1646,4.15E+03,0.90849,,,,,,,,,,,,,,,,,,,,,
4.94E+03,0.20959,4.27E+03,0.95068,,,,,,,,,,,,,,,,,,,,,
4.79E+03,0.21416,4.38E+03,1,,,,,,,,,,,,,,,,,,,,,
4.57E+03,0.2779,4.57E+03,0.96914,,,,,,,,,,,,,,,,,,,,,
4.53E+03,0.21169,4.71E+03,0.99925,,,,,,,,,,,,,,,,,,,,,
4.35E+03,0.24483,4.99E+03,0.89963,,,,,,,,,,,,,,,,,,,,,
4.24E+03,0.24077,5.13E+03,0.94962,,,,,,,,,,,,,,,,,,,,,
4.14E+03,0.22286,5.35E+03,0.92219,,,,,,,,,,,,,,,,,,,,,
3.96E+03,0.27354,5.54E+03,0.93342,,,,,,,,,,,,,,,,,,,,,
3.86E+03,0.26341,5.81E+03,0.8885,,,,,,,,,,,,,,,,,,,,,
3.69E+03,0.31561,5.99E+03,0.92475,,,,,,,,,,,,,,,,,,,,,
3.59E+03,0.31475,6.25E+03,0.90398,,,,,,,,,,,,,,,,,,,,,
3.43E+03,0.37123,6.54E+03,0.86272,,,,,,,,,,,,,,,,,,,,,
3.43E+03,0.27722,6.73E+03,0.91228,,,,,,,,,,,,,,,,,,,,,
3.24E+03,0.36968,7.01E+03,0.90232,,,,,,,,,,,,,,,,,,,,,
3.18E+03,0.34132,7.35E+03,0.85321,,,,,,,,,,,,,,,,,,,,,
3.11E+03,0.32106,7.66E+03,0.83718,,,,,,,,,,,,,,,,,,,,,
2.94E+03,0.41117,8.12E+03,0.73587,,,,,,,,,,,,,,,,,,,,,
2.89E+03,0.37081,8.28E+03,0.83836,,,,,,,,,,,,,,,,,,,,,
2.79E+03,0.39202,8.65E+03,0.81518,,,,,,,,,,,,,,,,,,,,,
2.63E+03,0.49577,9.14E+03,0.72888,,,,,,,,,,,,,,,,,,,,,
2.62E+03,0.4159,9.46E+03,0.75935,,,,,,,,,,,,,,,,,,,,,
2.52E+03,0.45673,9.86E+03,0.7485,,,,,,,,,,,,,,,,,,,,,
2.43E+03,0.48405,1.03E+04,0.74878,,,,,,,,,,,,,,,,,,,,,
2.38E+03,0.4596,1.07E+04,0.71525,,,,,,,,,,,,,,,,,,,,,
2.35E+03,0.41436,1.13E+04,0.64009,,,,,,,,,,,,,,,,,,,,,
2216,0.50512,1.18E+04,0.61587,,,,,,,,,,,,,,,,,,,,,
2193,0.45508,1.23E+04,0.62857,,,,,,,,,,,,,,,,,,,,,
2048,0.57489,1.29E+04,0.61098,,,,,,,,,,,,,,,,,,,,,
1976,0.59896,1.33E+04,0.63847,,,,,,,,,,,,,,,,,,,,,
1918,0.60552,1.41E+04,0.56575,,,,,,,,,,,,,,,,,,,,,
1842,0.64305,1.46E+04,0.59735,,,,,,,,,,,,,,,,,,,,,
1.83E+03,0.58448,1.53E+04,0.57267,,,,,,,,,,,,,,,,,,,,,
1.77E+03,0.59859,1.61E+04,0.51023,,,,,,,,,,,,,,,,,,,,,
1.65E+03,0.72609,1.68E+04,0.47977,,,,,,,,,,,,,,,,,,,,,
1.66E+03,0.62942,1.77E+04,0.43945,,,,,,,,,,,,,,,,,,,,,
1.63E+03,0.60633,1.84E+04,0.45057,,,,,,,,,,,,,,,,,,,,,
1.55E+03,0.67129,1.91E+04,0.49045,,,,,,,,,,,,,,,,,,,,,
1.55E+03,0.59129,2.02E+04,0.42197,,,,,,,,,,,,,,,,,,,,,
1.45E+03,0.7005,9.45E+02,0.22231,,,,,,,,,,,,,,,,,,,,,
1.45E+03,0.62488,1.02E+03,0,,,,,,,,,,,,,,,,,,,,,
1.36E+03,0.72997,9.95E+02,0.23479,,,,,,,,,,,,,,,,,,,,,
1.36E+03,0.6591,1.06E+03,0.063534,,,,,,,,,,,,,,,,,,,,,
1.26E+03,0.79103,1.02E+03,0.39114,,,,,,,,,,,,,,,,,,,,,
1.21E+03,0.82094,1.05E+03,0.37576,,,,,,,,,,,,,,,,,,,,,
1.14E+03,0.92328,1.06E+03,0.42892,,,,,,,,,,,,,,,,,,,,,
1.17E+03,0.77805,1.12E+03,0.31271,,,,,,,,,,,,,,,,,,,,,
1.08E+03,0.90823,1.15E+03,0.31496,,,,,,,,,,,,,,,,,,,,,
1.10E+03,0.80017,1.17E+03,0.39633,,,,,,,,,,,,,,,,,,,,,
1.05E+03,0.85508,1.20E+03,0.40844,,,,,,,,,,,,,,,,,,,,,
9.65E+02,1,1.26E+03,0.29092,,,,,,,,,,,,,,,,,,,,,
9.74E+02,0.90437,1.25E+03,0.4737,,,,,,,,,,,,,,,,,,,,,
9.68E+02,0.85114,1.26E+03,0.55675,,,,,,,,,,,,,,,,,,,,,
9.06E+02,0.95364,1.28E+03,0.63083,,,,,,,,,,,,,,,,,,,,,
8.98E+02,0.90766,1.32E+03,0.61647,,,,,,,,,,,,,,,,,,,,,
28852,0.31617,1.41E+03,0.43551,,,,,,,,,,,,,,,,,,,,,
27730,0.28822,1.44E+03,0.46217,,,,,,,,,,,,,,,,,,,,,
26702,0.24415,1.42E+03,0.68031,,,,,,,,,,,,,,,,,,,,,
25564,0.26505,1.46E+03,0.69724,,,,,,,,,,,,,,,,,,,,,
24699,0.19391,1.51E+03,0.67354,,,,,,,,,,,,,,,,,,,,,
23724,0.18721,1.54E+03,0.72601,,,,,,,,,,,,,,,,,,,,,
22793,0.18096,1.57E+03,0.75829,,,,,,,,,,,,,,,,,,,,,
21910,0.17234,1.62E+03,0.7452,,,,,,,,,,,,,,,,,,,,,
21032,0.17994,1.68E+03,0.72809,,,,,,,,,,,,,,,,,,,,,
20383,0.098501,1.74E+03,0.67983,,,,,,,,,,,,,,,,,,,,,
19549,0.11986,1.77E+03,0.74722,,,,,,,,,,,,,,,,,,,,,
18747,0.14398,1.83E+03,0.75183,,,,,,,,,,,,,,,,,,,,,
18170,0.07243,1.91E+03,0.66901,,,,,,,,,,,,,,,,,,,,,
17443,0.091217,1.93E+03,0.76726,,,,,,,,,,,,,,,,,,,,,
16763,0.10207,1.91E+03,1,,,,,,,,,,,,,,,,,,,,,
16136,0.10021,2.06E+03,0.75028,,,,,,,,,,,,,,,,,,,,,
15543,0.094437,2.09E+03,0.84471,,,,,,,,,,,,,,,,,,,,,
15132,0,2.14E+03,0.86442,,,,,,,,,,,,,,,,,,,,,
14358,0.12617,2.23E+03,0.80571,,,,,,,,,,,,,,,,,,,,,
13991,0.029507,2.27E+03,0.89535,,,,,,,,,,,,,,,,,,,,,
13272,0.15796,2.40E+03,0.75115,,,,,,,,,,,,,,,,,,,,,
12863,0.11035,2.43E+03,0.85833,,,,,,,,,,,,,,,,,,,,,
12347,0.14312,2.57E+03,0.70387,,,,,,,,,,,,,,,,,,,,,
11844,0.18192,2.58E+03,0.86693,,,,,,,,,,,,,,,,,,,,,
11461,0.15262,2.69E+03,0.79071,,,,,,,,,,,,,,,,,,,,,
1.10E+04,0.19702,2.81E+03,0.72527,,,,,,,,,,,,,,,,,,,,,
1.07E+04,0.11899,2.83E+03,0.87456,,,,,,,,,,,,,,,,,,,,,
1.03E+04,0.13524,2.93E+03,0.8449,,,,,,,,,,,,,,,,,,,,,
9.81E+03,0.24106,3.05E+03,0.78842,,,,,,,,,,,,,,,,,,,,,
9.49E+03,0.21941,3.21E+03,0.66526,,,,,,,,,,,,,,,,,,,,,
9.18E+03,0.20296,3.32E+03,0.64706,,,,,,,,,,,,,,,,,,,,,
8.89E+03,0.17521,3.41E+03,0.6772,,,,,,,,,,,,,,,,,,,,,
8.54E+03,0.2121,3.52E+03,0.6893,,,,,,,,,,,,,,,,,,,,,
8.20E+03,0.24933,3.69E+03,0.58605,,,,,,,,,,,,,,,,,,,,,
7.89E+03,0.2747,3.81E+03,0.57387,,,,,,,,,,,,,,,,,,,,,
7.53E+03,0.36279,3.90E+03,0.63447,,,,,,,,,,,,,,,,,,,,,
7.36E+03,0.27677,4.07E+03,0.57061,,,,,,,,,,,,,,,,,,,,,
7.09E+03,0.30126,4.17E+03,0.61898,,,,,,,,,,,,,,,,,,,,,
6.78E+03,0.36774,4.36E+03,0.54065,,,,,,,,,,,,,,,,,,,,,
6.51E+03,0.41453,4.48E+03,0.57482,,,,,,,,,,,,,,,,,,,,,
6.30E+03,0.40046,4.70E+03,0.46136,,,,,,,,,,,,,,,,,,,,,
6.09E+03,0.40348,4.81E+03,0.53187,,,,,,,,,,,,,,,,,,,,,
5.85E+03,0.44589,5.04E+03,0.431,,,,,,,,,,,,,,,,,,,,,
5.64E+03,0.45774,5.26E+03,0.35235,,,,,,,,,,,,,,,,,,,,,
5.52E+03,0.38092,5.37E+03,0.43455,,,,,,,,,,,,,,,,,,,,,
5.26E+03,0.47159,5.60E+03,0.37148,,,,,,,,,,,,,,,,,,,,,
5.10E+03,0.46109,5.76E+03,0.40769,,,,,,,,,,,,,,,,,,,,,
4.87E+03,0.53928,6.01E+03,0.3469,,,,,,,,,,,,,,,,,,,,,
4.71E+03,0.53567,6.17E+03,0.39178,,,,,,,,,,,,,,,,,,,,,
4.45E+03,0.6923,6.50E+03,0.25274,,,,,,,,,,,,,,,,,,,,,
4.31E+03,0.67542,6.67E+03,0.3132,,,,,,,,,,,,,,,,,,,,,
4.17E+03,0.67587,6.93E+03,0.27202,,,,,,,,,,,,,,,,,,,,,
4.07E+03,0.62098,7.16E+03,0.27783,,,,,,,,,,,,,,,,,,,,,
3.87E+03,0.72672,7.46E+03,0.22723,,,,,,,,,,,,,,,,,,,,,
3.74E+03,0.74075,7.69E+03,0.24642,,,,,,,,,,,,,,,,,,,,,
3.57E+03,0.82293,7.98E+03,0.22481,,,,,,,,,,,,,,,,,,,,,
3.50E+03,0.73932,8.26E+03,0.2189,,,,,,,,,,,,,,,,,,,,,
3.33E+03,0.83857,8.59E+03,0.18002,,,,,,,,,,,,,,,,,,,,,
3.23E+03,0.82254,8.89E+03,0.18202,,,,,,,,,,,,,,,,,,,,,
3.14E+03,0.79988,9.17E+03,0.21202,,,,,,,,,,,,,,,,,,,,,
3.00E+03,0.88352,9.51E+03,0.19639,,,,,,,,,,,,,,,,,,,,,
2.92E+03,0.85135,9.85E+03,0.19664,,,,,,,,,,,,,,,,,,,,,
2.77E+03,0.96576,1.02E+04,0.19415,,,,,,,,,,,,,,,,,,,,,
2.71E+03,0.90744,1.06E+04,0.18403,,,,,,,,,,,,,,,,,,,,,
2.66E+03,0.82857,1.10E+04,0.1775,,,,,,,,,,,,,,,,,,,,,
2.58E+03,0.83401,1.14E+04,0.16876,,,,,,,,,,,,,,,,,,,,,
2.48E+03,0.87457,1.18E+04,0.13718,,,,,,,,,,,,,,,,,,,,,
2.35E+03,1,1.23E+04,0.13751,,,,,,,,,,,,,,,,,,,,,
2.34E+03,0.85374,1.27E+04,0.12177,,,,,,,,,,,,,,,,,,,,,
2.21E+03,0.96997,1.32E+04,0.10951,,,,,,,,,,,,,,,,,,,,,
2.22E+03,0.79332,1.36E+04,0.16385,,,,,,,,,,,,,,,,,,,,,
2.12E+03,0.86903,1.41E+04,0.16464,,,,,,,,,,,,,,,,,,,,,
2.04E+03,0.89924,1.48E+04,0.10234,,,,,,,,,,,,,,,,,,,,,
2.04E+03,0.74129,1.52E+04,0.15217,,,,,,,,,,,,,,,,,,,,,
1.92E+03,0.90127,1.58E+04,0.14278,,,,,,,,,,,,,,,,,,,,,
1.88E+03,0.8373,1.63E+04,0.20476,,,,,,,,,,,,,,,,,,,,,
1.79E+03,0.93758,1.71E+04,0.15203,,,,,,,,,,,,,,,,,,,,,
1.79E+03,0.79419,1.76E+04,0.20719,,,,,,,,,,,,,,,,,,,,,
1.70E+03,0.89616,1.83E+04,0.2018,,,,,,,,,,,,,,,,,,,,,
1.72E+03,0.68837,1.90E+04,0.21716,,,,,,,,,,,,,,,,,,,,,
1.60E+03,0.89394,957,1,,,,,,,,,,,,,,,,,,,,,
1.59E+03,0.75848,1042,0.77868,,,,,,,,,,,,,,,,,,,,,
1.53E+03,0.81041,1077,0.75452,,,,,,,,,,,,,,,,,,,,,
1.54E+03,0.63347,1119,0.71051,,,,,,,,,,,,,,,,,,,,,
1.53E+03,0.52501,1154,0.69476,,,,,,,,,,,,,,,,,,,,,
1.41E+03,0.76035,1149,0.81468,,,,,,,,,,,,,,,,,,,,,
1.37E+03,0.77212,1198,0.75707,,,,,,,,,,,,,,,,,,,,,
1.38E+03,0.58204,1231,0.75619,,,,,,,,,,,,,,,,,,,,,
1.36E+03,0.53488,1272,0.73356,,,,,,,,,,,,,,,,,,,,,
1.27E+03,0.70144,1317,0.70304,,,,,,,,,,,,,,,,,,,,,
1.29E+03,0.50699,1328,0.77777,,,,,,,,,,,,,,,,,,,,,
1.23E+03,0.56768,1372,0.75628,,,,,,,,,,,,,,,,,,,,,
1.25E+03,0.38802,1396,0.79661,,,,,,,,,,,,,,,,,,,,,
1.24E+03,0.30271,1463,0.71732,,,,,,,,,,,,,,,,,,,,,
1.15E+03,0.48107,1495,0.74077,,,,,,,,,,,,,,,,,,,,,
1.12E+03,0.47079,1587,0.60847,,,,,,,,,,,,,,,,,,,,,
1.14E+03,0.27955,1646,0.57083,,,,,,,,,,,,,,,,,,,,,
1.05E+03,0.50054,1671,0.62148,,,,,,,,,,,,,,,,,,,,,
1.06E+03,0.34987,1742,0.56274,,,,,,,,,,,,,,,,,,,,,
1.05E+03,0.29613,1749,0.6612,,,,,,,,,,,,,,,,,,,,,
1.01E+03,0.34056,1817,0.61699,,,,,,,,,,,,,,,,,,,,,
9.84E+02,0.31623,1868,0.61713,,,,,,,,,,,,,,,,,,,,,
1.00E+03,0.1319,1916,0.62752,,,,,,,,,,,,,,,,,,,,,
9.60E+02,0.19188,1921,0.73747,,,,,,,,,,,,,,,,,,,,,
9.65E+02,0.063294,2100,0.47238,,,,,,,,,,,,,,,,,,,,,
9.23E+02,0.12963,2110,0.57258,,,,,,,,,,,,,,,,,,,,,
9.06E+02,0.095499,2244,0.42591,,,,,,,,,,,,,,,,,,,,,
8.60E+02,0.19077,2247,0.54267,,,,,,,,,,,,,,,,,,,,,
8.39E+02,0.18045,2340,0.48751,,,,,,,,,,,,,,,,,,,,,
35125,0.40948,2477,0.35974,,,,,,,,,,,,,,,,,,,,,
33761,0.3777,2524,0.40082,,,,,,,,,,,,,,,,,,,,,
32291,0.38459,2582,0.42538,,,,,,,,,,,,,,,,,,,,,
31055,0.35484,2668,0.40508,,,,,,,,,,,,,,,,,,,,,
29739,0.35785,2742,0.40962,,,,,,,,,,,,,,,,,,,,,
28494,0.35924,2905,0.27525,,,,,,,,,,,,,,,,,,,,,
27297,0.36364,2955,0.32703,,,,,,,,,,,,,,,,,,,,,
26296,0.33318,3084,0.26097,,,,,,,,,,,,,,,,,,,,,
25010,0.3887,3181,0.24932,,,,,,,,,,,,,,,,,,,,,
24000,0.3872,3325,0.17571,,,,,,,,,,,,,,,,,,,,,
22959,0.4073,3384,0.22719,,,,,,,,,,,,,,,,,,,,,
22065,0.39963,3453,0.26785,,,,,,,,,,,,,,,,,,,,,
21114,0.42058,3580,0.23294,,,,,,,,,,,,,,,,,,,,,
20280,0.4197,3672,0.2501,,,,,,,,,,,,,,,,,,,,,
1.93E+04,0.47125,3833,0.18238,,,,,,,,,,,,,,,,,,,,,
1.85E+04,0.4856,3927,0.20596,,,,,,,,,,,,,,,,,,,,,
1.78E+04,0.49585,4089,0.15026,,,,,,,,,,,,,,,,,,,,,
1.70E+04,0.5239,4174,0.1932,,,,,,,,,,,,,,,,,,,,,
1.63E+04,0.54612,4356,0.12625,,,,,,,,,,,,,,,,,,,,,
1.56E+04,0.54893,4466,0.1486,,,,,,,,,,,,,,,,,,,,,
1.49E+04,0.5911,4622,0.12394,,,,,,,,,,,,,,,,,,,,,
1.44E+04,0.58164,4829,0.050905,,,,,,,,,,,,,,,,,,,,,
1.37E+04,0.64224,4872,0.15818,,,,,,,,,,,,,,,,,,,,,
1.32E+04,0.63981,5071,0.10482,,,,,,,,,,,,,,,,,,,,,
1.26E+04,0.67059,5218,0.11173,,,,,,,,,,,,,,,,,,,,,
1.22E+04,0.63535,5403,0.086032,,,,,,,,,,,,,,,,,,,,,
1.15E+04,0.73274,5569,0.085114,,,,,,,,,,,,,,,,,,,,,
1.11E+04,0.75023,5708,0.11528,,,,,,,,,,,,,,,,,,,,,
1.07E+04,0.74061,5915,0.086583,,,,,,,,,,,,,,,,,,,,,
1.02E+04,0.76397,6096,0.088354,,,,,,,,,,,,,,,,,,,,,
9.81E+03,0.78842,6324,0.054212,,,,,,,,,,,,,,,,,,,,,
9.41E+03,0.81041,6547,0.0318,,,,,,,,,,,,,,,,,,,,,
8.98E+03,0.86074,6752,0.031354,,,,,,,,,,,,,,,,,,,,,
8.69E+03,0.83839,6938,0.052591,,,,,,,,,,,,,,,,,,,,,
8.33E+03,0.8653,7183,0.03151,,,,,,,,,,,,,,,,,,,,,
7.97E+03,0.90344,7395,0.043595,,,,,,,,,,,,,,,,,,,,,
7.67E+03,0.90836,7636,0.039155,,,,,,,,,,,,,,,,,,,,,
7.44E+03,0.88263,7872,0.045189,,,,,,,,,,,,,,,,,,,,,
7.05E+03,0.96036,8077,0.08077,,,,,,,,,,,,,,,,,,,,,
6.83E+03,0.93869,8268,0.13244,,,,,,,,,,,,,,,,,,,,,
6.60E+03,0.9293,8569,0.10944,,,,,,,,,,,,,,,,,,,,,
6.31E+03,0.97304,9006,0,,,,,,,,,,,,,,,,,,,,,
6.15E+03,0.92771,9161,0.094667,,,,,,,,,,,,,,,,,,,,,
5.91E+03,0.94256,9523,0.054419,,,,,,,,,,,,,,,,,,,,,
5.64E+03,0.99297,9771,0.098344,,,,,,,,,,,,,,,,,,,,,
5.47E+03,0.97068,10053,0.1265,,,,,,,,,,,,,,,,,,,,,
5.32E+03,0.94468,10394,0.12394,,,,,,,,,,,,,,,,,,,,,
5.12E+03,0.95867,10758,0.11531,,,,,,,,,,,,,,,,,,,,,
4.92E+03,0.97346,11055,0.15629,,,,,,,,,,,,,,,,,,,,,
4.79E+03,0.9385,11387,0.18331,,,,,,,,,,,,,,,,,,,,,
4.60E+03,0.96984,11772,0.1867,,,,,,,,,,,,,,,,,,,,,
4.45E+03,0.96219,12163,0.19547,,,,,,,,,,,,,,,,,,,,,
4.33E+03,0.93516,12564,0.20743,,,,,,,,,,,,,,,,,,,,,
4.16E+03,0.95102,6.42E+04,0,,,,,,,,,,,,,,,,,,,,,
3.99E+03,0.98124,1.09E+03,0.013172,,,,,,,,,,,,,,,,,,,,,
3.84E+03,1,1.11E+03,0.072677,,,,,,,,,,,,,,,,,,,,,
3.74E+03,0.97199,1.10E+03,0.052482,,,,,,,,,,,,,,,,,,,,,
3.67E+03,0.91605,1.14E+03,0.093547,,,,,,,,,,,,,,,,,,,,,
3.59E+03,0.86872,1.15E+03,0.084749,,,,,,,,,,,,,,,,,,,,,
3.44E+03,0.90307,1.18E+03,0.16952,,,,,,,,,,,,,,,,,,,,,
3.34E+03,0.88985,1.16E+03,0.12059,,,,,,,,,,,,,,,,,,,,,
3.26E+03,0.86126,1.22E+03,0.1284,,,,,,,,,,,,,,,,,,,,,
3.08E+03,0.94974,1.25E+03,0.08217,,,,,,,,,,,,,,,,,,,,,
3.08E+03,0.82981,1.32E+03,0.13085,,,,,,,,,,,,,,,,,,,,,
2.97E+03,0.83366,1.32E+03,0.1301,,,,,,,,,,,,,,,,,,,,,
2.83E+03,0.89626,1.36E+03,0.15344,,,,,,,,,,,,,,,,,,,,,
2.79E+03,0.82712,1.38E+03,0.24485,,,,,,,,,,,,,,,,,,,,,
2.68E+03,0.85617,1.35E+03,0.18446,,,,,,,,,,,,,,,,,,,,,
2.63E+03,0.81057,1.43E+03,0.2016,,,,,,,,,,,,,,,,,,,,,
2.59E+03,0.74641,1.46E+03,0.21726,,,,,,,,,,,,,,,,,,,,,
