ir,ia,iir,iia,i-lookup-690r,ii-lookup-690r,ir-690-r-test,iir-690-r-test,ir-750-c-test,iir-750-c-test,ir-800-l-test,iir-800-l-test,,iknee-a-690-test,iiknee-a-690-test,iknee-n-690-test,iiknee-n-690-test,,iknee-a-750-test,iiknee-a-750-test,iknee-n-750-test,iiknee-n-750-test,,iknee-a-690-lookup,iiknee-a-690-lookup
7.04E+03,0.42125,1503,0.81043,0.14438,0.93106,1.61E+04,1.34E+03,16050,2188,13679,2955,,15373,4776,16923,4510,,,,,,,0.14438,0.28295
6.77E+03,0.44793,1577,0.73703,0.14438,1,1.57E+04,1.38E+03,15508,2257,13167,3084,,14819,4823,16452,4675,,,,,,,0.14438,0.28295
6.53E+03,0.46112,1613,0.77017,0.14438,0.62976,1.50E+04,1.45E+03,14858,2380,12599,3181,,14457,4893,16081,4773,,,,,,,0.14438,0.23844
6.32E+03,0.45558,1704,0.66761,0.14438,0.62976,1.48E+04,1.50E+03,14520,2479,12207,3325,,14058,5069,15617,4843,,,,,,,0.14438,0.24993
6.03E+03,0.52463,1703,0.80025,0.14438,0.5024,1.39E+04,1.52E+03,13657,2462,11537,3384,,13747,5121,15226,4831,,,,,,,0.14438,0.24993
5.85E+03,0.50384,1822,0.64266,0.14438,0.5024,1.34E+04,1.54E+03,13161,2582,11070,3453,,13326,5112,14909,4979,,,,,,,0.14438,0.24993
5.64E+03,0.52516,1806,0.81373,0.14438,0.5024,1.28E+04,1.64E+03,12576,2696,10679,3580,,12935,5236,14430,5083,,,,,,,0.14438,0.78876
5.41E+03,0.56471,1929,0.6615,0.14438,0.38322,1.23E+04,1.66E+03,12189,2752,10238,3672,,12571,5322,14153,5083,,,,,,,0.14438,0.82735
5.20E+03,0.59487,1926,0.80452,0.14438,0.33193,1.19E+04,1.76E+03,11685,2891,9814,3833,,12291,5364,13578,5167,,,,,,,0.14438,0.79832
4.99E+03,0.6262,2030,0.7095,0.14438,0.33814,1.14E+04,1.78E+03,11261,2935,9413,3927,,11930,5562,13342,5252,,,,,,,0.14438,0.79832
4.83E+03,0.62556,2124,0.64669,0.14438,0.87112,1.11E+04,1.93E+03,10870,3115,8978,4089,,11632,5613,12868,5356,,,,,,,0.14438,0.91714
4.59E+03,0.70827,2193,0.64311,0.14438,0.87112,1.06E+04,1.91E+03,10499,3237,8690,4174,,11267,5686,12706,5357,,,,,,,0.14438,0.91714
4.45E+03,0.70596,2218,0.73364,0.14438,0.81408,1.02E+04,1.99E+03,10060,3293,8329,4356,,10943,5709,12297,5534,,,,,,,0.14438,0.87316
4.29E+03,0.72249,2326,0.66029,0.14438,0.8474,9.85E+03,2.05E+03,9684,3435,7965,4466,,10725,5850,12061,5635,,,,,,,0.14438,0.90908
