intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
62114,0.2654,62297,63425,64879,64549,62876,62517,62860,64428,64300
59827,0.2654,59872,60559,61676,61272,60348,59902,59892,61094,61104
57844,0.2654,57895,58226,59103,58670,58194,57706,57499,58407,58295
55736,0.2654,55865,56282,57254,56734,56528,55850,55386,56101,56173
53660,0.2654,53912,53955,55049,54594,54482,53694,53022,53872,53871
51755,0.2654,51728,52084,52958,52542,52611,51684,50855,51814,51717
49887,0.2654,49890,50116,51143,50595,50769,49804,48703,49674,49774
48131,0.2654,48165,48085,49249,48808,49110,47982,46689,47580,47631
46295,0.2654,46190,46291,47397,46932,47245,45986,44601,45534,45702
44680,0.2654,44600,44308,45602,45249,45542,44329,42805,43705,43891
43007,0.2654,42865,42720,44055,43437,44166,42727,40961,41983,41959
41319,0.2654,41306,40911,42306,41882,42468,41071,39280,40128,40301
39715,0.2654,39652,39248,40732,40255,40984,39429,37573,38466,38547
38314,0.2654,38225,37658,39211,38719,39541,37976,36098,36894,36955
36967,0.2654,36721,36219,37697,37247,38230,36550,34564,35365,35544
35450,0.2654,35199,34688,36233,35848,36931,35132,33164,33830,33912
34143,0.2654,33992,33415,35051,34445,35515,33751,31804,32443,32502
32981,0.2654,32782,32065,33843,33206,34440,32603,30556,31136,31229
31735,0.2654,31586,30798,32599,31978,33204,31260,29409,29825,30015
30638,0.2654,30292,29517,31389,30778,32039,30117,28147,28655,28744
29632,0.2654,29351,28429,30403,29650,31018,29127,27178,27534,27585
28487,0.2654,28228,27248,29236,28608,29840,27921,26121,26285,26448
27379,0.2654,27110,26087,28049,27515,28936,26782,25191,25251,25456
26454,0.2654,26182,25137,27136,26555,27929,25770,24164,24325,24338
25477,0.2654,25180,24153,26160,25541,26910,24820,23264,23266,23378
24609,0.2654,24260,23234,25187,24758,26001,23866,22412,22391,22586
23740,0.2654,23395,22277,24290,23748,25101,23105,21570,21466,21685
22822,0.2654,22643,21377,23384,22831,24276,22112,20883,20686,20833
22083,0.4807,21792,20647,22533,22195,23517,21361,20122,19901,20130
21247,0.4905,21051,19882,21829,21518,22757,20677,19478,19202,19331
20479,0.5008,20175,19014,20972,20639,21914,19796,18727,18440,18616
