intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8
62114,0.2654,61686,61421,59998,58947,57898,62252,59395,63815
59827,0.2654,59014,58916,57773,56680,55694,59096,57098,60140
57844,0.2654,56597,56677,55599,54709,53540,56654,54772,57480
55736,0.2654,54450,54654,53724,52783,51710,54660,52807,55284
53660,0.2654,52045,52474,51369,50606,49300,52231,50531,52922
51755,0.2654,49846,50334,49461,48582,47342,50081,48518,50746
49887,0.2654,47737,48387,47453,46686,45497,47995,46549,48761
48131,0.2654,45799,46513,45625,44810,43631,45938,44612,46741
46295,0.2654,43636,44490,43688,42957,41602,43946,42620,44870
44680,0.2654,41788,42717,41893,41226,40001,42044,40900,42941
43007,0.2654,39981,41045,40153,39521,38363,40370,39101,41270
41319,0.2654,38202,39283,38489,37869,36843,38481,37416,39522
39715,0.2654,36626,37705,36898,36225,35172,36638,35880,37700
38314,0.2654,35079,36157,35361,34693,33798,35197,34382,36188
36967,0.2654,33720,34609,34018,33388,32261,33677,32971,34591
35450,0.2654,32164,33145,32578,32036,31056,32217,31551,33212
34143,0.2654,30801,31889,31137,30680,29715,30671,30182,31747
32981,0.2654,29600,30679,29964,29411,28563,29427,28967,30434
31735,0.2654,28352,29414,28847,28272,27426,28189,27666,29226
30638,0.2654,27194,28140,27628,27021,26289,26902,26493,27979
29632,0.2654,26162,27101,26533,26023,25378,25786,25425,26890
28487,0.2654,25023,25924,25288,24821,24200,24593,24329,25628
27379,0.2654,23964,24836,24203,23909,23229,23542,23321,24531
26454,0.2654,22965,23874,23295,22995,22356,22549,22235,23517
25477,0.2654,22014,22788,22355,21940,21512,21481,21387,22538
24609,0.2654,21180,21934,21488,21034,20663,20604,20449,21548
23740,0.2654,20265,21050,20578,20252,19825,19641,19436,20639
22822,0.2654,19434,20222,19730,19349,19085,18779,18691,19715
22083,0.4807,18790,19499,18889,18584,18391,18036,17900,19015
21247,0.4905,18013,18685,18205,17943,17701,17232,17244,18238
20479,0.5008,17171,17821,17342,17134,16925,16377,16357,17378
19755,0.4572,16485,17128,16689,16418,16352,15774,15731,16725
19075,0.4351,15809,16422,16012,15732,15576,15022,14972,15979
18361,0.4492,15092,15746,15291,15074,14965,14417,14355,15295
17791,0.3957,14519,15176,14820,14569,14534,13872,13936,14784
17076,0.4381,13928,14489,14117,13946,13823,13181,13179,14111
16594,0.3612,13343,13860,13503,13433,13302,12621,12628,13551
15949,0.3969,12786,13304,13011,12997,12852,12147,12188,12969
15730,0.2221,12560,13147,12718,12724,12561,11916,12016,12766
14815,0.4207,11721,12137,11858,11924,11742,11122,11248,11970
14316,0.4025,11189,11709,11433,11444,11372,10637,10787,11489
13756,0.4416,10713,11231,10927,10939,10872,10239,10407,11092
13234,0.472,10271,10747,10539,10511,10422,9748,9982,10642
12847,0.4428,9868,10330,10128,10114,9932,9447,9720,10318
12400,0.4556,9421,9875,9687,9644,9555,9011,9365,9881
11982,0.4268,9039,9501,9341,9362,9199,8725,9023,9536
11561,0.444,8615,9175,8997,9038,8872,8431,8726,9188
11115,0.5083,8268,8738,8640,8609,8457,8108,8397,8835
10825,0.4665,7998,8371,8313,8328,8161,7819,8122,8511
10443,0.4611,7639,8049,8074,7976,7876,7535,7848,8187
10178,0.4066,7275,7766,7748,7698,7610,7291,7608,7946
9780,0.4817,6999,7537,7435,7415,7327,6992,7364,7700
9448,0.501,6775,7215,7166,7118,7061,6772,7081,7388
9153,0.5124,6506,6964,6953,6902,6785,6519,6817,7168
8891,0.4762,6270,6752,6739,6680,6594,6324,6633,6914
8503,0.5691,6030,6473,6490,6445,6357,6127,6451,6676
