intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13
5185,0.4303,4648,3931,3661,3351,3786,3413,2948,3129,2601,2424,2585,2908,3376
5390,0.3291,4781,4050,3766,3422,3909,3479,3032,3183,2669,2523,2633,3011,3489
5511,0.3948,4892,4178,3863,3508,3993,3651,3122,3308,2710,2557,2725,3067,3604
5660,0.3799,5017,4287,3957,3607,4116,3702,3194,3388,2827,2629,2812,3130,3712
5822,0.4073,5167,4406,4115,3762,4205,3800,3310,3478,2882,2654,2876,3226,3777
6031,0.3232,5270,4532,4186,3845,4356,3887,3355,3584,2968,2774,2979,3331,3924
6189,0.407,5426,4644,4338,3931,4416,4022,3490,3702,3025,2822,3057,3392,3986
6380,0.3867,5596,4751,4419,4063,4586,4149,3528,3792,3100,2900,3161,3513,4161
6621,0.2974,5734,4931,4611,4199,4671,4312,3697,3904,3273,2969,3211,3644,4262
6846,0.3023,5934,5019,4713,4360,4846,4401,3804,4022,3298,3049,3339,3764,4387
7008,0.3449,6136,5237,4894,4480,4985,4509,3900,4163,3425,3151,3391,3846,4504
7234,0.3806,6256,5348,5036,4654,5191,4689,3994,4346,3540,3245,3575,3939,4664
7471,0.3215,6486,5588,5220,4765,5270,4790,4125,4408,3620,3353,3651,4107,4756
7703,0.3909,6628,5675,5319,4954,5428,4992,4232,4564,3705,3455,3769,4209,4940
7892,0.3943,6853,5876,5556,5084,5614,5152,4478,4724,3823,3568,3856,4356,5045
8240,0.3127,7027,6028,5710,5309,5905,5279,4529,4830,3962,3658,4019,4500,5237
8490,0.3336,7254,6284,5966,5516,6033,5508,4698,5055,4136,3790,4144,4677,5391
8732,0.3977,7462,6454,6120,5662,6197,5697,4850,5236,4194,3877,4330,4777,5515
8979,0.4533,7708,6645,6361,5879,6406,5876,5054,5436,4382,4049,4434,4964,5722
9333,0.3647,7879,6852,6576,6093,6556,6068,5117,5551,4496,4169,4570,5163,5891
9705,0.3376,8255,7151,6801,6349,6816,6333,5339,5807,4674,4336,4733,5303,6114
10047,0.3339,8462,7405,7046,6587,7068,6575,5537,6032,4855,4490,4916,5567,6297
10365,0.3656,8716,7617,7284,6783,7261,6667,5641,6184,4968,4594,5018,5703,6475
10723,0.3745,8971,7891,7504,7016,7503,6974,5855,6403,5125,4731,5237,5892,6695
11145,0.0715,9277,8175,7812,7329,7795,7277,6109,6664,5309,4895,5407,6148,6926
11457,0.0715,9523,8419,8092,7541,8093,7437,6286,6857,5469,5094,5561,6288,7052
11754,0.0715,9803,8738,8345,7838,8331,7738,6489,7142,5726,5255,5871,6540,7392
12188,0.0715,10172,9016,8682,8140,8642,7985,6703,7376,5882,5415,6046,6845,7499
12552,0.0715,10510,9333,9040,8501,8862,8321,6937,7608,6086,5626,6266,7095,7789
13019,0.0715,10877,9777,9419,8920,9311,8692,7200,8027,6356,5862,6568,7411,8112
13557,0.0715,11318,10141,9782,9226,9692,9005,7508,8289,6547,6052,6815,7646,8406
13916,0.0715,11623,10490,10053,9627,10003,9314,7666,8572,6809,6265,7052,7968,8659
14376,0.0715,12033,10851,10445,9915,10262,9646,7945,8877,7012,6455,7295,8266,8910
14859,0.0715,12401,11222,10865,10370,10674,9960,8247,9217,7322,6752,7607,8613,9236
15360,0.0715,12835,11674,11261,10726,11101,10471,8570,9644,7517,6991,7870,8936,9589
15926,0.0715,13307,12078,11723,11253,11498,10799,8833,9968,7840,7275,8201,9243,9892
16525,0.0715,13805,12621,12200,11744,11960,11220,9244,10412,8207,7574,8578,9637,10316
17102,0.0715,14322,13072,12673,12200,12410,11731,9515,10759,8568,7910,9019,10102,10627
17639,0.0715,14918,13659,13184,12843,12942,12282,9924,11295,8920,8205,9424,10502,11085
18374,0.0715,15593,14178,13755,13345,13467,12808,10356,11752,9318,8568,9850,11020,11477
18936,0.0715,16085,14873,14355,13865,14088,13306,10766,12318,9739,8978,10233,11392,11985
19605,0.0715,16667,15340,14851,14422,14621,13798,11163,12724,10165,9313,10713,11924,12403
20333,0.0715,17485,16174,15648,15243,15204,14516,11670,13296,10622,9704,11294,12465,13018
21100,0.0715,18183,16669,16227,15850,15772,15106,12152,13872,11096,10068,11786,12995,13372
21842,0.0715,18878,17412,16865,16428,16463,15775,12585,14428,11572,10628,12298,13620,13940
22651,0.0715,19610,18150,17435,17236,17059,16423,13129,15091,12006,10982,12834,14159,14497
23406,0.0715,20430,18794,18181,17996,17813,17085,13628,15660,12676,11458,13475,14756,15126
24263,0.0715,21298,19725,19013,18723,18552,17811,14217,16349,13176,12015,14116,15466,15745
25174,0.0715,22205,20488,19749,19622,19327,18616,14772,17103,13784,12483,14812,16204,16416
25998,0.0715,23089,21428,20629,20468,20122,19518,15328,17882,14378,13143,15578,16922,17087
26958,0.0715,24076,22271,21429,21425,20883,20315,16013,18647,15130,13729,16314,17610,17864
27954,0.0715,25087,23258,22431,22322,21833,21134,16684,19486,15818,14306,17205,18432,18609
28996,0.0715,26088,24298,23243,23295,22780,22112,17393,20344,16586,14949,17951,19244,19308
30017,0.0715,27313,25302,24346,24237,23759,23119,18169,21227,17286,15755,18907,20102,20170
31219,0.0715,28413,26357,25305,25478,24837,24175,18891,22210,18200,16455,19737,21143,21004
32349,0.0715,29629,27416,26354,26590,25878,25145,19745,23195,18966,17198,20820,22001,21839
33395,0.0715,30872,28470,27376,27734,27053,26238,20543,24305,19807,18042,21747,22875,22790
34536,0.0715,32143,29721,28484,28895,28142,27257,21303,25251,20768,18908,22764,24020,23758
35904,0.0715,33579,30944,29632,30143,29416,28531,22218,26431,21705,19687,23862,24902,24772
36917,0.0715,34937,32207,30879,31405,30589,29745,23229,27654,22824,20618,25104,25971,25799
1540,0.6233,,,,,,,,,,,,,
1573,0.2331,,,,,,,,,,,,,
1584,0.3282,,,,,,,,,,,,,
1625,0.1073,,,,,,,,,,,,,
1626,0.1738,,,,,,,,,,,,,
1630,0.275,,,,,,,,,,,,,
1670,0.106,,,,,,,,,,,,,
1694,0.238,,,,,,,,,,,,,
1709,0.1257,,,,,,,,,,,,,
1736,0.0333,,,,,,,,,,,,,
1753,0.1485,,,,,,,,,,,,,
1786,0.1463,,,,,,,,,,,,,
1771,0.1889,,,,,,,,,,,,,
1847,0.0283,,,,,,,,,,,,,
1864,0.9924,,,,,,,,,,,,,
1887,0.9067,,,,,,,,,,,,,
1902,0.9629,,,,,,,,,,,,,
1946,0.9912,,,,,,,,,,,,,
1985,0.5944,,,,,,,,,,,,,
2015,0.864,,,,,,,,,,,,,
2023,1,,,,,,,,,,,,,
2115,0.7536,,,,,,,,,,,,,
2134,0.754,,,,,,,,,,,,,
2150,0.917,,,,,,,,,,,,,
2226,0.518,,,,,,,,,,,,,
2243,0.6045,,,,,,,,,,,,,
2291,0.4928,,,,,,,,,,,,,
2341,0.6054,,,,,,,,,,,,,
2375,0.5726,,,,,,,,,,,,,
2432,0.5595,,,,,,,,,,,,,
2511,0.4365,,,,,,,,,,,,,
2549,0.4899,,,,,,,,,,,,,
2560,0.5996,,,,,,,,,,,,,
2673,0.4156,,,,,,,,,,,,,
2708,0.268,,,,,,,,,,,,,
2756,0.3237,,,,,,,,,,,,,
2816,0.3356,,,,,,,,,,,,,
2827,0.4148,,,,,,,,,,,,,
3020,0,,,,,,,,,,,,,
3001,0.2795,,,,,,,,,,,,,
3062,0.7828,,,,,,,,,,,,,
3153,0.6075,,,,,,,,,,,,,
3188,0.7257,,,,,,,,,,,,,
3267,0.676,,,,,,,,,,,,,
3353,0.6098,,,,,,,,,,,,,
3385,0.6522,,,,,,,,,,,,,
3491,0.5937,,,,,,,,,,,,,
3589,0.4438,,,,,,,,,,,,,
3657,0.5213,,,,,,,,,,,,,
3739,0.459,,,,,,,,,,,,,
3860,0.3469,,,,,,,,,,,,,
3956,0.3849,,,,,,,,,,,,,
4011,0.4361,,,,,,,,,,,,,
4112,0.2178,,,,,,,,,,,,,
4218,0.2056,,,,,,,,,,,,,
4301,0.6432,,,,,,,,,,,,,
4413,0.6359,,,,,,,,,,,,,
4518,0.6457,,,,,,,,,,,,,
4616,0.6596,,,,,,,,,,,,,
4706,0.6878,,,,,,,,,,,,,
4848,0.5942,,,,,,,,,,,,,
4992,0.5387,,,,,,,,,,,,,
5119,0.4745,,,,,,,,,,,,,
5235,0.4646,,,,,,,,,,,,,
5327,0.5561,,,,,,,,,,,,,
5498,0.4673,,,,,,,,,,,,,
5659,0.434,,,,,,,,,,,,,
5758,0.5363,,,,,,,,,,,,,
5894,0.5611,,,,,,,,,,,,,
6083,0.4874,,,,,,,,,,,,,
6205,0.4411,,,,,,,,,,,,,
6431,0.31,,,,,,,,,,,,,
6542,0.4528,,,,,,,,,,,,,
6721,0.4542,,,,,,,,,,,,,
6947,0.3919,,,,,,,,,,,,,
7067,0.5287,,,,,,,,,,,,,
7342,0.3245,,,,,,,,,,,,,
7508,0.3703,,,,,,,,,,,,,
7716,0.4018,,,,,,,,,,,,,
7929,0.3817,,,,,,,,,,,,,
8116,0.4231,,,,,,,,,,,,,
8417,0.3217,,,,,,,,,,,,,
8576,0.4095,,,,,,,,,,,,,
8870,0.3932,,,,,,,,,,,,,
9124,0.3401,,,,,,,,,,,,,
9336,0.4439,,,,,,,,,,,,,
9645,0.386,,,,,,,,,,,,,
9908,0.3893,,,,,,,,,,,,,
10275,0.3114,,,,,,,,,,,,,
10621,0.2822,,,,,,,,,,,,,
10889,0.3452,,,,,,,,,,,,,
11240,0.3566,,,,,,,,,,,,,
11569,0.3429,,,,,,,,,,,,,
11943,0.3603,,,,,,,,,,,,,
12317,0.3675,,,,,,,,,,,,,
12670,0.4065,,,,,,,,,,,,,
13099,0.3773,,,,,,,,,,,,,
13685,0.224,,,,,,,,,,,,,
14144,0.2317,,,,,,,,,,,,,
14495,0.3346,,,,,,,,,,,,,
14951,0.3708,,,,,,,,,,,,,
