intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
62114,0.2654,64798,52738,64532,64802,64641,60287,64406,48823,45983
59827,0.2654,62755,51011,61754,64901,64650,58189,62422,47027,44267
57844,0.2654,58715,49222,58427,63443,59965,56153,58290,45312,42777
55736,0.2654,56727,47735,56386,58622,57704,54541,56325,43562,41220
53660,0.2654,54393,46035,54157,56132,55459,52368,54230,41919,39496
51755,0.2654,52298,44415,52120,53883,53417,50589,52252,40239,38163
49887,0.2654,50192,42987,50333,51654,51636,48953,50269,38702,36798
48131,0.2654,48315,41583,48495,49426,49698,47394,48425,37233,35452
46295,0.2654,46279,40025,46506,47205,47643,45601,46432,35741,34098
44680,0.2654,44284,38723,44807,45284,45907,43833,44770,34475,32869
43007,0.2654,42569,37444,43262,43311,44248,42453,43168,33133,31631
41319,0.2654,40824,36103,41541,41381,42564,40885,41398,31774,30535
39715,0.2654,39116,34976,40072,39634,40898,39356,39933,30633,29324
38314,0.2654,37606,33677,38569,37856,39384,37945,38363,29501,28192
36967,0.2654,36109,32691,37208,36433,37787,36621,37001,28503,27320
35450,0.2654,34563,31453,35898,34789,36324,35335,35695,27422,26232
34143,0.2654,33088,30377,34482,33203,34877,33973,34377,26532,25336
32981,0.2654,31855,29531,33261,31992,33696,32841,33170,25617,24438
31735,0.2654,30589,28519,32047,30678,32417,31630,31875,24806,23494
30638,0.2654,29244,27593,31000,29432,31033,30589,30780,23979,22582
29632,0.2654,28106,26703,29909,28350,29750,29497,29855,23225,21845
28487,0.2654,26923,25839,28872,27071,28748,28306,28525,22492,21079
27379,0.2654,25805,24891,27854,26022,27504,27311,27683,21647,20263
26454,0.2654,24677,24145,27025,25146,26468,26298,26696,21086,19545
25477,0.2654,23765,23242,25925,24206,25408,25252,25757,20425,18878
24609,0.2654,22687,22512,25120,23310,24400,24345,24892,19724,18220
23740,0.2654,21808,21756,24243,22478,23418,23436,24027,19100,17485
22822,0.2654,20902,21081,23399,21588,22443,22550,23204,18541,16897
22083,0.4807,20144,20455,22769,20933,21604,21893,22542,18180,16366
21247,0.4905,19320,19758,22056,20314,20753,21028,21796,17546,15807
20479,0.5008,18495,19083,21181,19607,19760,20124,20950,16954,15311
19755,0.4572,17774,18497,20511,19005,19011,19459,20167,16514,14804
19075,0.4351,17054,17865,19847,18395,18234,18712,19651,16053,14240
18361,0.4492,16377,17257,19103,17716,17395,17941,18885,15599,13748
17791,0.3957,15751,16868,18692,17350,16764,17552,18421,15232,13372
17076,0.4381,15111,16202,18014,16766,16047,16704,17793,14652,12898
16594,0.3612,14468,15723,17473,16330,15362,16214,17066,14286,12475
15949,0.3969,13997,15249,16979,15848,14738,15597,16631,14001,12115
15730,0.2221,13653,15096,16727,15759,14388,15331,16409,13873,11986
14815,0.4207,12769,14214,15844,14829,13459,14328,15432,13094,11304
14316,0.4025,12297,13752,15358,14437,12852,13890,14979,12773,10985
13756,0.4416,11869,13358,14864,14003,12327,13371,14467,12338,10537
13234,0.472,11440,12903,14434,13605,11778,12850,14009,12011,10301
12847,0.4428,10949,12486,13990,13244,11277,12342,13573,11652,10006
12400,0.4556,10503,12085,13614,12920,10836,11961,13076,11383,9678
11982,0.4268,10121,11786,13162,12446,10370,11534,12720,10931,9418
11561,0.444,9740,11456,12775,12118,9941,11136,12349,10754,9124
11115,0.5083,9370,11093,12409,11733,9537,10640,11880,10336,8776
10825,0.4665,9117,10813,12001,11401,9134,10347,11596,10157,8651
10443,0.4611,8756,10498,11703,11139,8812,10028,11248,9776,8372
10178,0.4066,8460,10162,11339,10833,8480,9686,10917,9527,8069
9780,0.4817,8204,9933,11027,10510,8183,9225,10654,9194,7905
9448,0.501,7920,9674,10702,10231,7868,8987,10205,8940,7623
9153,0.5124,7737,9378,10402,9936,7628,8677,9995,8644,7442
8891,0.4762,7366,9137,10096,9672,7287,8324,9637,8378,7259
8503,0.5691,7222,8875,9756,9367,7127,8054,9338,8219,7018
8299,0.4988,6898,8591,9544,9146,6870,7808,9093,7955,6825
8025,0.5476,6731,8434,9202,8862,6670,7555,8882,7680,6658
7765,0.5595,6567,8155,8894,8641,6478,7246,8635,7445,6474
7517,0.5498,6383,7957,8686,8361,6203,6986,8370,7217,6294
7276,0.5866,6167,7763,8396,8111,6043,6781,8116,7007,6110
7054,0.5755,6037,7542,8193,7914,5814,6549,7881,6720,5903
6876,0.5767,5867,7437,7989,7777,5690,6323,7723,6572,5767
