intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13
62114,0.2654,59264,63787,60601,62297,61723,60329,57157,60401,62005,61438,64233,62589,63965
59827,0.2654,57428,60657,58620,59543,59181,58141,55187,58246,59316,58981,64101,59367,61175
57844,0.2654,55569,58507,56572,57674,56919,55815,53073,55925,57322,56950,58767,57015,58042
55736,0.2654,53952,56777,54860,55946,55060,54008,51330,54001,55542,55196,56712,55235,56068
53660,0.2654,51927,54674,52896,53965,52815,51793,49399,52025,53547,53132,54450,52927,53801
51755,0.2654,50319,52936,51268,52197,51036,49788,47478,50041,51675,51181,52286,50993,51711
49887,0.2654,48658,51094,49557,50463,49074,47906,45807,48228,49901,49411,50438,48976,49978
48131,0.2654,47207,49495,47934,48852,47312,45962,44166,46431,48149,47582,48487,47087,48032
46295,0.2654,45563,48016,46236,46974,45469,44047,42564,44570,46561,45855,46534,45272,46118
44680,0.2654,44023,46347,44635,45466,43745,42355,40912,42903,44985,44081,44680,43389,44383
43007,0.2654,42519,44768,43193,43845,42226,40684,39444,41433,43450,42332,42976,41733,42766
41319,0.2654,41190,43248,41733,42430,40668,39031,37896,39800,41892,40655,41138,39928,40932
39715,0.2654,39763,41840,40299,40854,39136,37515,36567,38395,40572,39101,39449,38472,39313
38314,0.2654,38506,40488,39084,39458,37776,35957,35230,37054,39150,37607,37996,36920,37926
36967,0.2654,37328,39118,37875,38239,36376,34480,34091,35637,37841,36164,36554,35515,36337
35450,0.2654,36138,37808,36591,36870,35047,33094,32792,34367,36587,34683,35060,34040,34914
34143,0.2654,34830,36581,35393,35547,33891,31657,31619,33067,35270,33370,33638,32715,33516
32981,0.2654,33819,35451,34210,34247,32645,30457,30450,31973,34134,32121,32253,31486,32155
31735,0.2654,32764,34350,33275,33122,31585,29327,29446,30727,33169,30824,30969,30264,31050
30638,0.2654,31700,33052,32158,32017,30454,28052,28354,29650,32016,29546,29747,29006,29647
29632,0.2654,30761,32242,31183,31021,29445,27051,27395,28709,30993,28420,28667,27953,28527
28487,0.2654,29746,31008,30227,29908,28304,25846,26406,27649,29943,27395,27455,26826,27355
27379,0.2654,28851,30072,29237,28830,27377,24847,25488,26634,28820,26303,26466,25732,26209
26454,0.2654,27954,29159,28432,27892,26448,23921,24635,25795,27921,25246,25354,24794,25202
25477,0.2654,27099,28159,27342,26932,25448,22877,23731,24970,26954,24310,24460,23796,24288
24609,0.2654,26215,27282,26551,25998,24666,21958,22903,24151,26024,23403,23487,23000,23248
23740,0.2654,25315,26316,25792,25133,23849,21150,22120,23304,25130,22537,22634,22064,22219
22822,0.2654,24619,25543,25002,24315,23099,20297,21383,22457,24265,21624,21738,21138,21366
22083,0.4807,23955,24789,24306,23508,22448,19554,20738,21802,23425,20902,20932,20478,20607
21247,0.4905,23161,24054,23541,22745,21617,18848,20000,21084,22716,20178,20228,19637,19742
20479,0.5008,22363,23102,22906,21983,20925,17986,19235,20259,21962,19350,19340,18896,18961
19755,0.4572,21732,22420,22099,21317,20195,17470,18601,19645,21234,18644,18748,18149,18186
19075,0.4351,21043,21710,21520,20592,19606,16696,17944,18989,20441,18072,17927,17389,17460
18361,0.4492,20344,21114,20885,19846,19063,16115,17344,18331,19719,17319,17345,16768,16736
17791,0.3957,19894,20561,20386,19437,18453,15629,16882,17782,19132,16779,16780,16263,16179
17076,0.4381,19164,19751,19666,18670,17792,14957,16288,17132,18471,16106,16161,15588,15504
16594,0.3612,18636,19277,19102,18232,17289,14524,15747,16643,17980,15599,15647,15059,15033
15949,0.3969,17954,18691,18593,17641,16747,13954,15218,16095,17365,15065,15047,14495,14343
15730,0.2221,17937,18496,18509,17504,16622,13821,15072,15842,17254,14903,14859,14303,14161
14815,0.4207,16972,17578,17414,16579,15691,13037,14190,14969,16154,14019,14019,13408,13202
14316,0.4025,16446,17086,16903,16040,15207,12554,13806,14404,15634,13546,13424,12918,12747
13756,0.4416,15993,16595,16491,15559,14781,12118,13208,13994,15108,12998,13009,12454,12306
13234,0.472,15484,16147,16007,15089,14331,11675,12807,13585,14702,12671,12606,12087,11868
12847,0.4428,15050,15573,15535,14639,13835,11303,12303,13106,14207,12182,12141,11533,11373
12400,0.4556,14576,15100,15077,14268,13486,10933,11910,12675,13712,11842,11766,11169,11044
11982,0.4268,14155,14751,14709,13798,13157,10597,11639,12301,13337,11425,11303,10805,10708
11561,0.444,13756,14309,14261,13377,12638,10289,11153,11917,12910,11012,10959,10411,10296
11115,0.5083,13305,13901,13855,13036,12268,9894,10732,11492,12437,10681,10580,10011,9936
10825,0.4665,12948,13507,13396,12708,11953,9630,10451,11053,12013,10305,10316,9692,9538
10443,0.4611,12655,13180,13031,12335,11619,9349,10146,10807,11686,9993,9952,9348,9252
10178,0.4066,12215,12823,12655,11974,11283,9070,9771,10404,11285,9658,9659,9044,8921
9780,0.4817,11973,12485,12318,11644,10943,8874,9368,10142,10969,9397,9334,8749,8693
9448,0.501,11677,12090,11976,11280,10645,8525,9148,9824,10559,9061,9043,8429,8462
9153,0.5124,11318,11858,11623,11011,10326,8338,8837,9467,10205,8817,8756,8173,8156
