intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
0.000106,0.2654,0.000032612,0.000030745,0.000044771,5.0731e-05,   5.0223e-05,   5.4577e-05,   5.8762e-05,   4.9526e-05,   5.5145e-05,   5.2622e-05
0.000102,0.2654,0.000031533,0.000029751,0.000043173,   4.9051e-05,   4.8413e-05,   5.2679e-05,   5.7007e-05,   4.7991e-05,   5.3112e-05,   5.0868e-05
0.0000987,0.2654,0.000030545,0.000028897,0.000041546,   4.7534e-05,   4.6874e-05,   5.1072e-05,   5.5272e-05,   4.6507e-05,   5.1392e-05,   4.9344e-05
0.0000951,0.2654,0.000029564,0.000028093,0.000040147,    4.611e-05,   4.5725e-05,   4.9516e-05,   5.3548e-05,   4.5242e-05,     4.99e-05,   4.7795e-05
0.0000914,0.2654,0.000028504,0.000027297,0.000038635,   4.4448e-05,   4.4182e-05,   4.7956e-05,   5.1852e-05,   4.3577e-05,   4.8316e-05,   4.6223e-05
0.0000882,0.2654,0.000027441,0.000026353,0.000036984,   4.2977e-05,    4.278e-05,   4.6291e-05,   5.0044e-05,   4.2244e-05,   4.6616e-05,   4.4701e-05
0.0000849,0.2654,0.000026488,0.000025575,0.000035589,   4.1708e-05,     4.15e-05,   4.4936e-05,   4.8422e-05,   4.0919e-05,   4.5165e-05,   4.3267e-05
0.0000819,0.2654,0.000025586,0.000024786,0.000034363,   4.0318e-05,    4.025e-05,   4.3447e-05,   4.6929e-05,   3.9665e-05,   4.3796e-05,   4.1879e-05
0.0000787,0.2654,0.000024728,0.000023953,0.000032876,   3.9012e-05,   3.8958e-05,   4.1942e-05,   4.5393e-05,   3.8194e-05,   4.2238e-05,    4.038e-05
0.0000759,0.2654,0.000023795,0.000023225,0.000031623,    3.762e-05,   3.7732e-05,   4.0744e-05,   4.3858e-05,   3.6989e-05,   4.0964e-05,   3.9213e-05
0.000073,0.2654,0.000023019,0.000022542,0.000030437,    3.645e-05,   3.6613e-05,   3.9516e-05,   4.2389e-05,   3.5884e-05,   3.9586e-05,   3.7925e-05
0.0000701,0.2654,0.000022186,0.000021717,0.000029227,   3.5183e-05,   3.5387e-05,   3.8083e-05,   4.1124e-05,   3.4668e-05,   3.8324e-05,   3.6664e-05
0.0000672,0.2654,0.00002145,0.000021011,0.000028019,   3.3907e-05,   3.4306e-05,   3.6979e-05,   3.9629e-05,   3.3555e-05,   3.7082e-05,   3.5454e-05
0.0000648,0.2654,0.000020729,0.000020317,0.000027002,   3.2913e-05,   3.3259e-05,   3.5686e-05,   3.8354e-05,   3.2533e-05,   3.5831e-05,   3.4244e-05
0.0000625,0.2654,0.000020036,0.000019627,0.000025956,    3.184e-05,   3.2273e-05,   3.4758e-05,   3.7123e-05,   3.1531e-05,   3.4674e-05,   3.3242e-05
0.0000598,0.2654,0.000019247,0.000019044,0.000025065,   3.0703e-05,   3.1174e-05,   3.3591e-05,   3.5891e-05,   3.0351e-05,   3.3562e-05,   3.2075e-05
0.0000576,0.2654,0.00001863,0.000018402,0.000024062,    2.968e-05,   3.0347e-05,   3.2435e-05,   3.4752e-05,   2.9432e-05,   3.2389e-05,   3.0987e-05
0.0000556,0.2654,0.000017947,0.000017746,0.000023193,    2.875e-05,   2.9341e-05,   3.1442e-05,   3.3623e-05,    2.848e-05,   3.1416e-05,   3.0007e-05
0.0000534,0.2654,0.000017411,0.000017159,0.00002225,   2.7752e-05,   2.8594e-05,   3.0436e-05,   3.2565e-05,   2.7499e-05,   3.0521e-05,   2.8975e-05
0.0000515,0.2654,0.00001684,0.000016613,0.000021569,   2.6749e-05,   2.7601e-05,   2.9463e-05,   3.1267e-05,   2.6544e-05,   2.9409e-05,    2.804e-05
0.0000498,0.2654,0.000016251,0.000016075,0.000020793,   2.5973e-05,   2.6873e-05,   2.8645e-05,   3.0475e-05,   2.5972e-05,   2.8614e-05,   2.7095e-05
0.0000478,0.2654,0.000015668,0.000015516,0.000019996,   2.5007e-05,   2.6038e-05,   2.7587e-05,   2.9294e-05,   2.5011e-05,   2.7551e-05,   2.6193e-05
0.0000459,0.2654,0.000015159,0.000014898,0.00001929,   2.4195e-05,   2.5267e-05,   2.6822e-05,   2.8413e-05,   2.4137e-05,   2.6678e-05,   2.5283e-05
0.0000443,0.2654,0.000014593,0.000014533,0.000018704,   2.3377e-05,   2.4427e-05,   2.5852e-05,   2.7368e-05,   2.3299e-05,   2.5808e-05,   2.4418e-05
0.0000426,0.2654,0.000014097,0.00001405,0.00001806,   2.2577e-05,   2.3671e-05,   2.4967e-05,   2.6448e-05,   2.2618e-05,    2.505e-05,   2.3623e-05
0.0000411,0.2654,0.000013645,0.000013564,0.000017516,   2.1936e-05,   2.2956e-05,   2.4285e-05,   2.5567e-05,   2.1769e-05,   2.4207e-05,   2.2921e-05
0.0000395,0.2654,0.000013202,0.000013151,0.000016907,   2.1159e-05,   2.2279e-05,   2.3451e-05,   2.4816e-05,   2.1029e-05,   2.3361e-05,    2.211e-05
