intensity,750,800,850,uaa,left,right,ctr,,,
1.80E-05,,,,0.0042711,2.04E-05,1.25E-05,1.80E-05,,,
1.88E-05,,,,0.0042193,2.09E-05,1.29E-05,1.88E-05,,,
1.94E-05,,,,0.00428,2.18E-05,1.35E-05,1.94E-05,,,
2.01E-05,,,,0.0042831,2.23E-05,1.39E-05,2.01E-05,,,
2.10E-05,,,,0.0042115,2.31E-05,1.45E-05,2.10E-05,,,
2.18E-05,,,,0.0042299,2.40E-05,1.52E-05,2.18E-05,,,
2.24E-05,,,,0.0042861,2.45E-05,1.56E-05,2.24E-05,,,
2.31E-05,,,,0.0043348,2.54E-05,1.64E-05,2.31E-05,,,
2.42E-05,,,,0.0042571,2.63E-05,1.69E-05,2.42E-05,,,
2.52E-05,,,,0.0042333,2.73E-05,1.78E-05,2.52E-05,,,
2.62E-05,,,,0.0042301,2.83E-05,1.88E-05,2.62E-05,,,
2.71E-05,,,,0.0042579,2.91E-05,1.92E-05,2.71E-05,,,
2.82E-05,,,,0.0042657,3.01E-05,2.01E-05,2.82E-05,,,
2.94E-05,,,,0.004,3.11E-05,2.12E-05,2.94E-05,,,
3.03E-05,,,,0.004,3.21E-05,2.19E-05,3.03E-05,,,
3.11E-05,,,,0.004,3.32E-05,2.29E-05,3.11E-05,,,
3.24E-05,,,,0.004,3.43E-05,2.38E-05,3.24E-05,,,
3.35E-05,,,,0.004,3.56E-05,2.50E-05,3.35E-05,,,
3.48E-05,,,,0.004,3.73E-05,2.62E-05,3.48E-05,,,
3.63E-05,,,,0.004,3.86E-05,2.77E-05,3.63E-05,,,
3.73E-05,,,,0.004,3.97E-05,2.86E-05,3.73E-05,,,
3.87E-05,,,,0.004,4.10E-05,2.98E-05,3.87E-05,,,
4.01E-05,,,,0.004,4.22E-05,3.11E-05,4.01E-05,,,
4.15E-05,,,,0.004,4.37E-05,3.25E-05,4.15E-05,,,
4.32E-05,,,,0.004,4.55E-05,3.41E-05,4.32E-05,,,
4.49E-05,,,,0.004,4.70E-05,3.57E-05,4.49E-05,,,
4.65E-05,,,,0.004,4.88E-05,3.72E-05,4.65E-05,,,
4.81E-05,,,,0.004,5.07E-05,3.92E-05,4.81E-05,,,
5.03E-05,,,,0.004,5.24E-05,4.13E-05,5.03E-05,,,
5.18E-05,,,,0.004,5.42E-05,4.30E-05,5.18E-05,,,
5.38E-05,,,,0.004,5.64E-05,4.48E-05,5.38E-05,,,
5.58E-05,,,,0.004,5.87E-05,4.73E-05,5.58E-05,,,
5.81E-05,,,,0.004,6.04E-05,4.91E-05,5.81E-05,,,
6.03E-05,,,,0.004,6.28E-05,5.12E-05,6.03E-05,,,
6.25E-05,,,,0.004,6.48E-05,5.39E-05,6.25E-05,,,
6.47E-05,,,,0.004,6.71E-05,5.60E-05,6.47E-05,,,
6.72E-05,,,,0.004,6.99E-05,5.86E-05,6.72E-05,,,
6.98E-05,,,,0.004,7.23E-05,6.11E-05,6.98E-05,,,
7.22E-05,,,,0.004,7.47E-05,6.40E-05,7.22E-05,,,
7.49E-05,,,,0.004,7.77E-05,6.65E-05,7.49E-05,,,
7.78E-05,,,,0.004,8.07E-05,6.99E-05,7.78E-05,,,
8.08E-05,,,,0.004,8.31E-05,7.25E-05,8.08E-05,,,
8.38E-05,,,,0.004,8.64E-05,7.58E-05,8.38E-05,,,
8.72E-05,,,,0.004,8.97E-05,7.92E-05,8.72E-05,,,
9.06E-05,,,,0.004,9.30E-05,8.23E-05,9.06E-05,,,
9.35E-05,,,,0.004,9.64E-05,8.59E-05,9.35E-05,,,
9.68E-05,,,,0.004,9.98E-05,8.97E-05,9.68E-05,,,
0.00010074,,,,0.004,0.00010334,9.36E-05,0.00010074,,,
0.00010364,,,,0.004,0.00010723,9.72E-05,0.00010364,,,
1.54E-06,,,,0.0010427,,,,,,
1.76E-06,,,,0.00091299,,,,,,
1.75E-06,,,,0.00094461,,,,,,
1.91E-06,,,,0.00087119,,,,,,
1.92E-06,,,,0.00089328,,,,,,
1.91E-06,,,,0.00092692,,,,,,
2.05E-06,,,,0.00087074,,,,,,
2.03E-06,,,,0.00091465,,,,,,
2.14E-06,,,,0.00087732,,,,,,
2.25E-06,,,,0.0008466,,,,,,
2.23E-06,,,,0.0008849,,,,,,
2.29E-06,,,,0.00088416,,,,,,
2.32E-06,,,,0.0008983,,,,,,
2.48E-06,,,,0.00084492,,,,,,
2.60E-06,,,,0.0011654,,,,,,
2.72E-06,,,,0.0011369,,,,,,
2.75E-06,,,,0.0011556,,,,,,
2.80E-06,,,,0.001165,,,,,,
3.13E-06,,,,0.0010331,,,,,,
3.03E-06,,,,0.0011227,,,,,,
3.02E-06,,,,0.0011679,,,,,,
3.26E-06,,,,0.001086,,,,,,
3.34E-06,,,,0.0010862,,,,,,
3.31E-06,,,,0.0011403,,,,,,
3.68E-06,,,,0.0010077,,,,,,
3.71E-06,,,,0.0010364,,,,,,
3.89E-06,,,,0.00099934,,,,,,
3.90E-06,,,,0.0010367,,,,,,
4.03E-06,,,,0.0010259,,,,,,
4.31E-06,,,,0.0010215,,,,,,
4.53E-06,,,,0.00098061,,,,,,
4.60E-06,,,,0.00099838,,,,,,
4.62E-06,,,,0.0010348,,,,,,
4.90E-06,,,,0.00097366,,,,,,
5.17E-06,,,,0.00092462,,,,,,
5.25E-06,,,,0.00094313,,,,,,
5.37E-06,,,,0.00094707,,,,,,
5.43E-06,,,,0.00097339,,,,,,
6.02E-06,,,,0.00083552,,,,,,
5.86E-06,,,,0.00092844,,,,,,
6.07E-06,,,,0.0010957,,,,,,
6.41E-06,,,,0.0010375,,,,,,
6.46E-06,,,,0.0010767,,,,,,
6.68E-06,,,,0.0010602,,,,,,
6.94E-06,,,,0.0010382,,,,,,
7.07E-06,,,,0.0010523,,,,,,
7.33E-06,,,,0.0010329,,,,,,
7.71E-06,,,,0.00098304,,,,,,
7.82E-06,,,,0.0010088,,,,,,
8.11E-06,,,,0.00098809,,,,,,
8.48E-06,,,,0.00095085,,,,,,
8.66E-06,,,,0.00096346,,,,,,
8.82E-06,,,,0.00098047,,,,,,
9.21E-06,,,,0.00090793,,,,,,
9.48E-06,,,,0.00090387,,,,,,
9.82E-06,,,,0.0010493,,,,,,
1.01E-05,,,,0.0010469,,,,,,
1.04E-05,,,,0.0010501,,,,,,
1.06E-05,,,,0.0010548,,,,,,
1.09E-05,,,,0.0010641,,,,,,
1.14E-05,,,,0.001033,,,,,,
1.18E-05,,,,0.0010146,,,,,,
1.22E-05,,,,0.00099324,,,,,,
1.26E-05,,,,0.00098996,,,,,,
1.28E-05,,,,0.0010204,,,,,,
1.33E-05,,,,0.00099085,,,,,,
1.38E-05,,,,0.0009798,,,,,,
1.40E-05,,,,0.0010138,,,,,,
1.43E-05,,,,0.001022,,,,,,
1.49E-05,,,,0.00099752,,,,,,
1.54E-05,,,,0.00098214,,,,,,
1.62E-05,,,,0.00093855,,,,,,
1.64E-05,,,,0.00098604,,,,,,
1.68E-05,,,,0.0009865,,,,,,
1.75E-05,,,,0.00096579,,,,,,
1.77E-05,,,,0.0010113,,,,,,
1.87E-05,,,,0.0009434,,,,,,
1.92E-05,,,,0.00095861,,,,,,
1.97E-05,,,,0.00096908,,,,,,
2.04E-05,,,,0.0009624,,,,,,
2.09E-05,,,,0.00097616,,,,,,
2.18E-05,,,,0.00094246,,,,,,
2.23E-05,,,,0.00097163,,,,,,
2.31E-05,,,,0.00096622,,,,,,
2.40E-05,,,,0.00094857,,,,,,
2.45E-05,,,,0.00098307,,,,,,
2.54E-05,,,,0.00096383,,,,,,
2.63E-05,,,,0.00096493,,,,,,
2.73E-05,,,,0.00093904,,,,,,
2.83E-05,,,,0.00092933,,,,,,
2.91E-05,,,,0.00095027,,,,,,
3.01E-05,,,,0.00095404,,,,,,
3.11E-05,,,,0.00094949,,,,,,
3.21E-05,,,,0.00095528,,,,,,
3.32E-05,,,,0.00095768,,,,,,
3.43E-05,,,,0.00097063,,,,,,
3.56E-05,,,,0.00096094,,,,,,
3.73E-05,,,,0.00090997,,,,,,
3.86E-05,,,,0.00091252,,,,,,
3.97E-05,,,,0.00094673,,,,,,
4.10E-05,,,,0.00095877,,,,,,
4.22E-05,,,,0.00098412,,,,,,
4.37E-05,,,,0.00098572,,,,,,
4.55E-05,,,,0.0009713,,,,,,
4.70E-05,,,,0.00099302,,,,,,
4.88E-05,,,,0.00099369,,,,,,
5.07E-05,,,,0.00098401,,,,,,
5.24E-05,,,,0.0010077,,,,,,
5.42E-05,,,,0.0010285,,,,,,
5.64E-05,,,,0.0010248,,,,,,
5.87E-05,,,,0.0010242,,,,,,
6.04E-05,,,,0.00093625,,,,,,
6.28E-05,,,,0.00094535,,,,,,
6.48E-05,,,,0.00098694,,,,,,
6.71E-05,,,,0.0010099,,,,,,
6.99E-05,,,,0.0009452,,,,,,
7.23E-05,,,,0.00097714,,,,,,
7.47E-05,,,,0.0010256,,,,,,
7.77E-05,,,,0.00097032,,,,,,
8.07E-05,,,,0.00099843,,,,,,
8.31E-05,,,,0.00099747,,,,,,
8.64E-05,,,,0.0010284,,,,,,
8.97E-05,,,,0.0010614,,,,,,
9.30E-05,,,,0.00096205,,,,,,
9.64E-05,,,,0.00094663,,,,,,
9.98E-05,,,,0.0010079,,,,,,
0.00010334,,,,0.00095645,,,,,,
0.00010723,,,,0.0010138,,,,,,
1.67E-06,,,,0.00055473,,,,,,
1.74E-06,,,,0.00053744,,,,,,
1.83E-06,,,,0.00051659,,,,,,
1.65E-06,,,,0.00062014,,,,,,
1.67E-06,,,,0.00063118,,,,,,
1.81E-06,,,,0.00058017,,,,,,
1.78E-06,,,,0.00061237,,,,,,
1.99E-06,,,,0.00054081,,,,,,
1.78E-06,,,,0.00065841,,,,,,
2.12E-06,,,,0.00052266,,,,,,
2.01E-06,,,,0.00059185,,,,,,
2.10E-06,,,,0.00057173,,,,,,
2.13E-06,,,,0.00058043,,,,,,
2.14E-06,,,,0.00059923,,,,,,
2.26E-06,,,,0.00056864,,,,,,
2.16E-06,,,,0.00063224,,,,,,
2.32E-06,,,,0.00058894,,,,,,
2.31E-06,,,,0.00061596,,,,,,
2.36E-06,,,,0.00061674,,,,,,
2.46E-06,,,,0.00060237,,,,,,
2.48E-06,,,,0.00061786,,,,,,
2.50E-06,,,,0.00063161,,,,,,
2.64E-06,,,,0.00060215,,,,,,
2.54E-06,,,,0.00066748,,,,,,
2.72E-06,,,,0.0006243,,,,,,
2.81E-06,,,,0.00061582,,,,,,
2.89E-06,,,,0.00061242,,,,,,
2.90E-06,,,,0.00063488,,,,,,
3.07E-06,,,,0.00060137,,,,,,
3.24E-06,,,,0.0005721,,,,,,
3.13E-06,,,,0.00063537,,,,,,
3.23E-06,,,,0.00062879,,,,,,
3.25E-06,,,,0.00064858,,,,,,
3.24E-06,,,,0.00067878,,,,,,
3.44E-06,,,,0.00064392,,,,,,
3.47E-06,,,,0.00066161,,,,,,
3.63E-06,,,,0.0006402,,,,,,
3.72E-06,,,,0.00064143,,,,,,
3.89E-06,,,,0.00062248,,,,,,
3.86E-06,,,,0.00065911,,,,,,
4.03E-06,,,,0.00064265,,,,,,
4.00E-06,,,,0.00068049,,,,,,
4.13E-06,,,,0.00067635,,,,,,
4.22E-06,,,,0.00068316,,,,,,
4.28E-06,,,,0.00069817,,,,,,
4.50E-06,,,,0.0006691,,,,,,
4.56E-06,,,,0.00068639,,,,,,
4.59E-06,,,,0.00071398,,,,,,
4.77E-06,,,,0.00070168,,,,,,
4.91E-06,,,,0.00069934,,,,,,
5.05E-06,,,,0.00069896,,,,,,
5.24E-06,,,,0.00068753,,,,,,
5.28E-06,,,,0.00071461,,,,,,
5.66E-06,,,,0.00066036,,,,,,
5.55E-06,,,,0.00072575,,,,,,
5.86E-06,,,,0.0006894,,,,,,
5.93E-06,,,,0.00071205,,,,,,
6.26E-06,,,,0.00067902,,,,,,
6.38E-06,,,,0.00069133,,,,,,
6.71E-06,,,,0.00066256,,,,,,
6.80E-06,,,,0.00068492,,,,,,
7.11E-06,,,,0.00066245,,,,,,
7.22E-06,,,,0.00068214,,,,,,
7.38E-06,,,,0.00069322,,,,,,
7.53E-06,,,,0.00070836,,,,,,
7.90E-06,,,,0.00068133,,,,,,
8.13E-06,,,,0.00068337,,,,,,
8.32E-06,,,,0.00069431,,,,,,
8.54E-06,,,,0.00070135,,,,,,
8.95E-06,,,,0.00067574,,,,,,
9.16E-06,,,,0.00068851,,,,,,
9.46E-06,,,,0.00068555,,,,,,
9.79E-06,,,,0.00068068,,,,,,
1.01E-05,,,,0.00067273,,,,,,
1.04E-05,,,,0.00067689,,,,,,
1.08E-05,,,,0.00066992,,,,,,
1.12E-05,,,,0.00067078,,,,,,
1.18E-05,,,,0.00063679,,,,,,
1.21E-05,,,,0.00064123,,,,,,
1.25E-05,,,,0.00064159,,,,,,
1.29E-05,,,,0.00063856,,,,,,
1.35E-05,,,,0.00064363,,,,,,
1.39E-05,,,,0.0006456,,,,,,
1.45E-05,,,,0.00062795,,,,,,
1.52E-05,,,,0.00060971,,,,,,
1.56E-05,,,,0.0006198,,,,,,
1.64E-05,,,,0.00067011,,,,,,
1.69E-05,,,,0.00067361,,,,,,
1.78E-05,,,,0.00063439,,,,,,
1.88E-05,,,,0.00059172,,,,,,
1.92E-05,,,,0.00062371,,,,,,
2.01E-05,,,,0.0005915,,,,,,
2.12E-05,,,,0.00061493,,,,,,
2.19E-05,,,,0.00061551,,,,,,
2.29E-05,,,,0.00059717,,,,,,
2.38E-05,,,,0.00070269,,,,,,
2.50E-05,,,,0.00067489,,,,,,
2.62E-05,,,,0.00064859,,,,,,
2.77E-05,,,,0.00059209,,,,,,
2.86E-05,,,,0.00060127,,,,,,
2.98E-05,,,,0.00062048,,,,,,
3.11E-05,,,,0.00060852,,,,,,
3.25E-05,,,,0.00065251,,,,,,
3.41E-05,,,,0.00062346,,,,,,
3.57E-05,,,,0.00060169,,,,,,
3.72E-05,,,,0.00059041,,,,,,
3.92E-05,,,,0.00065335,,,,,,
4.13E-05,,,,0.0006124,,,,,,
4.30E-05,,,,0.00060832,,,,,,
4.48E-05,,,,0.00059646,,,,,,
4.73E-05,,,,0.00062395,,,,,,
4.91E-05,,,,0.0006305,,,,,,
5.12E-05,,,,0.00071256,,,,,,
5.39E-05,,,,0.00067303,,,,,,
5.60E-05,,,,0.00067576,,,,,,
5.86E-05,,,,0.00066463,,,,,,
6.11E-05,,,,0.00065924,,,,,,
6.40E-05,,,,0.00064203,,,,,,
6.65E-05,,,,0.00065613,,,,,,
6.99E-05,,,,0.00062781,,,,,,
7.25E-05,,,,0.00064834,,,,,,
7.58E-05,,,,0.00064396,,,,,,
7.92E-05,,,,0.00064407,,,,,,
8.23E-05,,,,0.00066962,,,,,,
8.59E-05,,,,0.00068089,,,,,,
8.97E-05,,,,0.00068693,,,,,,
9.36E-05,,,,0.00070059,,,,,,
9.72E-05,,,,0.00063597,,,,,,
