intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
1539,0.1264,1768,1666,1696,1690,1638,1638,1563,1453
1539,0,1743,1725,1764,1691,1639,1649,1574,1444
1533,0.3734,1786,1711,1749,1726,1660,1707,1597,1498
1573,0.0488,1798,1765,1787,1713,1702,1706,1595,1523
1577,0.397,1825,1790,1806,1761,1702,1696,1632,1572
1593,0.1378,1827,1786,1784,1738,1700,1715,1613,1551
1603,0.4256,1875,1814,1863,1766,1719,1767,1672,1606
1623,0.2846,1885,1834,1852,1780,1797,1763,1666,1585
1592,0.6316,1893,1814,1831,1840,1786,1794,1703,1654
1641,0.3291,1900,1843,1928,1835,1769,1841,1706,1626
1655,0.3644,1980,1919,1922,1873,1789,1817,1720,1675
1686,0.2124,1968,1928,1972,1856,1878,1885,1749,1698
1645,0.7958,1989,1928,1959,1891,1833,1873,1741,1710
1704,0.5862,2022,1960,1995,1933,1909,1910,1837,1738
1728,0.3352,2032,1965,2032,1942,1901,1926,1802,1784
1763,0.4835,2118,2053,2006,1992,1926,1953,1843,1761
1743,0.6532,2102,2006,2040,1990,1937,1979,1871,1858
1762,0.6613,2090,2096,2093,2044,1948,2024,1862,1851
1789,0.624,2198,2084,2067,2094,1993,2044,1936,1869
1814,0.6512,2170,2109,2112,2068,2024,2120,1920,1933
1821,0.6871,2239,2153,2171,2105,2067,2093,1993,1949
1879,0.5378,2235,2162,2195,2124,2078,2149,2010,2003
1863,0.7579,2247,2178,2245,2169,2128,2158,2019,1990
1882,0.8238,2348,2209,2238,2205,2122,2178,2066,2050
1953,0.6599,2336,2272,2250,2200,2141,2233,2093,2065
1947,0.7902,2359,2303,2291,2294,2175,2296,2125,2119
1985,0.8078,2396,2306,2339,2284,2234,2273,2130,2144
2015,0.7781,2462,2331,2356,2365,2217,2330,2177,2205
2053,0.6617,2474,2364,2385,2330,2286,2355,2176,2202
2087,0.7728,2517,2381,2447,2404,2312,2408,2245,2275
2126,1,2547,2391,2484,2435,2358,2420,2266,2284
2142,0.8128,2604,2465,2510,2460,2356,2468,2311,2344
2177,0.8266,2632,2513,2526,2500,2425,2553,2355,2375
2208,0.9281,2629,2515,2554,2517,2443,2571,2431,2433
2258,0.8162,2701,2585,2655,2606,2492,2633,2445,2495
2303,0.8643,2768,2627,2589,2652,2536,2677,2470,2513
2318,0.8621,2758,2618,2686,2695,2543,2693,2560,2574
2402,0.7727,2858,2662,2731,2693,2602,2740,2543,2644
2449,0.7549,2943,2759,2806,2814,2699,2803,2630,2735
2483,0.86,2915,2739,2812,2790,2704,2828,2689,2693
2490,0.9438,2981,2782,2867,2856,2707,2863,2703,2767
2588,0.7927,3014,2876,2878,2886,2803,2938,2761,2838
2615,0.8846,3083,2840,2918,2942,2811,2969,2783,2883
2723,0.7552,3109,2921,2996,3005,2880,3041,2857,2963
2753,0.8614,3184,2948,3036,3071,2893,3056,2902,3008
2849,0.5966,3238,3013,3099,3121,2952,3143,2963,3070
2838,0.8254,3299,3057,3173,3190,3006,3179,3042,3115
2956,0.7628,3371,3127,3225,3289,3049,3189,3060,3201
3022,0.7949,3427,3144,3250,3333,3090,3296,3137,3236
3175,0.462,3535,3256,3321,3365,3128,3311,3146,3323
3217,0.5248,3585,3311,3399,3430,3193,3466,3240,3479
