intensity,750,800,850,ua,left,right,ctr
2006,1880,1924,1855,0.0988,2061,2071,2006
1932,1831,1898,1873,0.1476,2004,2051,1932
1964,1852,1876,1848,0.0139,2002,2047,1964
1922,1791,1856,1785,0.0533,1985,1972,1922
1924,1813,1823,1791,0,1976,1953,1924
1864,1737,1811,1812,0.1556,1910,1902,1864
60084,60776,60080,60604,0.1023,,,
57757,58673,57868,58630,0.0788,,,
55771,56927,55815,56744,0.0437,,,
53691,54925,53778,54867,0.0235,,,
51637,52780,51854,52699,0.0113,,,
49609,50688,49827,50775,0.0067,,,
47660,48811,47901,48783,0.0032,,,
45848,46855,45918,46910,0,,,
43911,44934,44312,45013,0.0105,,,
42163,43247,42503,43312,0.0142,,,
40600,41596,40858,41695,0.012,,,
38929,39801,39207,39913,0.0259,,,
37254,38150,37680,38305,0.0442,,,
35812,36631,36127,36755,0.0521,,,
34367,35217,34738,35516,0.0627,,,
32903,33733,33252,33931,0.083,,,
31743,32460,32019,32512,0.0806,,,
30418,31156,30729,31368,0.1042,,,
29145,29902,29413,30120,0.1182,,,
27976,28695,28280,28920,0.1422,,,
27010,27658,27290,27793,0.1426,,,
25830,26381,26015,26522,0.1745,,,
24772,25415,24996,25531,0.1954,,,
23842,24271,23980,24560,0.2102,,,
22814,23234,23035,23575,0.2339,,,
21874,22413,22092,22756,0.2597,,,
21087,21371,21244,21584,0.2662,,,
20171,20550,20326,20733,0.3064,,,
19518,19870,19514,20081,0.3036,,,
18675,19121,18720,19259,0.3307,,,
17818,18192,17953,18429,0.374,,,
17131,17475,17248,17703,0.3964,,,
16369,16712,16618,17046,0.4362,,,
15781,16088,15922,16240,0.4517,,,
15183,15503,15320,15698,0.46,,,
14571,14831,14645,15046,0.4917,,,
14042,14286,14151,14521,0.511,,,
13496,13686,13574,13962,0.5332,,,
13220,13333,13173,13623,0.5003,,,
12367,12618,12539,12817,0.6131,,,
11961,12156,12062,12307,0.6179,,,
11466,11601,11645,11834,0.6452,,,
11011,11163,11224,11464,0.6796,,,
10680,10726,10802,10943,0.6806,,,
10241,10382,10401,10603,0.7153,,,
9824,9979,9951,10164,0.7448,,,
9584,9631,9681,9797,0.7357,,,
9144,9259,9289,9452,0.7767,,,
8885,8954,8955,9146,0.7847,,,
8529,8620,8643,8843,0.8131,,,
8199,8327,8404,8557,0.8422,,,
7993,8015,8056,8176,0.8455,,,
7750,7713,7834,7952,0.8521,,,
7466,7527,7575,7667,0.8671,,,
7248,7215,7295,7470,0.8773,,,
7022,6990,7102,7220,0.8759,,,
6832,6761,6882,6959,0.8818,,,
6590,6566,6624,6750,0.9121,,,
6386,6327,6460,6535,0.9269,,,
6182,6210,6303,6343,0.9436,,,
6020,5993,6091,6124,0.9383,,,
5865,5830,5902,5965,0.9398,,,
5675,5676,5750,5864,0.9479,,,
5557,5498,5543,5658,0.9304,,,
5410,5353,5415,5458,0.9438,,,
5282,5179,5286,5297,0.9367,,,
5094,5061,5133,5153,0.9719,,,
4998,4894,4986,4996,0.9689,,,
4862,4756,4844,4895,0.9833,,,
4747,4638,4740,4763,0.9817,,,
4591,4490,4609,4635,0.973,,,
4477,4365,4514,4491,0.9657,,,
4358,4280,4407,4439,1,,,
4332,4160,4317,4327,0.9606,,,
4196,4059,4241,4216,0.9896,,,
4166,4016,4094,4087,0.9696,,,
4015,3905,4035,3970,0.9706,,,
3971,3816,3936,3899,0.9431,,,
3881,3708,3819,3824,0.9644,,,
3788,3632,3769,3732,0.9624,,,
3710,3593,3658,3678,0.9608,,,
3611,3482,3601,3588,0.9719,,,
3576,3388,3559,3515,0.9376,,,
3586,3333,3448,3456,0.9031,,,
3454,3316,3397,3391,0.9141,,,
3368,3242,3318,3320,0.9534,,,
3312,3119,3260,3224,0.9336,,,
3246,3101,3204,3214,0.9189,,,
3190,3066,3195,3145,0.9125,,,
3125,2994,3099,3055,0.9221,,,
3115,2917,3064,3039,0.8851,,,
3073,2876,2998,2977,0.8932,,,
3006,2839,2955,2925,0.8738,,,
2969,2779,2837,2835,0.8815,,,
2931,2736,2851,2799,0.8703,,,
2892,2700,2760,2758,0.8574,,,
2814,2626,2730,2698,0.8703,,,
2785,2607,2761,2716,0.8428,,,
2791,2604,2714,2651,0.8092,,,
2682,2537,2627,2582,0.8631,,,
2679,2469,2601,2547,0.8314,,,
2638,2455,2560,2514,0.8287,,,
2628,2418,2511,2480,0.795,,,
2599,2331,2490,2448,0.778,,,
2513,2350,2438,2407,0.8193,,,
2496,2318,2449,2370,0.821,,,
2481,2339,2382,2349,0.7748,,,
2444,2293,2369,2308,0.7661,,,
2417,2232,2349,2290,0.7721,,,
2357,2215,2311,2264,0.7672,,,
2366,2222,2279,2290,0.7355,,,
2329,2171,2260,2224,0.7402,,,
2300,2148,2217,2167,0.7355,,,
2258,2117,2176,2155,0.7456,,,
2227,2062,2172,2117,0.7483,,,
2182,2050,2135,2095,0.7702,,,
