intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
62114,0.2654,45933,45695,45694,47301,46444,46768,48051,46904,43889,45499
59827,0.2654,44409,44083,44513,45821,44975,45311,46515,45503,42605,44160
57844,0.2654,42789,42768,43118,44371,43558,44068,44959,43938,41460,42610
55736,0.2654,41486,41417,41987,42960,42256,42553,43635,42742,40265,41457
53660,0.2654,40049,40065,40559,41534,40719,41244,42160,41298,38988,39879
51755,0.2654,38715,38750,39262,40305,39443,39923,40744,39885,37714,38661
49887,0.2654,37224,37603,37970,38938,38212,38737,39429,38495,36542,37259
48131,0.2654,35996,36418,36701,37624,36981,37505,38101,37252,35481,36017
46295,0.2654,34715,35043,35410,36403,35720,36216,36854,35988,34281,34875
44680,0.2654,33474,34005,34372,35125,34628,34990,35583,34804,33253,33670
43007,0.2654,32353,32963,33257,33962,33548,33868,34395,33541,32311,32565
41319,0.2654,31264,31835,32090,32787,32453,32898,33197,32251,31151,31428
39715,0.2654,30065,30904,30937,31607,31311,31717,32242,31196,30092,30526
38314,0.2654,29199,29988,29871,30623,30384,30681,31147,30052,29254,29479
36967,0.2654,28214,29179,29011,29640,29498,29817,30218,29046,28284,28511
35450,0.2654,27211,28234,27956,28519,28538,28750,29170,28135,27414,27482
34143,0.2654,26342,27368,27111,27532,27626,27852,28382,27112,26486,26637
32981,0.2654,25465,26626,26104,26569,26776,27042,27444,26041,25735,25809
31735,0.2654,24697,25795,25314,25671,25980,26133,26672,25285,24835,25004
30638,0.2654,23893,25066,24476,24837,25244,25431,25817,24522,24153,24144
29632,0.2654,23139,24411,23730,23964,24528,24689,25010,23732,23419,23481
28487,0.2654,22489,23625,22890,23085,23640,23851,24304,23086,22644,22691
27379,0.2654,21778,22905,22112,22262,23031,23218,23554,22296,22027,21870
26454,0.2654,21082,22299,21425,21532,22350,22379,22885,21636,21331,21253
25477,0.2654,20338,21576,20604,20763,21599,21733,22226,21068,20659,20701
24609,0.2654,19791,21005,20094,20011,20966,21076,21560,20439,20038,20058
23740,0.2654,19135,20329,19437,19311,20310,20311,20902,19794,19319,19448
22822,0.2654,18619,19701,18785,18591,19687,19726,20304,19298,18915,18843
22083,0.4807,18092,19142,18281,17974,19262,19267,19824,18746,18350,18355
21247,0.4905,17592,18698,17678,17494,18586,18593,19309,18420,17813,17803
20479,0.5008,17011,18046,17173,16862,17966,18032,18737,17791,17151,17209
19755,0.4572,16551,17510,16650,16217,17482,17484,18153,17364,16720,16640
19075,0.4351,15982,16952,16020,15725,16963,16949,17656,17016,16201,16213
18361,0.4492,15551,16407,15534,15164,16442,16435,17121,16553,15722,15668
17791,0.3957,15146,16086,15219,14834,15987,15920,16837,16208,15328,15342
17076,0.4381,14727,15494,14679,14147,15457,15504,16375,15678,14900,14802
16594,0.3612,14283,15059,14317,13785,15118,15064,15977,15448,14432,14446
15949,0.3969,13933,14629,13847,13320,14574,14571,15427,15039,14054,13966
15730,0.2221,13903,14501,13812,13236,14503,14479,15435,15022,13980,13953
14815,0.4207,13246,13719,13064,12502,13682,13666,14585,14364,13267,13250
14316,0.4025,12862,13308,12673,12089,13325,13282,14183,13925,12853,12827
13756,0.4416,12504,12908,12345,11760,12911,12860,13797,13613,12506,12431
13234,0.472,12161,12530,11984,11348,12532,12493,13526,13318,12171,12075
12847,0.4428,11743,12130,11677,11017,12145,12247,13099,13022,11820,11783
12400,0.4556,11573,11794,11382,10712,11807,11742,12774,12731,11520,11427
11982,0.4268,11243,11414,11055,10398,11498,11492,12458,12381,11201,11093
11561,0.444,11003,11164,10794,10148,11145,11116,12099,12081,10954,10765
11115,0.5083,10618,10755,10414,9742,10799,10781,11736,11809,10590,10472
10825,0.4665,10415,10540,10209,9578,10583,10582,11465,11581,10389,10225
10443,0.4611,10121,10282,9889,9328,10253,10159,11151,11296,10057,9986
10178,0.4066,9847,9928,9582,8973,10025,9903,10900,11079,9899,9712
9780,0.4817,9635,9633,9435,8740,9651,9676,10574,10744,9558,9389
9448,0.501,9402,9381,9125,8578,9466,9396,10298,10537,9336,9203
9153,0.5124,9225,9159,8953,8266,9208,9067,10064,10305,9194,8931
8891,0.4762,8943,8889,8663,8057,8908,8907,9745,9983,8879,8714
8503,0.5691,8727,8632,8477,7863,8677,8623,9518,9799,8676,8469
8299,0.4988,8599,8373,8268,7676,8478,8407,9260,9553,8478,8254
8025,0.5476,8325,8146,8007,7392,8232,8215,8992,9320,8295,8005
7765,0.5595,8180,7994,7792,7231,8047,7931,8765,9147,8073,7778
7517,0.5498,7833,7708,7569,7049,7824,7780,8544,8866,7842,7622
7276,0.5866,7780,7524,7317,6824,7653,7529,8324,8705,7648,7450
7054,0.5755,7556,7282,7155,6680,7438,7343,8147,8505,7484,7267
6876,0.5767,7423,7142,6957,6515,7262,7164,7918,8283,7348,7105
6643,0.5667,7235,6987,6807,6342,6994,6989,7701,8108,7105,6902
6415,0.64,7048,6755,6551,6151,6896,6818,7545,7963,6943,6735
6218,0.6125,6900,6637,6357,6016,6703,6623,7312,7718,6805,6580
5942,0.7416,6751,6413,6201,5875,6510,6475,7152,7497,6668,6356
5837,0.673,6558,6256,6071,5644,6375,6298,6968,7415,6534,6242
5589,0.7955,6442,6115,5862,5588,6248,6165,6809,7181,6308,6133
5450,0.7686,6259,5987,5713,5371,6082,6035,6577,7011,6172,5976
5326,0.7487,6093,5858,5557,5251,5951,5888,6429,6875,6020,5827
5153,0.759,5978,5713,5408,5140,5803,5769,6282,6727,5853,5620
4956,0.8547,5830,5555,5244,5082,5626,5623,6198,6532,5759,5534
4828,0.8183,5682,5458,5105,4890,5536,5502,6018,6387,5613,5431
4670,0.9132,5581,5325,4981,4758,5410,5414,5822,6250,5572,5270
4578,0.8548,5403,5177,4817,4671,5247,5241,5724,6102,5380,5169
4433,0.8623,5323,5053,4756,4577,5134,5123,5568,5981,5229,5049
4308,0.9162,5192,4964,4621,4475,5023,5075,5424,5842,5139,4970
4209,0.8745,5093,4853,4448,4366,4932,4969,5347,5722,5056,4827
4072,0.9805,5009,4743,4361,4279,4796,4871,5214,5594,4931,4732
4021,0.8305,4902,4620,4282,4179,4714,4781,5111,5450,4770,4693
3873,1,4775,4547,4202,4052,4605,4658,5027,5315,4708,4562
3768,0.9212,4647,4437,4048,3956,4516,4579,4883,5276,4622,4440
3687,0.9307,4534,4393,4013,3865,4395,4435,4758,5100,4529,4369
3623,0.8828,4460,4257,3864,3824,4346,4405,4683,5030,4449,4184
