pixel,reflectance1,reflectance2,absorption1,absorption2,side,mm
79,5.66E-06,1.75E-05,0.869896853,0.18234804,1,
80,5.36E-06,1.80E-05,0.974426872,0.203794899,1,
81,5.35E-06,1.88E-05,0.834486868,0.143584876,1,
82,5.00E-06,1.94E-05,1,0.193022088,1,
83,4.92E-06,2.01E-05,0.928075998,0.185703588,1,
84,4.75E-06,2.10E-05,0.940279092,0.105780297,1,
85,4.65E-06,2.18E-05,0.897223491,0.112757546,1,
86,4.46E-06,2.24E-05,0.941340677,0.155710391,1,
87,4.32E-06,2.31E-05,0.941450754,0.190619358,1,
88,4.31E-06,2.42E-05,0.810469639,0.104251178,1,
89,4.05E-06,2.52E-05,0.94941728,0.069131604,1,
90,4.02E-06,2.62E-05,0.841073194,0.053301535,1,
91,3.83E-06,2.71E-05,0.91342481,0.066544394,1,
92,3.75E-06,2.81E-05,0.874632783,0.060275377,1,
93,3.70E-06,2.94E-05,0.795217877,0,1,
94,3.47E-06,3.03E-05,0.938303246,0.062326026,1,
95,3.44E-06,3.11E-05,0.844861592,0.062326026,1,
96,3.35E-06,3.24E-05,0.829081391,0.062326026,1,
97,3.24E-06,3.35E-05,0.840115597,0.062326026,1,
98,3.23E-06,3.48E-05,0.718283646,0.062326026,1,
99,3.09E-06,3.63E-05,0.776097005,0.062326026,1,
100,2.98E-06,3.73E-05,0.802462132,0.062326026,1,
101,2.97E-06,3.87E-05,0.692120761,0.062326026,1,
102,2.86E-06,4.01E-05,0.720669944,0.062326026,1,
103,2.78E-06,4.15E-05,0.715948494,0.062326026,1,
104,2.74E-06,4.32E-05,0.654451325,0.062326026,1,
105,2.67E-06,4.49E-05,0.634758946,0.062326026,1,
106,2.59E-06,4.65E-05,0.634570354,0.062326026,1,
107,2.56E-06,4.81E-05,0.571631877,0.062326026,1,
108,2.58E-06,5.03E-05,0.419768952,0.062326026,1,
109,2.43E-06,5.18E-05,0.541981113,0.062326026,1,
110,2.35E-06,5.38E-05,0.561336297,0.062326026,1,
111,2.29E-06,5.58E-05,0.549196699,0.062326026,1,
112,2.35E-06,5.81E-05,0.327481833,0.062326026,1,
113,2.22E-06,6.03E-05,0.441239881,0.062326026,1,
114,2.12E-06,6.25E-05,0.496976553,0.062326026,1,
115,2.10E-06,6.47E-05,0.432530167,0.062326026,1,
116,2.13E-06,6.72E-05,0.254860997,0.062326026,1,
117,2.02E-06,6.98E-05,0.35084479,0.062326026,1,
118,2.00E-06,7.22E-05,0.278038976,0.062326026,1,
119,1.92E-06,7.49E-05,0.321267798,0.062326026,1,
120,1.91E-06,7.78E-05,0.234505393,0.062326026,1,
121,1.88E-06,8.08E-05,0.197254605,0.062326026,1,
122,1.86E-06,8.38E-05,0.140855002,0.062326026,1,
123,1.81E-06,8.72E-05,0.131989091,0.062326026,1,
124,1.73E-06,9.06E-05,0.184658978,0.062326026,1,
125,1.75E-06,9.35E-05,0.03805033,0.062326026,1,
126,1.69E-06,9.68E-05,0.080807696,0.062326026,1,
127,1.67E-06,0.000100745,0.021548522,0.062326026,1,
128,1.55E-06,0.00010364,0.191700424,0.062326026,1,
