intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
6189,0.407,3449,2266,2986,3489,3416,3962,4182,4349,3463,4057,4319,5124
6380,0.3867,3556,2345,3049,3595,3471,4039,4212,4472,3597,4166,4475,5244
6621,0.2974,3662,2432,3209,3658,3576,4189,4431,4612,3654,4329,4652,5477
6846,0.3023,3796,2527,3313,3779,3718,4271,4529,4767,3758,4473,4819,5619
7008,0.3449,3938,2618,3439,3896,3820,4322,4670,4888,3861,4675,4932,5735
7234,0.3806,4056,2712,3500,4020,3960,4519,4815,5043,3976,4706,5081,5929
7471,0.3215,4211,2817,3685,4127,4038,4617,4958,5183,4097,4890,5265,6109
7703,0.3909,4330,2944,3796,4270,4090,4753,5105,5414,4211,5044,5425,6282
7892,0.3943,4526,3069,3883,4401,4240,4918,5319,5515,4341,5273,5625,6466
8240,0.3127,4627,3153,4077,4541,4370,5118,5459,5749,4459,5376,5812,6730
8490,0.3336,4815,3325,4187,4680,4513,5159,5687,5936,4597,5624,5965,6920
8732,0.3977,4992,3482,4397,4804,4638,5341,5841,6094,4678,5787,6178,7101
8979,0.4533,5110,3636,4514,4966,4724,5489,6050,6311,4811,5959,6420,7293
9333,0.3647,5262,3810,4672,5112,4866,5660,6203,6499,5013,6175,6654,7575
9705,0.3376,5552,3999,4851,5327,5083,5835,6450,6799,5151,6471,6869,7811
10047,0.3339,5714,4189,5083,5450,5253,5967,6715,7091,5369,6720,7143,8146
10365,0.3656,5865,4388,5223,5595,5359,6151,6916,7192,5456,6871,7298,8364
10723,0.3745,6035,4605,5408,5794,5464,6329,7147,7440,5649,7138,7605,8601
11145,0.0715,6327,4867,5658,6022,5691,6534,7373,7809,5841,7415,7858,8914
11457,0.0715,6496,5099,5861,6185,5885,6719,7662,8016,6058,7625,8141,9201
11754,0.0715,6746,5335,6082,6344,6018,6971,7877,8303,6259,8041,8389,9470
12188,0.0715,7005,5586,6265,6628,6259,7225,8245,8603,6435,8284,8662,9840
12552,0.0715,7183,5891,6607,6797,6460,7418,8525,8919,6683,8627,8973,10133
13019,0.0715,7452,6214,6837,7028,6715,7675,8879,9354,6941,8975,9311,10639
13557,0.0715,7812,6515,7103,7296,6942,7946,9131,9637,7189,9300,9715,10960
13916,0.0715,7973,6828,7311,7571,7087,8118,9382,9880,7430,9632,9958,11182
14376,0.0715,8283,7082,7602,7773,7342,8362,9752,10275,7675,9959,10330,11608
14859,0.0715,8547,7353,7910,7966,7582,8662,10075,10608,7886,10354,10637,11982
15360,0.0715,8889,7791,8218,8293,7921,8984,10461,11067,8221,10770,11018,12380
15926,0.0715,9168,8207,8566,8612,8123,9292,10838,11420,8497,11207,11441,12859
16525,0.0715,9428,8560,8824,8877,8464,9615,11251,11816,8804,11618,11862,13338
17102,0.0715,9873,8927,9234,9240,8735,9909,11655,12296,9194,12009,12346,13728
17639,0.0715,10272,9345,9668,9602,9075,10431,11982,12829,9456,12555,12802,14275
18374,0.0715,10654,9818,10103,10056,9423,10788,12462,13339,9952,13047,13331,14779
18936,0.0715,11026,10440,10450,10432,9799,11149,12931,13800,10204,13502,13841,15313
19605,0.0715,11446,10840,10935,10795,10159,11521,13347,14305,10636,14021,14400,15874
20333,0.0715,11901,11388,11478,11292,10618,11974,13805,14950,11052,14656,14952,16572
21100,0.0715,12399,11877,11818,11750,10946,12467,14311,15525,11407,15165,15501,16994
21842,0.0715,12813,12401,12277,12186,11288,12981,14808,16048,11894,15791,16144,17644
22651,0.0715,13327,13017,12850,12738,11690,13438,15386,16764,12312,16362,16799,18245
23406,0.0715,13924,13653,13323,13275,12233,13914,15947,17384,12701,16913,17342,18978
24263,0.0715,14504,14347,13914,13914,12647,14493,16522,18137,13279,17726,18249,19623
25174,0.0715,15063,14993,14522,14403,13070,15046,17097,18857,13707,18391,18863,20392
25998,0.0715,15719,15703,15204,15144,13614,15710,17814,19644,14240,19177,19592,21145
26958,0.0715,16320,16310,15866,15743,14065,16172,18401,20414,14897,19938,20407,21870
27954,0.0715,17017,17106,16568,16575,14678,16928,19052,21313,15466,20817,21131,22728
28996,0.0715,17713,17968,17329,17186,15163,17511,19798,22195,16067,21646,21942,23524
30017,0.0715,18496,18734,18020,18072,15741,18224,20602,23101,16735,22512,22887,24458
31219,0.0715,19315,19669,18952,18917,16284,18981,21418,24175,17416,23565,23786,25421
32349,0.0715,20161,20534,19792,19770,16998,19688,22173,25125,18034,24510,24809,26349
33395,0.0715,20931,21442,20642,20671,17499,20425,22999,26212,18849,25490,25530,27277
34536,0.0715,21799,22272,21639,21550,18235,21259,23813,27131,19577,26471,26461,28259
35904,0.0715,22807,23308,22524,22510,18926,22153,24808,28405,20443,27634,27459,29416
36917,0.0715,23835,24330,23637,23569,19653,23000,25856,29436,21288,28701,28376,30455
1540,0.6233,,,,,,,,,,,,
1573,0.2331,,,,,,,,,,,,
1584,0.3282,,,,,,,,,,,,
1625,0.1073,,,,,,,,,,,,
1626,0.1738,,,,,,,,,,,,
1630,0.275,,,,,,,,,,,,
1670,0.106,,,,,,,,,,,,
1694,0.238,,,,,,,,,,,,
1709,0.1257,,,,,,,,,,,,
1736,0.0333,,,,,,,,,,,,
1753,0.1485,,,,,,,,,,,,
1786,0.1463,,,,,,,,,,,,
1771,0.1889,,,,,,,,,,,,
1847,0.0283,,,,,,,,,,,,
1864,0.9924,,,,,,,,,,,,
1887,0.9067,,,,,,,,,,,,
1902,0.9629,,,,,,,,,,,,
1946,0.9912,,,,,,,,,,,,
1985,0.5944,,,,,,,,,,,,
2015,0.864,,,,,,,,,,,,
2023,1,,,,,,,,,,,,
2115,0.7536,,,,,,,,,,,,
2134,0.754,,,,,,,,,,,,
2150,0.917,,,,,,,,,,,,
2226,0.518,,,,,,,,,,,,
2243,0.6045,,,,,,,,,,,,
2291,0.4928,,,,,,,,,,,,
2341,0.6054,,,,,,,,,,,,
2375,0.5726,,,,,,,,,,,,
2432,0.5595,,,,,,,,,,,,
2511,0.4365,,,,,,,,,,,,
2549,0.4899,,,,,,,,,,,,
2560,0.5996,,,,,,,,,,,,
2673,0.4156,,,,,,,,,,,,
2708,0.268,,,,,,,,,,,,
2756,0.3237,,,,,,,,,,,,
2816,0.3356,,,,,,,,,,,,
2827,0.4148,,,,,,,,,,,,
3020,0,,,,,,,,,,,,
3001,0.2795,,,,,,,,,,,,
3062,0.7828,,,,,,,,,,,,
3153,0.6075,,,,,,,,,,,,
3188,0.7257,,,,,,,,,,,,
3267,0.676,,,,,,,,,,,,
3353,0.6098,,,,,,,,,,,,
3385,0.6522,,,,,,,,,,,,
3491,0.5937,,,,,,,,,,,,
3589,0.4438,,,,,,,,,,,,
3657,0.5213,,,,,,,,,,,,
3739,0.459,,,,,,,,,,,,
3860,0.3469,,,,,,,,,,,,
3956,0.3849,,,,,,,,,,,,
4011,0.4361,,,,,,,,,,,,
4112,0.2178,,,,,,,,,,,,
4218,0.2056,,,,,,,,,,,,
4301,0.6432,,,,,,,,,,,,
4413,0.6359,,,,,,,,,,,,
4518,0.6457,,,,,,,,,,,,
4616,0.6596,,,,,,,,,,,,
4706,0.6878,,,,,,,,,,,,
4848,0.5942,,,,,,,,,,,,
4992,0.5387,,,,,,,,,,,,
5119,0.4745,,,,,,,,,,,,
5235,0.4646,,,,,,,,,,,,
5327,0.5561,,,,,,,,,,,,
5498,0.4673,,,,,,,,,,,,
5659,0.434,,,,,,,,,,,,
5758,0.5363,,,,,,,,,,,,
5894,0.5611,,,,,,,,,,,,
6083,0.4874,,,,,,,,,,,,
6205,0.4411,,,,,,,,,,,,
6431,0.31,,,,,,,,,,,,
6542,0.4528,,,,,,,,,,,,
6721,0.4542,,,,,,,,,,,,
6947,0.3919,,,,,,,,,,,,
7067,0.5287,,,,,,,,,,,,
7342,0.3245,,,,,,,,,,,,
7508,0.3703,,,,,,,,,,,,
7716,0.4018,,,,,,,,,,,,
7929,0.3817,,,,,,,,,,,,
8116,0.4231,,,,,,,,,,,,
8417,0.3217,,,,,,,,,,,,
8576,0.4095,,,,,,,,,,,,
8870,0.3932,,,,,,,,,,,,
9124,0.3401,,,,,,,,,,,,
9336,0.4439,,,,,,,,,,,,
9645,0.386,,,,,,,,,,,,
9908,0.3893,,,,,,,,,,,,
10275,0.3114,,,,,,,,,,,,
10621,0.2822,,,,,,,,,,,,
10889,0.3452,,,,,,,,,,,,
11240,0.3566,,,,,,,,,,,,
11569,0.3429,,,,,,,,,,,,
11943,0.3603,,,,,,,,,,,,
12317,0.3675,,,,,,,,,,,,
12670,0.4065,,,,,,,,,,,,
13099,0.3773,,,,,,,,,,,,
13685,0.224,,,,,,,,,,,,
14144,0.2317,,,,,,,,,,,,
14495,0.3346,,,,,,,,,,,,
14951,0.3708,,,,,,,,,,,,
15373,0.447,,,,,,,,,,,,
15896,0.4519,,,,,,,,,,,,
16499,0.4085,,,,,,,,,,,,
16999,0.4738,,,,,,,,,,,,
17628,0.4758,,,,,,,,,,,,
18278,0.4467,,,,,,,,,,,,
18844,0.5179,,,,,,,,,,,,
19474,0.5806,,,,,,,,,,,,
20188,0.5694,,,,,,,,,,,,
20967,0.5677,,,,,,,,,,,,
21576,0.303,,,,,,,,,,,,
22365,0.3304,,,,,,,,,,,,
23048,0.4555,,,,,,,,,,,,
23857,0.5245,,,,,,,,,,,,
24798,0.33,,,,,,,,,,,,
25656,0.4261,,,,,,,,,,,,
26464,0.5717,,,,,,,,,,,,
27449,0.4055,,,,,,,,,,,,
28476,0.4901,,,,,,,,,,,,
29329,0.4872,,,,,,,,,,,,
30415,0.5802,,,,,,,,,,,,
31570,0.6795,,,,,,,,,,,,
32700,0.3807,,,,,,,,,,,,
33797,0.3342,,,,,,,,,,,,
34997,0.5185,,,,,,,,,,,,
36218,0.3638,,,,,,,,,,,,
37528,0.5362,,,,,,,,,,,,
1546,0.1823,,,,,,,,,,,,
1561,0.0997,,,,,,,,,,,,
1614,0,,,,,,,,,,,,
1557,0.4951,,,,,,,,,,,,
1589,0.5479,,,,,,,,,,,,
