intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
5153,0.759,2239,1461,1725,2210,3006,3184,3532,3811,4259,4839,4700,4911
4956,0.8547,2216,1445,1682,2182,2901,3093,3410,3666,4125,4761,4571,4791
4828,0.8183,2199,1403,1679,2058,2801,3026,3326,3649,3986,4602,4474,4681
4670,0.9132,2118,1378,1615,2032,2718,2944,3261,3551,3898,4496,4370,4587
4578,0.8548,2087,1299,1587,1988,2635,2873,3161,3430,3745,4332,4188,4466
4433,0.8623,2061,1293,1590,1945,2642,2788,3108,3328,3658,4201,4131,4359
4308,0.9162,1977,1309,1551,1941,2530,2691,3003,3250,3591,4069,3969,4245
4209,0.8745,1951,1258,1509,1869,2459,2671,2970,3221,3511,3960,3853,4122
4072,0.9805,1904,1227,1487,1831,2392,2603,2849,3148,3337,3874,3774,4031
4021,0.8305,1824,1231,1463,1800,2347,2481,2791,3047,3275,3746,3677,3919
3873,1,1847,1222,1423,1764,2298,2480,2721,2976,3215,3644,3582,3824
3768,0.9212,1760,1182,1419,1749,2279,2355,2653,2922,3171,3610,3507,3766
3687,0.9307,1707,1181,1380,1708,2213,2341,2609,2855,3054,3471,3400,3684
3623,0.8828,1686,1156,1347,1667,2131,2320,2533,2783,2982,3371,3360,3571
3534,0.9255,1616,1117,1305,1609,2106,2265,2440,2725,2884,3278,3206,3526
3460,0.9227,1626,1112,1331,1614,2035,2186,2413,2654,2871,3186,3183,3410
3414,0.7851,1530,1116,1298,1544,2008,2145,2325,2595,2793,3046,3092,3294
3288,0.9254,1537,1080,1276,1574,1968,2096,2305,2526,2717,3063,3015,3256
3273,0.8114,1552,1103,1258,1538,1948,2082,2253,2457,2620,2952,2959,3211
3167,0.8832,1495,1094,1231,1476,1888,2016,2212,2436,2612,2892,2914,3117
3120,0.8411,1449,1058,1219,1490,1847,1968,2099,2356,2494,2759,2807,3029
