reflectance1,absorption1,reflectance2,absorption2
4.59944675379574e-05,1,6.17921328667236e-07,0
4.39707978769428e-05,0.975134686708109,6.24483325077862e-07,0.0092501415592418
4.24828275153082e-05,0.935436052104523,6.15733996530361e-07,0.0268394224479978
4.10802693496588e-05,0.89621630056403,6.85728624910367e-07,0.0038238155291977
3.935779006396e-05,0.87252183828597,6.9338428738943e-07,0.0131134486812513
3.77769152084469e-05,0.847366209614995,6.79166628499741e-07,0.033295993387929
3.62784556297616e-05,0.822703281067464,6.94477953457867e-07,0.039069061470933
3.48256990682261e-05,0.799808388969365,7.90720567480375e-07,0.00813264043249851
3.32208488594541e-05,0.786946421425616,7.9290789961725e-07,0.020592605418501
3.18954613621069e-05,0.765913962752356,8.09312890643814e-07,0.0270780586491242
3.05281169965566e-05,0.750168748224567,8.23530549533503e-07,0.0347199823197847
2.91278065202751e-05,0.739546241577124,8.57434197655068e-07,0.0344467267429163
2.78743450827048e-05,0.72565554130307,8.62902527997256e-07,0.0461436324364238
2.68239249180464e-05,0.705160115135423,9.44927483130075e-07,0.0281284821026839
2.56109218891006e-05,0.695856099541988,8.82588517229132e-07,0.0664921540789573
2.45050587200308e-05,0.684415069289046,9.98517120483516e-07,0.03677446170383
2.34741185298953e-05,0.672152004874123,1.03023343646821e-06,0.0398777987156982
2.25615566464759e-05,0.656350155510216,1.07398007920571e-06,0.0393084298699193
2.17081839164146e-05,0.639912131757509,1.13303804690134e-06,0.0344117921367364
2.08091081692034e-05,0.628801769045647,1.18006568784416e-06,0.0341875650895111
2.00246645797616e-05,0.613563902715265,1.25224764836104e-06,0.0271051705595946
1.91053596282382e-05,0.609299783140314,1.22818699485541e-06,0.0491084223857282
1.83628729069996e-05,0.596686970613013,1.25006031622416e-06,0.0576038700363785
1.76615938241748e-05,0.583828660291634,1.36598891947855e-06,0.0396358544431221
1.69520732136673e-05,0.573941317790947,1.40098623366855e-06,0.0453483373277974
1.64096308461832e-05,0.554788697529903,1.42942155144793e-06,0.053125707050236
1.57083517633585e-05,0.549013752312736,1.52238316726512e-06,0.0446728197284201
1.5158417097981e-05,0.53456856827554,1.58034746889231e-06,0.0459725879777655
1.47133746031114e-05,0.514175068022968,1.64049910265638e-06,0.0473202830354056
1.41604430185765e-05,0.503830030841936,1.7137747292417e-06,0.0462522851682137
