reflectance1,absorption1,reflectance2,absorption2
3.68995671251266e-06,0.178836144251307,7.15913808399244e-06,0.189271261614236
3.56933071642849e-06,0.17498196057894,7.32537532639495e-06,0.201756732253408
3.46294008634183e-06,0.168982414094021,7.64800681658404e-06,0.204028781221436
3.32058642636673e-06,0.172071140052601,8.00672928703157e-06,0.204971575740326
3.24566344743246e-06,0.160711942393665,8.20358917935033e-06,0.217400186520386
3.14676511523923e-06,0.155688486195227,8.5196586731288e-06,0.222899524762623
3.06135291925416e-06,0.148256497753761,8.87400647930257e-06,0.226981525945241
2.94672076148473e-06,0.148881892309268,9.26444526573479e-06,0.229957562138115
2.87404547191849e-06,0.139874076598334,9.52255045788606e-06,0.24158635230739
2.69872570121231e-06,0.158776949181125,9.88564759260734e-06,0.248009742612033
2.67100419900663e-06,0.139344942300586,1.02301524041652e-05,0.25638969727388
2.6020750583871e-06,0.131636017741158,1.06129355281183e-05,0.263609822407641
2.51666286240204e-06,0.129268323719146,1.10339969644668e-05,0.269813693435122
2.45222910051857e-06,0.12171274721218,1.13533474564506e-05,0.282148184631946
2.35407999811468e-06,0.124843322142647,1.19898611082813e-05,0.279792959456468
2.28440162770581e-06,0.120423275684771,1.23748315643713e-05,0.290842062760568
2.21846940624366e-06,0.11559379518573,1.27641766847351e-05,0.302558291957985
2.15028949541347e-06,0.112221418099606,1.32322657620264e-05,0.311605275061276
2.07386805690052e-06,0.112368828008303,1.37156661642758e-05,0.321004811838834
1.98545894175808e-06,0.117610400025303,1.42712485270421e-05,0.328375587311105
1.94874668208029e-06,0.105945729604914,1.49624454822946e-05,0.331369004561644
1.86258525630589e-06,0.112389137233195,1.53463222723162e-05,0.348050913006522
1.78990996673965e-06,0.115173909192655,1.59051856332878e-05,0.358685164687194
1.73746388148566e-06,0.111279343746303,1.66390355652094e-05,0.363786425106839
1.66329013234073e-06,0.116674388724391,1.71180613031851e-05,0.379710068023127
1.67228088981285e-06,0.089827633547008,1.78989388760495e-05,0.385691489049874
1.59061484277449e-06,0.0995969258714443,1.84906122190743e-05,0.399737758537654
1.5853702342491e-06,0.0789291379279726,1.91982141653534e-05,0.410916722975508
1.52168570215497e-06,0.0828907826625313,2.01332986538675e-05,0.415861562187299
1.49321497015995e-06,0.0726679058151261,2.08944902375001e-05,0.428017749500383
1.47823037437309e-06,0.0570032316270236,2.14063259575289e-05,0.449275116191817
1.3800812719692e-06,0.078723218064944,2.21303328948346e-05,0.464964437679563
1.31190136113902e-06,0.0888653248068076,2.29560507765049e-05,0.478827440840905
1.26469988441043e-06,0.0901498589634026,2.40344055199844e-05,0.486700550677781
1.25720758651701e-06,0.0723485137370894,2.49837076673882e-05,0.4999548814925
1.2062599608417e-06,0.0767258884795148,2.58466101953855e-05,0.517076941108948
1.16280463305983e-06,0.0782153882873204,2.67346670429568e-05,0.53488639490742
1.13208621169678e-06,0.0736617877039488,2.79584793735385e-05,0.545298156395597
1.09762164138702e-06,0.0717217484480905,2.91429197256564e-05,0.55854387770087
1.13358467127546e-06,0.031646804743543,3.03087677546108e-05,0.57398134524945
1.05941092213054e-06,0.0521502561516482,3.13794668356112e-05,0.59338111091961
1.03543556887157e-06,0.045682766214412,3.26896787855995e-05,0.60873687070395
1.00396791771918e-06,0.044065746676139,3.38194358342955e-05,0.630025901963523
9.81491024038902e-07,0.0376439422135827,3.50388735006034e-05,0.650931655230473
9.41032615414397e-07,0.0427684323915029,3.62954958132382e-05,0.672736306907915
9.14060342998061e-07,0.0402624683630135,3.77588210128077e-05,0.691896835355303
8.60115798165389e-07,0.0562825515774175,3.93260444888787e-05,0.710869694874705
8.76598853530928e-07,0.0260021070568766,4.11185631750479e-05,0.727386870679113
8.36889674695766e-07,0.0336698770099564,4.25654833835909e-05,0.752911227193255
8.15162010804828e-07,0.0298166825722396,4.44564320159194e-05,0.771909105001365
8.0167587459666e-07,0.0205624567301646,4.64895572371449e-05,0.790640064115106
7.69458993654925e-07,0.025212866684838,4.82569216037401e-05,0.816592479197373
7.05774461560798e-07,0.0553912692199514,5.03501984587296e-05,0.839057730955022
7.15514448822253e-07,0.0292271673862497,5.2840476096562e-05,0.857312565528598
6.81799108301832e-07,0.0378917521231169,5.49085986319775e-05,0.885340576452912
6.75056040197748e-07,0.0252577779881614,5.7204203709628e-05,0.912185892324244
6.54077606096154e-07,0.0247093427055576,5.95501174264266e-05,0.940898916508767
6.38343780519958e-07,0.0202366009567586,6.19485271145102e-05,0.971515602928558
6.41340699677328e-07,0,6.4677223955262e-05,1
