intensity,750,800,850,uaa,left,right,ctr
31219,52694,51493,36476,0.0715,31529,28476,31219
32349,54291,53382,37800,0.0715,32723,29576,32349
33395,56148,55246,39056,0.0715,33796,30773,33395
34536,57839,57170,40265,0.0715,34974,32109,34536
35904,59755,59045,41712,0.0715,36257,33510,35904
36917,61664,60900,42983,0.0715,37576,34747,36917
1540,1883,1972,1621,0.6233,,,
1573,1950,2015,1614,0.2331,,,
1584,2015,2063,1633,0.3282,,,
1625,1981,2092,1692,0.1073,,,
1626,2030,2125,1671,0.1738,,,
1630,2046,2127,1721,0.275,,,
1670,2121,2168,1708,0.106,,,
1694,2088,2234,1753,0.238,,,
1709,2142,2251,1796,0.1257,,,
1736,2196,2286,1811,0.0333,,,
1753,2205,2320,1831,0.1485,,,
1786,2224,2378,1817,0.1463,,,
1771,2325,2377,1878,0.1889,,,
1847,2337,2465,1912,0.0283,,,
1864,2407,2472,1929,0.9924,,,
1887,2445,2548,1968,0.9067,,,
1902,2476,2610,2012,0.9629,,,
1946,2552,2661,2037,0.9912,,,
1985,2614,2661,2046,0.5944,,,
2015,2647,2732,2142,0.864,,,
2023,2683,2811,2152,1,,,
2115,2713,2873,2182,0.7536,,,
2134,2828,2912,2222,0.754,,,
2150,2899,2942,2283,0.917,,,
2226,2936,3070,2305,0.518,,,
2243,3010,3088,2358,0.6045,,,
2291,3061,3208,2381,0.4928,,,
2341,3139,3258,2426,0.6054,,,
2375,3246,3342,2511,0.5726,,,
2432,3328,3439,2611,0.5595,,,
2511,3383,3491,2618,0.4365,,,
2549,3475,3564,2667,0.4899,,,
2560,3530,3654,2713,0.5996,,,
2673,3632,3743,2792,0.4156,,,
2708,3749,3849,2828,0.268,,,
2756,3782,3921,2901,0.3237,,,
2816,3980,4068,2972,0.3356,,,
2827,4029,4156,3018,0.4148,,,
3020,4189,4291,3172,0,,,
3001,4194,4386,3180,0.2795,,,
3062,4332,4445,3244,0.7828,,,
3153,4426,4546,3311,0.6075,,,
3188,4503,4658,3392,0.7257,,,
3267,4691,4821,3479,0.676,,,
3353,4748,4915,3528,0.6098,,,
3385,4894,5062,3585,0.6522,,,
3491,5009,5165,3713,0.5937,,,
3589,5131,5316,3801,0.4438,,,
3657,5283,5456,3908,0.5213,,,
3739,5441,5595,3978,0.459,,,
3860,5624,5798,4092,0.3469,,,
3956,5698,5876,4173,0.3849,,,
4011,5905,6073,4284,0.4361,,,
4112,6041,6190,4421,0.2178,,,
4218,6187,6389,4540,0.2056,,,
4301,6409,6523,4633,0.6432,,,
4413,6599,6677,4739,0.6359,,,
4518,6676,6897,4866,0.6457,,,
4616,6926,7083,4979,0.6596,,,
4706,7093,7312,5135,0.6878,,,
4848,7253,7523,5251,0.5942,,,
4992,7449,7732,5349,0.5387,,,
5119,7742,7895,5566,0.4745,,,
5235,7933,8131,5665,0.4646,,,
5327,8102,8363,5789,0.5561,,,
5498,8348,8597,5987,0.4673,,,
5659,8660,8842,6093,0.434,,,
5758,8874,9070,6345,0.5363,,,
5894,9099,9271,6468,0.5611,,,
6083,9373,9570,6619,0.4874,,,
6205,9630,9948,6845,0.4411,,,
6431,9894,10085,7048,0.31,,,
6542,10202,10489,7183,0.4528,,,
6721,10504,10748,7426,0.4542,,,
6947,10785,11038,7685,0.3919,,,
7067,11145,11412,7846,0.5287,,,
7342,11461,11718,8080,0.3245,,,
7508,11806,12018,8300,0.3703,,,
7716,12139,12378,8534,0.4018,,,
7929,12505,12750,8772,0.3817,,,
8116,12872,13141,9072,0.4231,,,
8417,13256,13536,9308,0.3217,,,
8576,13676,13922,9628,0.4095,,,
8870,14164,14415,9963,0.3932,,,
9124,14741,14865,10265,0.3401,,,
9336,15043,15283,10644,0.4439,,,
9645,15493,15782,10852,0.386,,,
9908,16056,16255,11168,0.3893,,,
10275,16596,16750,11702,0.3114,,,
10621,17220,17386,12091,0.2822,,,
10889,17717,17849,12415,0.3452,,,
11240,18290,18382,12728,0.3566,,,
11569,18864,19100,13154,0.3429,,,
11943,19406,19641,13662,0.3603,,,
12317,20040,20283,14044,0.3675,,,
12670,20884,20955,14552,0.4065,,,
13099,21458,21647,15016,0.3773,,,
13685,22354,22531,15584,0.224,,,
14144,23235,23329,16218,0.2317,,,
14495,23677,23894,16593,0.3346,,,
14951,24588,24811,17101,0.3708,,,
15373,25261,25664,17667,0.447,,,
15896,26261,26461,18364,0.4519,,,
16499,27271,27345,19005,0.4085,,,
16999,28069,28306,19564,0.4738,,,
17628,29150,29382,20386,0.4758,,,
18278,30453,30388,21167,0.4467,,,
18844,31485,31425,21914,0.5179,,,
19474,32495,32480,22652,0.5806,,,
20188,33705,33619,23449,0.5694,,,
20967,34994,35041,24351,0.5677,,,
21576,36147,36032,25173,0.303,,,
22365,37427,37396,25979,0.3304,,,
23048,38733,38812,27045,0.4555,,,
23857,40068,40092,27979,0.5245,,,
24798,41482,41484,28980,0.33,,,
25656,42877,42903,30009,0.4261,,,
26464,44497,44486,31196,0.5717,,,
27449,46047,46019,32261,0.4055,,,
28476,47614,47625,33410,0.4901,,,
29329,49354,49357,34656,0.4872,,,
30415,51294,51042,36040,0.5802,,,
31570,53172,52694,37441,0.6795,,,
32700,54917,54613,38738,0.3807,,,
33797,56644,56402,39933,0.3342,,,
34997,58452,58519,41292,0.5185,,,
36218,60441,60514,42830,0.3638,,,
37528,63012,62810,44155,0.5362,,,
1546,1936,2058,1558,0.1823,,,
