pixel#,intensity1,depth1,reflection1,absorption1,intensity2,depth2,reflection2,absorption2,D,iii,aaa
88,0.025133672,59.25944774,7.11859E-05,0.934290589,0.21590415,41.16957689,0.000147477,0.157935455,1.6924,0.241037822,1.092226043
89,0.023345707,59.64433861,7.02702E-05,0.977422116,0.226170346,40.78468602,0.000150273,0.118992194,1.6924,0.249516054,1.09641431
90,0.02293703,60.02922948,6.9372E-05,0.927468063,0.23537369,40.39979515,0.000153149,0.105538253,1.6924,0.258310719,1.033006316
91,0.021251235,60.41412035,6.8491E-05,0.970370301,0.243731581,40.01490429,0.000156109,0.112218942,1.6924,0.264982816,1.082589242
92,0.020672275,60.79901122,6.76266E-05,0.93573342,0.253514663,39.63001342,0.000159156,0.101463432,1.6924,0.274186937,1.037196852
93,0.019122705,61.18390209,6.67785E-05,0.975909254,0.266075656,39.24512255,0.000162292,0.054023351,1.6924,0.285198361,1.029932605
94,0.017879644,61.56879296,6.59462E-05,0.996888767,0.274119523,38.86023168,0.000165523,0.083104281,1.6924,0.291999167,1.079993048
95,0.0172496,61.95368383,6.51295E-05,0.97185969,0.285496884,38.47534081,0.00016885,0.067740717,1.6924,0.302746484,1.039600407
96,0.016278991,62.33857469,6.43277E-05,0.976258639,0.297453983,38.09044994,0.000172279,0.0510765,1.6924,0.313732974,1.027335139
97,0.01638116,62.72346556,6.35407E-05,0.894172178,0.30709213,37.70555907,0.000175814,0.073970192,1.6924,0.32347329,0.96814237
98,0.014984845,63.10835643,6.27681E-05,0.937558372,0.323977004,37.3206682,0.000179458,0.003880701,1.6924,0.338961849,0.941439073
99,0.01445697,63.4932473,6.20095E-05,0.910352167,0.336079038,36.93577733,0.000183217,0.007066327,1.6924,0.350536007,0.917418494
100,0.012634949,63.87813817,6.12645E-05,1,0.345717184,36.55088646,0.000187095,0.048541246,1.6924,0.358352133,1.048541246
101,0.012600892,64.26302904,6.05329E-05,0.931707575,0.358906227,36.16599559,0.000191098,0.050426386,1.6924,0.37150712,0.98213396
102,0.011494057,64.64791991,5.98143E-05,0.963545515,0.371636311,35.78110473,0.000195231,0.064987876,1.6924,0.383130368,1.028533391
103,0.010915097,65.03281078,5.91084E-05,0.94847816,0.388690275,35.39621386,0.000199499,0.034448763,1.6924,0.399605372,0.982926923
104,0.010881041,65.41770165,5.8415E-05,0.882410939,0.40289386,35.01132299,0.000203908,0.046087617,1.6924,0.4137749,0.928498555
105,0.00992746,65.80259252,5.77336E-05,0.906371726,0.420092758,34.62643212,0.000208465,0.030921484,1.6924,0.430020218,0.93729321
106,0.008684399,66.18748339,5.70642E-05,0.963707039,0.437001788,34.24154125,0.000213177,0.027595001,1.6924,0.445686186,0.99130204
107,0.008939822,66.57237425,5.64063E-05,0.869845727,0.456954442,33.85665038,0.000218051,0,1.6924,0.465894264,0.869845727
108,0.008803596,66.95726512,5.57597E-05,0.817032496,0.474322431,33.47175951,0.000223093,0.008941626,1.6924,0.483126027,0.825974121
109,0.007764874,67.34215599,5.51242E-05,0.858810034,0.492270158,33.08686864,0.000228312,0.020053696,1.6924,0.500035032,0.87886373
110,0.006726152,67.72704686,5.44994E-05,0.905470753,0.510845935,32.70197777,0.000233717,0.033135042,1.6924,0.517572087,0.938605795
111,0.006351531,68.11193773,5.38853E-05,0.881808988,0.532127156,32.3170869,0.000239316,0.028473022,1.6924,0.538478687,0.91028201
112,0.006436672,68.4968286,5.32814E-05,0.807726643,0.553094352,31.93219603,0.000245118,0.028473022,1.6924,0.559531024,0.836199665
113,0.006113136,68.88171947,5.26877E-05,0.780014082,0.574134016,31.54730517,0.000251135,0.028473022,1.6924,0.580247152,0.808487104
114,0.00481899,69.26661034,5.21038E-05,0.866072371,0.593603556,31.1624143,0.000257375,0.028473022,1.6924,0.598422546,0.894545393
115,0.004478425,69.65150121,5.15296E-05,0.843744444,0.619885019,30.77752343,0.000263851,0.028473022,1.6924,0.624363444,0.872217466
116,0.004478425,70.03639208,5.09648E-05,0.781312477,0.643171168,30.39263256,0.000270574,0.028473022,1.6924,0.647649593,0.809785499
117,0.003473759,70.42128295,5.04093E-05,0.842924716,0.669887434,30.00774169,0.000277557,0.028473022,1.6924,0.673361194,0.871397738
118,0.003456731,70.80617382,4.98627E-05,0.783577885,0.696700324,29.62285082,0.000284815,0.028473022,1.6924,0.700157055,0.812050907
119,0.003320505,71.19106468,4.93251E-05,0.739955867,0.722595294,29.23795995,0.000292361,0.028473022,1.6924,0.7259158,0.76842889
120,0.00231584,71.57595555,4.8796E-05,0.809486133,0.750446881,28.85306908,0.00030021,0.028473022,1.6924,0.752762721,0.837959155
121,0.001839049,71.96084642,4.82755E-05,0.813482978,0.778564182,28.46817821,0.00030838,0.028473022,1.6924,0.780403231,0.841956001
122,0.001992303,72.34573729,4.77632E-05,0.733319518,0.811923281,28.08328734,0.000316888,0.028473022,1.6924,0.813915585,0.76179254
123,0.001072779,72.73062816,4.7259E-05,0.800941186,0.84301174,27.69839647,0.000325754,0.028473022,1.6924,0.844084518,0.829414208
124,0.001907162,73.11551903,4.67628E-05,0.628069006,0.87574279,27.3135056,0.000334996,0.028473022,1.6924,0.877649952,0.656542029
125,0.001140892,73.5004099,4.62744E-05,0.67499188,0.905599304,26.92861474,0.000344637,0.028473022,1.6924,0.906740196,0.703464902
126,0.000119198,73.88530077,4.57935E-05,0.764502602,0.934876081,26.54372387,0.000354701,0.028473022,1.6924,0.934995279,0.792975624
127,0,74.27019164,4.53201E-05,0.725056557,0.969515436,26.158833,0.000365212,0.028473022,1.6924,0.969515436,0.753529579
128,0.000204339,74.65508251,4.48541E-05,0.63844432,1,25.77394213,0.000376197,0.028473022,1.6924,1.000204339,0.666917342
