intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1539,0.1264,1749,1819,1711,1693,1642,1666,1642,1553,1612,1424
1539,0,1795,1841,1728,1699,1658,1653,1683,1531,1665,1443
1533,0.3734,1812,1830,1763,1772,1678,1687,1764,1554,1711,1440
1573,0.0488,1802,1853,1758,1691,1717,1734,1773,1571,1694,1482
1577,0.397,1811,1903,1780,1750,1739,1744,1782,1595,1725,1463
1593,0.1378,1841,1895,1804,1765,1779,1731,1787,1604,1754,1474
1603,0.4256,1859,1903,1822,1788,1764,1756,1811,1623,1724,1502
1623,0.2846,1907,1933,1870,1806,1751,1756,1836,1638,1815,1486
1592,0.6316,1859,1939,1880,1828,1782,1788,1812,1654,1791,1521
1641,0.3291,1939,2000,1872,1837,1836,1863,1874,1674,1819,1519
1655,0.3644,1941,1975,1923,1855,1875,1827,1918,1690,1850,1531
1686,0.2124,1943,2056,1913,1883,1844,1850,1935,1712,1890,1581
1645,0.7958,1986,2046,1941,1904,1895,1908,1931,1705,1862,1538
1704,0.5862,1997,2055,1955,1924,1883,1900,1978,1718,1915,1591
1728,0.3352,1992,2116,2003,1931,1887,1923,2065,1765,1963,1616
1763,0.4835,2059,2110,2006,1962,1933,1944,2008,1798,1983,1627
1743,0.6532,2044,2132,2025,1960,1952,1943,2053,1770,1975,1673
1762,0.6613,2069,2196,2053,1991,1976,1994,2135,1819,2006,1673
1789,0.624,2075,2199,2082,2017,2007,2064,2118,1855,2077,1702
1814,0.6512,2147,2226,2103,2029,2045,2050,2148,1875,2052,1717
1821,0.6871,2166,2294,2124,2092,2070,2070,2164,1882,2079,1730
1879,0.5378,2139,2307,2150,2084,2051,2116,2192,1923,2107,1727
1863,0.7579,2198,2289,2176,2138,2087,2124,2224,1923,2075,1790
1882,0.8238,2226,2352,2195,2135,2095,2161,2277,1992,2198,1788
1953,0.6599,2279,2386,2235,2152,2159,2197,2277,1939,2150,1773
1947,0.7902,2267,2404,2248,2227,2173,2204,2309,2039,2227,1836
1985,0.8078,2298,2441,2311,2212,2179,2272,2358,2010,2249,1852
2015,0.7781,2308,2493,2317,2241,2231,2289,2346,2057,2316,1884
2053,0.6617,2368,2530,2352,2320,2262,2342,2427,2090,2283,1873
2087,0.7728,2427,2559,2363,2321,2297,2330,2483,2146,2360,1933
