intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
2402,0.7727,2155,2398,2041,2212,2217,2532,2446,2537
2449,0.7549,2229,2451,2121,2335,2254,2645,2522,2690
2483,0.86,2271,2476,2125,2269,2271,2579,2506,2660
2490,0.9438,2315,2529,2193,2366,2271,2658,2567,2716
2588,0.7927,2385,2534,2159,2367,2342,2716,2625,2724
2615,0.8846,2451,2634,2272,2475,2358,2730,2663,2822
2723,0.7552,2488,2650,2269,2514,2426,2815,2702,2837
2753,0.8614,2574,2653,2370,2596,2454,2843,2768,2905
2849,0.5966,2632,2734,2401,2657,2509,2885,2834,2952
2838,0.8254,2725,2847,2440,2686,2584,2958,2864,3031
2956,0.7628,2764,2873,2496,2692,2620,3018,2914,3099
3022,0.7949,2852,2947,2531,2804,2642,3088,2971,3134
3175,0.462,2944,2988,2632,2884,2748,3179,3059,3211
3217,0.5248,3037,3101,2635,2950,2772,3230,3079,3297
3255,0.6998,3115,3177,2687,3015,2858,3277,3179,3367
3364,0.6269,3182,3206,2769,3062,2909,3390,3249,3439
3443,0.6696,3306,3353,2851,3129,3015,3471,3281,3520
3483,0.7154,3349,3373,2895,3185,3083,3489,3346,3598
3592,0.6626,3486,3471,2948,3269,3127,3542,3464,3615
3728,0.4952,3593,3540,3009,3365,3197,3636,3502,3765
3823,0.5717,3686,3626,3137,3444,3293,3722,3549,3846
3950,0.4977,3803,3684,3208,3506,3381,3820,3652,3946
4055,0.4356,3916,3843,3267,3598,3435,3919,3741,4019
4176,0.4493,4000,3950,3362,3658,3519,3993,3789,4164
4263,0.4547,4135,4032,3408,3737,3608,4021,3908,4213
4407,0.4525,4281,4128,3549,3840,3695,4177,4010,4320
4523,0.3742,4413,4264,3616,3892,3781,4201,4102,4434
4618,0.4865,4571,4373,3677,3981,3863,4321,4203,4529
4745,0.4143,4603,4465,3759,4061,3955,4388,4250,4628
4914,0.3817,4728,4568,3883,4182,4079,4542,4410,4736
5122,0.2698,4854,4682,4031,4289,4160,4611,4443,4892
5185,0.4303,4974,4813,4098,4422,4288,4736,4569,4997
5390,0.3291,5158,4921,4236,4421,4382,4852,4699,5144
5511,0.3948,5307,5077,4356,4588,4528,4912,4780,5245
5660,0.3799,5401,5263,4450,4673,4612,5086,4919,5403
5822,0.4073,5588,5395,4570,4722,4747,5209,5010,5552
6031,0.3232,5790,5548,4695,4895,4818,5283,5198,5694
6189,0.407,5869,5671,4857,5001,4970,5447,5286,5809
6380,0.3867,6013,5864,4985,5099,5136,5614,5401,5991
6621,0.2974,6240,6039,5084,5257,5205,5804,5536,6210
6846,0.3023,6387,6186,5246,5376,5364,5873,5714,6349
7008,0.3449,6591,6381,5362,5482,5510,6044,5834,6464
7234,0.3806,6801,6655,5521,5692,5675,6204,5996,6728
7471,0.3215,6933,6783,5721,5789,5866,6361,6112,6913
7703,0.3909,7190,6946,5829,5956,5959,6497,6260,7123
7892,0.3943,7303,7188,6060,6190,6114,6663,6458,7316
8240,0.3127,7599,7478,6180,6306,6299,6879,6636,7544
8490,0.3336,7816,7662,6408,6471,6438,7071,6851,7862
8732,0.3977,7987,7897,6537,6686,6627,7285,6987,8020
8979,0.4533,8210,8155,6696,6883,6777,7474,7228,8275
9333,0.3647,8465,8402,6887,7054,6903,7668,7411,8439
9705,0.3376,8777,8671,7127,7208,7194,7874,7665,8763
10047,0.3339,8983,9031,7417,7486,7334,8184,7925,9025
10365,0.3656,9251,9322,7558,7667,7486,8329,8123,9280
10723,0.3745,9508,9563,7751,7865,7702,8539,8290,9571
11145,0.0715,9785,9900,8021,8177,7858,8822,8622,9942
11457,0.0715,10019,10207,8231,8271,8090,8999,8786,10089
11754,0.0715,10327,10556,8471,8584,8325,9295,9075,10396
12188,0.0715,10619,10904,8752,8871,8554,9588,9394,10703
12552,0.0715,10925,11285,9016,9083,8762,9938,9624,11063
13019,0.0715,11284,11709,9316,9439,9033,10224,9973,11398
13557,0.0715,11595,12110,9684,9720,9327,10570,10372,11826
13916,0.0715,11806,12433,9878,9935,9500,10721,10655,12079
14376,0.0715,12156,12796,10235,10238,9788,11134,10977,12474
14859,0.0715,12507,13261,10526,10535,10042,11392,11296,12801
