intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
62114,0.2654,57580,58945,56510,58969,59604,55167,50383,48941,56511
59827,0.2654,55535,56334,54422,56550,57041,52726,47810,46789,54256
57844,0.2654,53697,53810,52087,54266,54540,50522,45465,44638,52313
55736,0.2654,51835,51559,50235,52258,52447,48339,43240,42708,50546
53660,0.2654,49838,49256,48060,49909,49990,46109,40837,40427,48420
51755,0.2654,48144,46848,46069,47806,47928,43925,38768,38665,46489
49887,0.2654,46347,44556,44118,45685,45848,41953,36616,36832,44728
48131,0.2654,44582,42613,42188,43866,43862,40078,34634,35207,42949
46295,0.2654,42708,40382,40354,41986,41847,38156,32803,33473,41089
44680,0.2654,41346,38635,38561,40070,40102,36444,31031,31775,39405
43007,0.2654,39777,36746,36997,38558,38404,34795,29370,30340,37877
41319,0.2654,38277,35031,35258,36753,36665,33242,27751,28838,36383
39715,0.2654,36758,33306,33684,35219,35094,31806,26224,27492,34889
38314,0.2654,35372,31809,32204,33733,33496,30269,24887,26190,33357
36967,0.2654,34109,30318,30776,32363,32067,28970,23550,25011,32100
35450,0.2654,32788,28799,29396,30958,30665,27776,22208,23907,30759
34143,0.2654,31573,27544,28016,29576,29343,26540,20943,22665,29508
32981,0.2654,30392,26249,26850,28409,28151,25341,19871,21670,28371
31735,0.2654,29233,25086,25734,27308,27008,24265,18863,20751,27175
30638,0.2654,28166,24027,24587,26038,25763,23216,17942,19755,26115
29632,0.2654,27114,22887,23489,24984,24744,22299,16944,18893,25057
28487,0.2654,25979,22005,22542,23949,23548,21254,15997,17964,24012
27379,0.2654,25091,20919,21498,22920,22668,20478,15223,17116,22934
26454,0.2654,24090,19967,20550,21998,21718,19588,14357,16351,22014
25477,0.2654,23185,19206,19581,21113,20750,18678,13535,15595,21269
24609,0.2654,22187,18347,18763,20234,19845,17932,12849,14818,20357
23740,0.2654,21335,17542,17972,19448,19019,17169,12121,14118,19488
22822,0.2654,20565,16896,17107,18557,18135,16434,11506,13474,18696
22083,0.4807,19878,16177,16499,17829,17568,15769,10881,12905,17982
21247,0.4905,19103,15652,15782,17179,16827,15124,10384,12377,17298
20479,0.5008,18305,14896,15101,16317,16101,14410,9751,11741,16518
19755,0.4572,17652,14374,14420,15683,15446,13718,9302,11319,15839
19075,0.4351,16923,13834,13733,15073,14775,13226,8740,10687,15225
18361,0.4492,16222,13140,13089,14448,14096,12564,8296,10233,14602
17791,0.3957,15851,12790,12659,13938,13659,12172,7968,9824,14080
17076,0.4381,15107,12215,12051,13318,13065,11632,7495,9363,13497
16594,0.3612,14650,11895,11536,12889,12555,11127,7078,8993,12999
15949,0.3969,14018,11454,11072,12361,12096,10624,6748,8615,12536
15730,0.2221,13843,11349,10823,12164,11864,10477,6525,8472,12305
14815,0.4207,12950,10594,10088,11365,11090,9705,6088,7858,11549
14316,0.4025,12478,10318,9630,10867,10634,9327,5801,7517,11153
13756,0.4416,12045,9890,9286,10491,10236,8865,5470,7237,10693
13234,0.472,11586,9557,8879,10105,9764,8512,5207,6976,10284
12847,0.4428,11168,9240,8484,9710,9340,8123,4965,6670,9979
12400,0.4556,10782,8894,8168,9332,9029,7776,4763,6400,9597
11982,0.4268,10386,8621,7819,8966,8709,7471,4485,6116,9222
11561,0.444,10007,8400,7540,8640,8311,7101,4293,5860,8833
11115,0.5083,9672,8021,7191,8294,7932,6871,4039,5634,8593
10825,0.4665,9335,7850,6895,7967,7662,6584,3912,5454,8267
10443,0.4611,9008,7594,6630,7770,7342,6247,3721,5189,8000
10178,0.4066,8666,7347,6375,7437,7053,6053,3589,5039,7728
9780,0.4817,8443,7183,6106,7121,6764,5790,3426,4871,7462
9448,0.501,8089,6899,5877,6853,6483,5555,3285,4693,7225
9153,0.5124,7865,6740,5693,6633,6254,5333,3164,4530,7025
8891,0.4762,7563,6522,5480,6348,6006,5155,3073,4364,6758
8503,0.5691,7296,6305,5230,6096,5727,4842,2858,4208,6568
8299,0.4988,7067,6139,5038,5925,5536,4685,2802,4068,6370
8025,0.5476,6848,5897,4816,5636,5272,4523,2713,3911,6139
